models,priors,labels,freeParams,solutions
"model1: 1 perturbers, differential evolution fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0']",4,"[ 9.60789223e-05  1.03461677e-06  3.28445454e-01  1.73683485e-06
  5.54438656e+00  6.53830978e+01 -1.85934111e+00]"
"model1: 1 perturbers, dual annealing fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0']",4,"[ 4.92195456e-04  6.70524741e-06  2.47323671e-01 -4.43151848e-06
  4.65311024e+00  2.33136512e+01 -1.26055661e-02]"
"model1: 2 perturbers, differential evolution fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200], [0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1']",7,"[ 6.04725605e-06  4.24981049e-06  6.88898677e-01  2.71387842e-06
 -4.29335706e-01  8.33586852e+01  1.36797552e-05  5.19061323e-06
  6.82176002e-01  2.65692329e-06  3.07280944e+00  4.72809819e+01
  5.22299623e-02]"
"model1: 2 perturbers, dual annealing fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200], [0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1']",7,"[ 1.00000000e+00  0.00000000e+00  8.87393277e-02 -7.94465102e-06
  3.10650366e+00  2.00000000e+02  1.00000000e+00  0.00000000e+00
  1.68172498e-01  8.00242917e-06  3.55646416e+00  2.00000000e+02
 -5.82152580e+01]"
"model1: 3 perturbers, differential evolution fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200], [0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200], [0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1', 'a_2', 'mu_2', 'e_2', 'i_2', 'ω_2', 't0_2']",10,"[ 5.52121226e-06  1.43632393e-05  7.13125136e-01  4.37969655e-06
  3.77833153e+00  1.07513399e+02  1.68048262e-06  2.60871279e-05
  6.96702267e-02  5.55133050e-06 -9.92099874e-01  1.38132430e+02
  1.90752853e-06  5.40465770e-05  4.72007117e-01 -2.02702021e-06
  8.03421354e-01  6.69879377e+01 -2.21222787e-01]"
"model1: 3 perturbers, dual annealing fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200], [0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200], [0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1', 'a_2', 'mu_2', 'e_2', 'i_2', 'ω_2', 't0_2']",10,"[ 1.01930419e-03  3.73561716e-04  8.95430628e-02  5.11373017e-06
  4.12930121e+00  3.99097797e+01  3.78751963e-03  4.60820868e-04
  6.29890947e-01  1.46451934e-06 -4.08931816e-01  1.45178693e+02
  4.73076555e-03  4.29981155e-04  8.56484490e-01  8.74857456e-06
  5.57589282e+00  1.76364570e+02  1.77582536e-03]"
"model2: 1 perturbers, differential evolution fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0']",6,"[ 1.64801927e-05  1.87044649e-06  4.97079150e-02  6.90236256e-07
 -1.19860349e+00  1.19259049e+02  2.43612134e-02]"
"model2: 1 perturbers, dual annealing fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0']",6,"[ 1.00000000e+00  0.00000000e+00  0.00000000e+00 -4.89489489e-06
 -6.28318531e+00  2.00000000e+02  5.81321921e-05]"
"model2: 2 perturbers, differential evolution fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200], [0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1']",11,"[ 5.07936589e-06  8.37761840e-06  3.34182284e-01 -7.98055768e-06
 -4.32868245e+00  1.48713055e+02  3.84230198e-06  3.08068689e-06
  3.14568880e-01  6.76142119e-06  3.79755996e+00  1.96495453e+02
 -6.94763725e-01]"
"model2: 2 perturbers, dual annealing fitting","[[0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200], [0, 1], [0, 0.25], [0, 0.95], [-1e-05, 1e-05], [-6.283185307179586, 6.283185307179586], [0, 200]]","['a_0', 'mu_0', 'e_0', 'i_0', 'ω_0', 't0_0', 'a_1', 'mu_1', 'e_1', 'i_1', 'ω_1', 't0_1']",11,"[ 1.47023769e-03  1.42003384e-04  9.04032156e-01  3.94450478e-07
 -6.24474291e+00  1.90100788e+02  3.63210805e-04  1.35908263e-04
  4.46447888e-01 -2.00778147e-06 -2.71918205e+00  6.17837711e+01
 -3.95277871e-03]"
