Exoplanet,Datapoints
Tres-3b,735
Qatar-1b,656
Wasp-12b,543
Tres-2b,424
Wasp-43b,356
Tres-5b,348
Hat-p-36b,334
Wasp-3b,313
Tres-1b,309
Wasp-10b,305
Hd189733b,287
Hat-p-32b,271
Gj436b,258
Hat-p-3b,240
Hat-p-12b,232
Wasp-2b,222
Wasp-52b,217
Wasp-33b,211
Hat-p-23b,192
Gj1214b,183
Hat-p-37b,176
Hat-p-20b,173
Xo-1b,169
Corot-2b,156
Kelt-16b,156
Wasp-11b,152
Kps-1b,144
Qatar-4b,136
Wasp-19b,134
Hat-p-19b,133
Qatar-2b,133
Wasp-4b,133
Kelt-1b,132
Wasp-48b,131
Hat-p-54b,129
Hat-p-5b,126
Xo-3b,126
Wasp-103b,120
Hat-p-16b,116
Wasp-1b,114
Wasp-36b,114
Xo-5b,113
Hd209458b,108
Corot-1b,107
Hat-p-22b,107
Kepler-17b,106
Wasp-104b,100
Wasp-50b,94
Wasp-14b,89
Wasp-80b,89
Hat-p-6b,86
Wasp-5b,83
Wasp-93b,83
Hat-p-25b,81
Wasp-46b,77
Xo-4b,76
Xo-6b,75
Wasp-65b,74
Hat-p-7b,73
Tres-4b,73
Hat-p-1b,72
Hat-p-4b,71
Hat-p-53b,71
Hat-p-56b,70
Qatar-9b,69
Hat-p-9b,68
Hat-p-28b,67
Hat-p-8b,67
Wasp-24b,63
Wasp-92b,63
Hat-p-18b,58
Hat-p-38b,57
Wasp-44b,57
Kepler-6b,56
Wasp-114b,54
Hat-p-55b,53
Kelt-3b,53
Hat-p-14b,50
Wasp-57b,49
Wasp-64b,47
Wasp-85ab,47
Wasp-21b,46
Hat-p-26b,45
Hat-p-33b,45
Qatar-5b,45
Wasp-23b,44
Hat-p-52b,43
Wasp-28b,43
Wasp-32b,43
K2-25b,42
K2-30b,42
Kelt-7b,42
Wasp-6b,42
Hat-p-51b,41
Wasp-13b,41
Xo-2nb,41
Wasp-75b,37
Corot-11b,36
Hat-p-27b,35
Wasp-56b,35
Wasp-74b,35
Wasp-76b,35
Hat-p-21b,34
Hat-p-24b,34
Wasp-35b,34
Wasp-37b,34
Wasp-84b,34
Wasp-59b,33
Wasp-60b,33
Hd17156b,32
Qatar-3b,32
Wasp-135b,32
Wasp-16b,32
Wasp-17b,32
Wasp-39b,31
Wasp-58b,31
Wasp-77ab,31
Gj3470b,30
Hd149026b,30
Wasp-26b,30
Wasp-45b,30
Hat-p-29b,29
Kelt-4ab,29
Ogle-tr-56b,28
Wasp-98b,28
Hat-p-34b,27
Hats-52b,27
Wasp-69b,27
Kepler-5b,26
Wasp-25b,26
Wasp-31b,26
Wasp-67b,26
Hat-p-35b,23
Wasp-29b,23
Wasp-97b,23
Kelt-18b,22
Wasp-121b,22
Wasp-90b,22
Wasp-49b,21
Hat-p-41b,20
Kepler-8b,20
Wasp-140b,20
Hat-p-30b,19
Wasp-15b,19
Wasp-55b,19
Hats-24b,18
Hats-33b,18
Hats-35b,18
Hd80606b,18
Toi-1728b,18
Wasp-113b,18
Hat-p-57b,17
Kepler-12b,17
Ogle-tr-113b,17
Wasp-119b,17
Wasp-34b,17
Wasp-62b,17
Hat-p-45b,16
Hats-1b,16
Kelt-23ab,16
Kelt-8b,16
Wasp-170b,16
Wasp-89b,16
Corot-18b,15
Hats-30b,15
K2-34b,15
Kelt-17b,15
Kepler-15b,15
Kepler-7b,15
Wasp-124b,15
Wasp-164b,15
Hat-p-46b,14
Hats-2b,14
Kepler-4b,14
Ogle-tr-111b,14
Wasp-157b,14
Wasp-61b,14
Wasp-81b,14
Wasp-96b,14
Hat-p-15b,13
Hat-p-2b,13
Hats-67b,13
K2-121b,13
K2-29b,13
Gpx-1b,12
Hat-p-65b,12
Ogle-tr-132b,12
Corot-5b,11
Hat-p-49b,11
Hats-22b,11
Hats-42b,11
Hats-5b,11
Hats-6b,11
Qatar-8b,11
Wasp-123b,11
Wasp-133b,11
Wasp-138b,11
Wasp-20b,11
Wasp-83b,11
Corot-8b,10
Hat-p-50b,10
Hat-p-66b,10
Hats-23b,10
Hats-34b,10
Kelt-10b,10
Ngts-6b,10
Wasp-100b,10
Wasp-101b,10
Wasp-127b,10
Wasp-132b,10
Wasp-153b,10
Hat-p-31b,9
Hats-18b,9
Hats-29b,9
Hats-31b,9
Hats-45b,9
K2-237b,9
Kelt-19ab,9
Qatar-10b,9
Toi-1259ab,9
Wasp-129b,9
Wasp-142b,9
Wasp-151b,9
Wasp-22b,9
Wasp-78b,9
Corot-12b,8
Corot-6b,8
Hats-26b,8
Hats-41b,8
Hats-43b,8
K2-115b,8
Kelt-15b,8
Toi-1518b,8
Wasp-139b,8
Wasp-141b,8
Wasp-156b,8
Wasp-183b,8
Wasp-63b,8
Wasp-66b,8
Wasp-79b,8
Hat-p-39b,7
Hat-p-68b,7
Hats-25b,7
Hats-4b,7
Hats-51b,7
Hats-53b,7
Hats-65b,7
Qatar-7b,7
Wasp-163b,7
Wasp-167b,7
Wasp-180ab,7
Wasp-68b,7
Wasp-7b,7
Wasp-87b,7
Wasp-94ab,7
Hat-p-43b,6
Hats-7b,6
K2-140b,6
Kelt-14b,6
Kelt-2ab,6
Ngts-2b,6
Ogle-tr-10b,6
Qatar-6b,6
Wasp-38b,6
Wasp-42b,6
Wasp-54b,6
Wasp-82b,6
Wasp-91b,6
Hat-p-40b,5
Hats-39b,5
Kelt-9b,5
Toi-157b,5
Toi-674b,5
Wasp-118b,5
Wasp-130b,5
Wasp-160bb,5
Wasp-70ab,5
Wasp-72b,5
Wasp-88b,5
Corot-3b,4
Hat-p-59b,4
Hat-p-61b,4
Hat-p-62b,4
Hats-11b,4
Hats-13b,4
Hats-46b,4
Hats-56b,4
K2-260b,4
Kepler-854b,4
Mascara-1b,4
Ngts-5b,4
Wasp-106b,4
Wasp-131b,4
Wasp-136b,4
Wasp-175b,4
Wasp-71b,4
Wasp-95b,4
Hats-27b,3
Hip65ab,3
K2-113b,3
K2-31b,3
Kepler-447b,3
Kepler-76b,3
Ngts-1b,3
Toi-1296b,3
Toi-628b,3
Toi-905b,3
Wasp-110b,3
Wasp-120b,3
Wasp-144b,3
Wasp-168b,3
Wasp-172b,3
Wasp-174b,3
Wasp-192b,3
Corot-10b,2
Corot-13b,2
Corot-19b,2
Epic246851721b,2
Hat-p-64b,2
Hat-p-67b,2
Hat-p-69b,2
Hat-p-70b,2
Hats-10b,2
Hats-17b,2
Hats-28b,2
Hats-3b,2
Hats-37ab,2
Hats-44b,2
Hats-57b,2
Hats-58ab,2
Hats-60b,2
Hats-64b,2
Hats-68b,2
Hats-9b,2
Hd97658b,2
K2-295b,2
Kelt-12b,2
Kelt-24b,2
Kepler-41b,2
Kepler-422b,2
Ogle-tr-182b,2
Toi-163b,2
Toi-169b,2
Toi-640b,2
Wasp-158b,2
Wasp-181b,2
Corot-17b,1
Corot-4b,1
Corot-9b,1
Hat-p-42b,1
Hats-12b,1
Hats-32b,1
Hats-36b,1
Hats-40b,1
Hats-48ab,1
Hats-50b,1
Hats-70b,1
K2-107b,1
K2-114b,1
K2-238b,1
Kelt-11b,1
Koi-13b,1
Kepler-14b,1
Kepler-21b,1
Lp714-47b,1
Ngts-12b,1
Ogle-tr-211b,1
Tic257060897b,1
Toi-1431b,1
Toi-1478b,1
Toi-530b,1
Toi-564b,1
Toi-677b,1
Wasp-105b,1
Wasp-117b,1
Wasp-145ab,1
Wasp-147b,1
Wasp-161b,1
Wasp-162b,1
Wasp-165b,1
Wasp-173ab,1
Wasp-185b,1
Wasp-190b,1
Wasp-73b,1
Wasp-99b,1
Hat-p-13b,155
Hat-p-11b,66
Hat-p-44b,56
Wasp-18b,32
Wasp-41b,24
Wasp-107b,21
Hat-p-17b,18
Wasp-126b,17
Wasp-53b,6
Corot-20b,5
Wasp-8b,5
Kelt-6b,4
Wasp-148b,3
Kepler-10c,1
Kepler-18c,75
Kepler-19b,67
Kepler-18d,38
Kepler-11c,30
Wasp-47b,18
Kepler-11d,15
Kepler-11e,12
Kepler-11f,9
Kepler-9b,9
Kepler-9c,6
Kepler-11g,3
Kepler-20c,2
55cnce,1
K2-19b,1
K2-233d,1
Kepler-18b,1
Kepler-20d,1
