Object,Const,Time span from,Time span till,Time span from - till,Last changes (days)red if less than 1 week ago
55 cnc e,Cnc,1,2011-02,2011-02,04. may 2011  (4003)
Au mic b,Mic,0,,,
Au mic c,Mic,0,,,
Corot-1 b,Mon,110,2007-02,2022-01,15. mar 2022  (34)
Corot-10 b,Aql,2,2007-06,2017-08,25. dec 2018  (1210)
Corot-11 b,Ser,14,2008-05,2021-08,16. sep 2021  (214)
Corot-12 b,Mon,8,2007-10,2022-01,14. feb 2022  (64)
Corot-13 b,Mon,2,2008-11,2019-02,10. apr 2019  (1105)
Corot-17 b,Sct,1,2009-04,2009-04,29. jun 2011  (3947)
Corot-18 b,Mon,17,2010-05,2022-01,14. feb 2022  (64)
Corot-19 b,Mon,2,2010-03,2013-03,14. mar 2013  (3323)
Corot-2 b,Aql,114,2005-07,2021-08,16. sep 2021  (214)
Corot-20 b,Mon,5,2010-03,2014-03,11. dec 2018  (1225)
Corot-3 b,Aql,4,2007-07,2017-08,11. dec 2018  (1225)
Corot-4 b,Mon,1,2007-02,2007-02,23. aug 2008  (4986)
Corot-5 b,Mon,11,2007-10,2022-03,15. mar 2022  (34)
Corot-6 b,Oph,8,2008-05,2020-08,26. aug 2020  (601)
Corot-8 b,Aql,11,2007-05,2021-07,16. sep 2021  (214)
Corot-9 b,Ser,1,2008-05,2008-05,18. mar 2010  (4415)
Epic 218916923 b,Sgr,1,2015-10,2015-10,11. feb 2017  (1892)
Epic 228735255 b,Vir,6,2016-07,2021-05,17. may 2021  (337)
Epic-203771098 b,Sco,1,2014-09,2014-09,11. jan 2016  (2289)
Epic-203771098 c,Sco,1,2014-09,2014-09,11. jan 2016  (2289)
Epic-210957318 b,Ari,12,2015-02,2022-01,07. jan 2022  (101)
Epic-211089792 b,Tau,31,2004-08,2022-01,15. mar 2022  (34)
Epic-212110888 b,Cnc,13,2015-04,2017-12,11. dec 2018  (1225)
Gj1214 b,Oph,108,2009-05,2021-07,16. sep 2021  (214)
Gj3470 b,Cnc,29,2012-01,2021-02,27. feb 2021  (416)
Gj436 b,Leo,209,2005-01,2022-02,15. mar 2022  (34)
Gpx-1 b,Per,5,2022-01,2022-02,15. mar 2022  (34)
Hat-p-1 b,Lac,52,2006-09,2021-11,10. dec 2021  (130)
Hat-p-10/wasp-11 b,Ari,115,2008-09,2022-01,14. feb 2022  (64)
Hat-p-11 b,Cyg,54,2004-07,2021-09,16. sep 2021  (214)
Hat-p-12 b,Cvn,131,2007-11,2022-03,15. mar 2022  (34)
Hat-p-13 b,Uma,110,2008-04,2022-01,14. feb 2022  (64)
Hat-p-14 b,Her,34,2009-02,2021-08,16. sep 2021  (214)
Hat-p-15 b,Per,5,2008-06,2021-10,10. dec 2021  (130)
Hat-p-16 b,And,86,2009-07,2021-12,14. feb 2022  (64)
Hat-p-17 b,Cyg,12,2008-11,2020-09,28. sep 2020  (568)
Hat-p-18 b,Her,47,2008-09,2022-02,15. mar 2022  (34)
Hat-p-19 b,And,98,2009-09,2021-12,14. feb 2022  (64)
Hat-p-2 b,Her,13,2007-04,2015-07,11. dec 2018  (1225)
Hat-p-20 b,Gem,127,2009-09,2022-02,14. feb 2022  (64)
Hat-p-21 b,Uma,24,2009-06,2021-04,09. apr 2021  (374)
Hat-p-22 b,Uma,86,2009-04,2022-01,14. feb 2022  (64)
Hat-p-23 b,Del,131,2009-01,2021-10,10. dec 2021  (130)
Hat-p-24 b,Gem,25,2010-01,2021-11,10. dec 2021  (130)
Hat-p-25 b,Ari,57,2009-12,2021-11,10. dec 2021  (130)
Hat-p-26 b,Vir,20,2010-04,2022-03,15. mar 2022  (34)
Hat-p-27/wasp-40 b,Vir,75,2009-12,2022-02,15. mar 2022  (34)
Hat-p-28 b,And,54,2010-08,2020-11,15. nov 2020  (520)
Hat-p-29 b,Per,19,2010-01,2020-09,28. sep 2020  (568)
Hat-p-3 b,Uma,188,2007-04,2021-07,10. dec 2021  (130)
Hat-p-30/wasp-51 b,Hya,59,2010-09,2021-02,27. feb 2021  (416)
Hat-p-31 b,Her,8,2007-08,2021-08,16. sep 2021  (214)
Hat-p-32 b,And,171,2007-11,2022-01,15. mar 2022  (34)
Hat-p-33 b,Gem,26,2009-10,2021-02,09. apr 2021  (374)
Hat-p-34 b,Sge,17,2010-08,2021-09,10. dec 2021  (130)
Hat-p-35 b,Hya,12,2011-01,2022-02,15. mar 2022  (34)
Hat-p-36 b,Cvn,243,2002-01,8588-01,15. mar 2022  (34)
Hat-p-37 b,Dra,133,2011-03,6259-04,10. dec 2021  (130)
Hat-p-38 b,Tri,48,2011-10,2021-11,10. dec 2021  (130)
Hat-p-39 b,Gem,18,2010-01,2022-01,14. feb 2022  (64)
Hat-p-4 b,Boo,47,2007-05,2021-03,09. apr 2021  (374)
Hat-p-40 b,Lac,2,2011-09,2020-09,18. oct 2020  (547)
Hat-p-41 b,Aql,4,2009-06,2020-08,26. aug 2020  (601)
Hat-p-42 b,Hya,3,2012-01,2016-12,12. jan 2017  (1922)
Hat-p-43 b,Cnc,15,2012-03,2022-02,14. feb 2022  (64)
Hat-p-44 b,Boo,45,2011-05,2022-03,15. mar 2022  (34)
Hat-p-45 b,Ser,7,2011-06,2021-06,26. jun 2021  (297)
Hat-p-46 b,Ser,11,2011-05,2021-07,16. sep 2021  (214)
Hat-p-49 b,Vul,6,2013-04,2019-09,09. dec 2019  (862)
Hat-p-5 b,Lyr,103,2007-05,2021-11,10. dec 2021  (130)
Hat-p-50 b,Cmi,6,2012-12,2021-01,07. feb 2021  (435)
