name,priority,total_observations,recent_observations,ra_j2000,dec_j2000,v_mag,r_mag,gaia_g_mag,depth_mmag,duration_hours,t0_bjd_tdb,t0_unc,period_days,period_unc,current_oc_min,min_telescope_inches,expected_transit_snr_tess
55Cnce,high,0,0,08:52:35.8113,+28:19:50.956,5.96,5.4,5.714,0.45,1.56,2455962.0727,0.0007,0.736545,9e-07,0.0,120.78,10.44
AUMicb,medium,0,0,20:45:09.5323,-31:20:27.241,8.627,9.078,7.84,3.32,3.51,2458330.39051,0.00015,8.463,2e-06,0.0,14.54,63.77
AUMicc,medium,0,0,20:45:09.5323,-31:20:27.241,8.627,9.078,7.84,1.96,4.51,2458342.2223,0.0005,18.859019,1.6e-05,0.0,23.6,43.71
CoRoT-2b,low,34,1,19:27:06.4944,+01:23:01.357,12.568,12.204,12.249,36.99,2.28,2457347.04314,0.00012,1.742997,1.1e-07,0.32,5.82,57.44
CoRoT-10b,high,0,0,19:24:15.2868,+00:44:46.003,15.216,15.48,14.665,15.32,3.02,2454273.3443,0.0012,13.2406,0.0002,0.0,38.46,7.33
CoRoT-11b,alert,23,0,18:42:44.9499,+05:56:15.652,12.939,12.622,12.841,11.76,2.49,2454597.6797,0.0003,2.99433,1.1e-05,-119.4,8.68,12.94
CoRoT-19b,high,0,0,06:28:08.0586,-00:10:14.532,14.007,14.17,13.783,8.08,4.7,2455257.4418,0.0006,3.89713,2e-05,0.0,24.58,7.09
DSTucAb,medium,0,0,23:39:39.4809,-69:11:44.709,8.47,9.28,8.319,3.93,3.18,2458332.31077,0.00026,8.138268,1.1e-05,0.0,12.66,49.75
EPIC211945201b,medium,0,0,09:06:17.7565,+19:24:08.051,10.15,9.847,10.051,1.65,3.91,2458113.9399,0.0004,19.49213,1e-05,0.0,30.26,10.59
EPIC246851721b,alert,2,2,05:15:40.7537,+16:16:43.518,11.24,11.034,11.255,5.39,4.1,2457865.11032,0.0001,6.180235,1.4e-05,13.0,10.81,18.84
G9-40b,medium,0,0,08:58:52.3299,+21:04:34.202,13.821,12.683,12.733,4.26,1.33,2458497.77747,0.00032,5.746007,6e-06,0.0,28.85,5.3
GJ357b,high,0,0,09:36:01.6372,-21:39:38.878,10.906,9.858,9.88,1.43,1.53,2458517.99862,0.00039,3.93072,8e-05,0.0,43.18,7.99
GJ367b,high,0,0,09:44:29.8367,-45:46:35.427,9.979,9.019,9.152,0.25,0.63,2458544.1348,0.0004,0.321962,1e-05,0.0,313.41,1.27
GJ436b,low,29,3,11:42:11.0933,+26:42:23.658,10.613,10.272,9.571,7.12,1.02,2454873.01582,4e-05,2.64389751,1.2e-07,1.3,10.28,40.97
GJ486b,high,0,0,12:47:56.6249,+09:45:05.031,11.395,10.235,10.094,1.78,1.03,2458931.15935,0.00042,1.467119,3.1e-05,0.0,40.72,7.66
GJ1132b,high,0,0,10:14:51.7783,-47:09:24.189,13.49,13.067,12.138,3.39,0.76,2457184.5576,0.0003,1.6289287,1.8e-06,0.0,51.65,4.47
GJ1214b,low,8,0,17:15:18.9337,+04:57:50.064,15.1,14.394,13.009,18.78,0.87,2455881.57931,2.2e-05,1.58040454,4e-08,1.5,18.54,16.45
GJ1252b,high,0,0,20:27:42.0813,-56:27:25.156,12.68,11.83,11.236,1.0,0.74,2458668.09739,0.00032,0.5182349,6.3e-06,0.0,110.76,1.99
GJ3470b,low,4,1,07:59:05.8395,+15:23:29.240,12.33,11.934,11.354,7.69,1.91,2456340.72559,0.00011,3.336649,2e-06,4.8,11.08,22.73
GJ3473b,high,0,0,08:02:22.8828,+03:20:19.692,13.74,13.44,12.465,1.33,0.95,2458492.20408,0.00043,1.1980035,1.8e-06,0.0,146.07,1.61
GJ9827b,high,0,0,23:27:04.8376,-01:17:10.585,10.1,10.09,9.838,0.74,1.27,2457738.8259,0.0003,1.20898,8e-06,0.0,90.14,3.49
GJ9827c,high,0,0,23:27:04.8376,-01:17:10.585,10.1,10.09,9.838,0.46,1.82,2457742.1993,0.00072,3.648096,6.3e-05,0.0,130.9,2.6
GJ9827d,high,0,0,23:27:04.8376,-01:17:10.585,10.1,10.09,9.838,0.84,1.22,2457740.9611,0.0004,6.20147,6e-05,0.0,80.4,4.17
GPX-1b,low,7,3,02:33:28.5998,+56:01:32.588,12.319,12.033,12.223,9.33,2.12,2458770.23823,0.0004,1.744579,8e-06,1.0,9.18,13.02
HAT-P-1b,low,10,4,22:57:46.8443,+38:40:30.355,9.87,10.02,10.179,15.23,2.88,2455801.7739,0.00018,4.4652992,4e-07,-0.1,5.0,78.7
HAT-P-2b,medium,0,0,16:20:36.3579,+41:02:53.109,8.69,8.417,8.598,6.62,4.31,2454387.4945,0.00074,5.6334729,6.1e-06,0.0,6.86,81.96
HAT-P-3b,low,37,5,13:44:22.5939,+48:01:43.206,11.86,11.025,11.28,14.14,2.08,2455694.72623,8e-05,2.89973826,1.5e-07,-0.05,5.0,36.62
HAT-P-4b,low,10,0,15:19:57.9205,+36:13:46.737,11.12,10.848,11.063,9.84,4.25,2454740.97205,0.0002,3.0565233,6e-07,0.1,5.7,37.51
HAT-P-5b,low,17,4,18:17:37.3127,+36:37:17.168,11.95,11.604,11.822,15.58,2.94,2455705.72567,0.00024,2.7884735,5e-07,0.6,5.0,32.6
HAT-P-6b,low,21,1,23:39:05.8101,+42:27:57.503,10.47,10.129,10.306,10.35,3.51,2455260.92994,0.00021,3.8529962,5e-07,0.5,5.08,51.78
HAT-P-7b,low,9,1,19:28:59.3538,+47:58:10.216,10.48,10.178,10.365,7.41,3.95,2455174.8326,0.0003,2.2047363,7e-07,-1.6,6.97,38.44
HAT-P-8b,low,6,1,22:52:09.8635,+35:26:49.606,10.36,10.15,10.149,10.94,3.93,2455945.0839,0.0003,3.0763433,7e-07,0.9,5.0,63.75
HAT-P-9b,low,8,2,07:20:40.4562,+37:08:26.342,12.34,12.08,12.154,14.08,3.34,2455473.14492,0.00023,3.9228105,8e-07,0.7,5.61,25.12
HAT-P-11b,low,8,0,19:50:50.2474,+48:04:51.097,9.461,8.8,9.151,4.39,2.34,2455109.335119,2.1e-05,4.8878009,3e-07,-0.1,11.8,35.99
HAT-P-12b,low,45,4,13:57:33.4668,+43:29:36.602,12.84,12.152,12.42,27.59,2.34,2456716.5327,6e-05,3.21305751,1.7e-07,0.53,5.7,41.1
HAT-P-13b,low,14,5,08:39:31.8073,+47:21:07.275,10.42,10.4,10.417,8.25,3.32,2455456.49826,0.00016,2.9162431,6e-07,-0.2,6.64,41.03
HAT-P-14b,low,10,0,17:20:27.8782,+38:14:31.909,9.99,9.689,9.873,5.61,2.35,2455421.35484,0.00022,4.6276623,1e-06,-0.4,9.74,30.44
HAT-P-15b,alert,8,7,04:24:59.5347,+39:27:38.312,12.41,11.81,11.723,13.51,5.45,2454638.5609,0.0005,10.8635,3e-05,-33.1,5.06,45.97
HAT-P-16b,low,22,9,00:38:17.5584,+42:27:47.216,10.91,10.553,10.757,14.45,3.07,2455968.64684,0.00013,2.7759677,3e-07,0.2,5.0,54.82
HAT-P-17b,medium,4,0,21:38:08.7311,+30:29:19.445,10.38,10.24,10.274,20.37,4.04,2456569.05972,5e-05,10.3385346,9e-07,-0.0,5.0,120.87
HAT-P-18b,low,5,0,17:05:23.1475,+33:00:44.939,12.759,12.61,12.368,24.28,2.71,2457276.25646,0.0001,5.50803,8e-07,-1.3,6.88,39.76
HAT-P-19b,low,25,6,00:38:04.0136,+34:42:41.552,12.901,12.82,12.557,26.46,2.87,2456899.49658,0.0001,4.0087842,4e-07,0.32,7.57,39.2
HAT-P-20b,low,33,12,07:27:39.9487,+24:20:11.518,11.35,11.0,10.99,19.78,1.86,2456705.48183,7e-05,2.87531693,2.4e-07,1.18,5.0,61.59
HAT-P-21b,alert,10,2,11:25:05.9858,+41:01:40.669,11.46,11.71,11.558,11.12,3.71,2454996.4139,0.0007,4.124481,7e-06,10.4,6.24,31.13
