observer,oc,oceu,ocel,date,source
Mike Miller,5.4,1.2,1.2,2021-10-11 15:33:23.184025088,ExoClock observation
Jean plazas,-0.576,2.5344,2.5344,2021-08-06 09:50:38.688000256,ETD
F. lomoz,-4.896,1.0944,1.0944,2021-08-06 09:46:16.032000000,ETD
Yves Jongen,1.5,0.4,0.4,2021-08-04 16:02:46.492827136,ExoClock observation
Yves jongen,-0.144,0.4176,0.4176,2021-08-04 16:01:04.224000256,ETD
Lomoz f.,9.216,3.312,3.312,2021-07-23 11:21:08.927999744,ETD
Martin Crow,0.6,0.7,0.7,2021-07-16 11:52:48.144004096,ExoClock observation
Yves jongen,0.432,0.6768,0.6768,2021-07-16 11:52:38.496000256,ETD
Yves Jongen,0.3,0.6,0.6,2021-07-16 11:52:30.143981056,ExoClock observation
Kevin Hills,-0.6,0.4,0.4,2021-07-02 13:12:16.617596416,ExoClock observation
Enrique Arce,1.4,1.0,1.0,2021-06-25 13:54:36.854391296,ExoClock observation
Enrique arce mansego,-0.288,1.1088,1.1088,2021-06-25 13:52:55.487999744,ETD
Andre Kovacs,-2.9,2.4,2.4,2021-06-09 21:21:04.387227648,ExoClock observation
Iakovos Strikis,-3.8,2.0,2.0,2020-08-19 07:44:25.392006912,ExoClock observation
Yves Jongen,0.2,0.4,0.4,2020-08-17 13:58:30.451233280,ExoClock observation
Yves jongen,-0.432,0.3888,0.3888,2020-08-17 13:57:53.568000256,ETD
Yves Jongen,0.2,1.0,1.0,2020-08-05 09:09:05.865637120,ExoClock observation
Yves jongen,-2.016,0.7488,0.7488,2020-08-05 09:06:50.400000000,ETD
Nikolaos Paschalis,0.4,1.3,1.3,2020-07-08 11:50:38.812820736,ExoClock observation
Francois Regembal,0.1,1.2,1.2,2020-07-08 11:50:20.812837888,ExoClock observation
Yves Jongen,-0.6,0.4,0.4,2020-07-08 11:49:38.812824064,ExoClock observation
Anaël wünsche,-0.72,0.6336,0.6336,2020-07-08 11:49:28.416000000,ETD
Mauro Caló,-1.0,0.7,0.7,2020-07-08 11:49:14.812833792,ExoClock observation
Yves jongen,-1.296,0.432,0.432,2020-07-08 11:48:55.584000000,ETD
Alberto Tomatis,-1.5,0.6,0.6,2020-07-08 11:48:44.812835328,ExoClock observation
Francois regembal,-7.776,1.4832,1.4832,2020-07-08 11:42:24.192000256,ETD
Yves Jongen,0.1,0.4,0.4,2020-07-01 12:30:41.049639936,ExoClock observation
Yves jongen,-1.584,0.5904,0.5904,2020-07-01 12:29:01.824000000,ETD
Anaël wünsche,0.576,0.7632,0.7632,2020-06-24 13:11:27.167999744,ETD
Adrian Jones,-0.4,0.6,0.6,2020-06-24 13:10:31.286443776,ExoClock observation
Yves Jongen,-1.7,0.7,0.7,2020-06-24 13:09:13.286424320,ExoClock observation
Yves jongen,-1.728,0.5616,0.5616,2020-06-24 13:09:10.656000256,ETD
Martin Fowler,0.2,1.9,1.9,2020-06-22 19:21:12.345650176,ExoClock observation
Roger Dymock,2.5,5.8,5.8,2020-06-08 20:44:10.819189760,ExoClock observation
Yves Jongen,0.2,0.6,0.6,2020-04-08 20:34:49.891232512,ExoClock observation
Yves jongen,-0.0,0.7344,0.7344,2020-04-08 20:34:35.904000256,ETD
Lionel rousselot,2.016,0.8352,0.8352,2019-09-28 09:15:59.904000000,ETD
Antonino brosio,0.576,1.7712,1.7712,2019-09-28 09:14:30.047999744,ETD
