date,observer,oc,oceu,ocel,source
2021-07-05 13:11:41.855999744,Yves jongen,-36.288,4.7376,4.7376,ETD
2020-07-16 10:43:02.783999744,Yves jongen,-27.36,3.96,3.96,ETD
2016-07-23 20:05:17.664000256,Oleg mazurenko,120.24,19.656,19.656,ETD
2015-06-28 10:36:44.351999744,Aaav astrofili valdera,104.688,,,ETD
2014-06-20 14:46:20.928000000,Sauer t.,-10.368,2.6928,2.6928,ETD
2012-07-12 09:19:19.488000256,Thomas sauer,-22.464,1.5696,1.5696,ETD
2011-06-29 10:32:12.192000000,Toni scarmato,-8.352,1.0224,1.0224,ETD
2010-07-16 13:03:43.200000000,Sauer t.,-5.328,1.7712,1.7712,ETD
2010-07-16 12:38:50.208000000,Mihelčič m.,-30.24,7.488,7.488,ETD
2007-05-17 23:22:59.520000256,P. bord´e et al. 2010,-84.816,0.576,0.576,ETD
