date,observer,oc,oceu,ocel,source
2022-01-26 07:44:48.192000256,Miguel angel alava,3.456,2.4336,2.4336,ETD
2021-12-21 11:26:04.416000000,Mark salisbury,4.608,0.9504,0.9504,ETD
2021-10-30 07:59:26.016000000,Sw johny,1.44,29.5344,29.5344,ETD
2021-10-07 12:37:02.207999744,Esteban fernández mañanes,8.064,0.72,0.72,ETD
2021-10-07 12:29:21.695999744,Manfred raetz,0.432,0.5328,0.5328,ETD
2021-09-11 10:53:55.968000256,Gianluca rossi,6.768,2.9664,2.9664,ETD
2021-01-26 07:55:01.631999744,Snaevarr gudmundsson,-1.872,0.8784,0.8784,ETD
2020-02-22 09:57:31.679999744,Jean plazas,3.312,2.1744,2.1744,ETD
2020-01-01 06:31:40.799999744,Manfred raetz,0.864,0.6624,0.6624,ETD
2020-01-01 06:29:11.328000000,Nosáľ p.,-1.584,2.6352,2.6352,ETD
2019-11-26 10:20:45.312000256,Antonino brosio,9.936,1.0512,1.0512,ETD
2019-02-09 09:36:40.608000000,Jean plazas,17.712,3.4992,3.4992,ETD
2019-01-01 06:54:30.240000000,Yves jongen,8.208,0.576,0.576,ETD
2018-10-08 13:12:47.520000000,Patrick sogorb,-2.88,1.4832,1.4832,ETD
2018-09-25 12:27:13.824000000,"K. havrila, p. baláž, j. világi, š. gajdoš",2.448,0.8496,0.8496,ETD
2018-09-25 12:26:56.543999744,Yves jongen,2.16,2.4048,2.4048,ETD
2018-09-12 11:28:20.064000000,Tomasz popajewski,-5.616,13.2912,13.2912,ETD
2018-02-09 09:39:54.144000256,Ferran grau horta,5.328,1.5984,1.5984,ETD
2018-01-14 07:53:04.128000256,Georg nawrath,0.288,1.5984,1.5984,ETD
2017-12-22 12:26:29.760000000,David molina,2.736,1.3824,1.3824,ETD
2017-01-01 07:21:46.656000256,Marc bretton,4.32,0.6768,0.6768,ETD
2017-01-01 07:18:46.080000000,Marc bretton,1.296,0.3456,0.3456,ETD
2016-12-22 12:37:20.352000256,José maría fernández andújar,-2.016,3.5136,3.5136,ETD
2016-10-11 20:00:16.992000256,Michael fleenor,0.72,0.7344,0.7344,ETD
2016-10-11 19:59:11.328000000,Michael fleenor,-0.288,0.5904,0.5904,ETD
2016-09-25 12:53:50.495999744,Bernd gaehrken,-2.016,1.368,1.368,ETD
2016-01-15 08:27:24.768000000,"Florian signoret, jean-bernard pioppa",3.6,0.7632,0.7632,ETD
2016-01-15 08:26:20.831999744,Marc bretton,2.448,1.7712,1.7712,ETD
2016-01-15 08:25:52.320000256,"Dubreuil pierre, jaecques, barouch jacques",2.016,1.224,1.224,ETD
2016-01-15 08:24:16.415999744,Marc deldem,0.432,1.0224,1.0224,ETD
2004-08-01 00:13:40.800000000,Santerne et al. (2016),0.0,3.168,3.168,ETD
