date,observer,oc,oce,source
2022-03-19,Adrian Jones,3.3,1.9,ExoClock observation
2022-03-19,Martin Crow,5.6,2.9,ExoClock observation
2022-02-10,Adrian Jones,0.8,2.0,ExoClock observation
2021-04-12,Ferran Grau Horta,3.3,2.4,ExoClock observation
2021-04-12,John Savage,1.0,0.9,ExoClock observation
2021-03-06,Lionel Rousselot,4.9,2.2,ExoClock observation
2021-03-06,Manfred Raetz,1.8,0.9,ExoClock observation
2021-03-06,John Savage,1.5,1.4,ExoClock observation
2021-03-06,Massimiliano Mannucci,0.6,2.6,ExoClock observation
2021-03-04,Yves Jongen,2.2,1.2,ExoClock observation
2021-02-26,John Savage,3.5,1.7,ExoClock observation
2020-03-22,Manfred Raetz,2.3,1.3,ExoClock observation
2020-03-14,Ana\xc3\xabl W\xc3\xbcnsche,-0.2,0.7,ExoClock observation
2020-02-14,Ana\xc3\xabl W\xc3\xbcnsche,-1.5,1.0,ExoClock observation
2020-02-14,Roland Casali,-2.8,4.3,ExoClock observation
2020-02-06,Alberto Tomatis,2.8,2.2,ExoClock observation
2020-02-06,Ana\xc3\xabl W\xc3\xbcnsche,-0.2,1.2,ExoClock observation
2020-01-30,Ana\xc3\xabl W\xc3\xbcnsche,5.0,1.2,ExoClock observation
2019-05-15,Ana\xc3\xabl W\xc3\xbcnsche,3.3,1.9,ExoClock observation
2019-04-08,Ana\xc3\xabl W\xc3\xbcnsche,0.1,1.2,ExoClock observation
2018-02-09,Lorenzo Betti,4.9,3.2,ExoClock observation
2017-04-11,Ana\xc3\xabl W\xc3\xbcnsche,4.4,1.3,ExoClock observation
2013-01-02,Knutson et al. 2014,0.0,0.1,ExoClock literature
2012-12-10,Knutson et al. 2014,-0.0,0.1,ExoClock literature
2012-11-29,Knutson et al. 2014,0.1,0.1,ExoClock literature
2012-10-26,Knutson et al. 2014,-0.1,0.2,ExoClock literature
2012-03-12,Alessandro Marchini,4.7,2.6,ExoClock observation
2012-03-04,Filip Walter,0.0,1.0,ExoClock observation
2011-02-04,Alessandro Marchini,1.8,5.8,ExoClock observation
2009-01-30,Alessandro Marchini,-0.3,1.3,ExoClock observation
2009-01-28,Beaulieu et al. 2011,-0.9,0.1,ExoClock literature
2008-03-09,Alonso et al. 2008,-0.5,0.2,ExoClock literature
2008-02-16,Alessandro Marchini,1.6,2.9,ExoClock observation
2008-02-16,Filip Walter,3.4,1.6,ExoClock observation
2008-02-09,Ribas et al. 2008,0.8,0.7,ExoClock literature
2008-02-09,Alessandro Marchini,-2.4,2.7,ExoClock observation
2008-01-02,Bean et al. 2008,0.6,1.4,ExoClock literature
2007-12-28,Bean et al. 2008,-1.4,1.3,ExoClock literature
2007-12-12,Bean et al. 2008,0.1,1.2,ExoClock literature
2007-12-10,Bean et al. 2008,0.3,1.3,ExoClock literature
2007-12-04,Bean et al. 2008,0.4,1.0,ExoClock literature
2007-06-29,Southworth 2008,0.1,0.2,ExoClock literature
2007-06-29,Gillon et al. 2007,-0.3,0.2,ExoClock literature
2007-06-29,Southworth 2008,-0.5,0.2,ExoClock literature
2007-06-29,Deming et al. 2007,-0.8,0.2,ExoClock literature
2007-05-31,Shporer et al. 2009,0.6,0.4,ExoClock literature
2007-05-25,Shporer et al. 2009,-2.3,0.6,ExoClock literature
2007-05-23,Shporer et al. 2009,-1.3,0.4,ExoClock literature
2007-05-17,Turner et al. 2016,0.4,0.1,ExoClock literature
2007-05-17,C\xc3\xa1ceres et al. 2009,-1.0,0.7,ExoClock literature
2007-05-15,Shporer et al. 2009,-0.5,0.1,ExoClock literature
2007-05-04,Shporer et al. 2009,-0.3,0.5,ExoClock literature
2007-05-04,Shporer et al. 2009,0.4,0.4,ExoClock literature
2007-05-02,Gillon et al. 2007,-0.0,1.4,ExoClock literature
2007-05-02,Shporer et al. 2009,-0.3,0.5,ExoClock literature
