date,observer,oc,oceu,ocel,source
2021-02-17 15:14:07.584000256,Yves jongen,23.04,1.2528,1.2528,ETD
2020-04-03 07:29:52.224000000,Jean plazas,17.136,,,ETD
2020-02-26 14:41:40.127999744,Yves jongen,21.456,1.3392,1.3392,ETD
2019-01-28 21:17:18.528000256,Stan shadick,20.448,1.728,1.728,ETD
2019-01-05 12:36:53.568000000,"Francesco scaggiante, danilo zardin",13.536,1.4112,1.4112,ETD
2018-02-12 12:49:07.967999744,Matthieu bachschmidt,13.68,1.3248,1.3248,ETD
2018-02-02 12:36:34.560000000,Fran campos,15.408,1.368,1.368,ETD
2017-12-24 11:46:30.432000000,Jean plazas,22.608,5.3136,5.3136,ETD
2017-01-21 11:19:44.256000000,David molina,-1.872,1.5264,1.5264,ETD
2017-01-21 11:16:12.576000000,Matthieu bachschmidt,-5.472,0.9072,0.9072,ETD
2016-02-29 11:49:05.951999744,David molina,15.408,1.1808,1.1808,ETD
2016-01-30 11:05:40.992000000,Luis tremosa,14.976,1.8864,1.8864,ETD
2015-03-19 11:36:55.871999744,Marc bretton,19.728,1.0944,1.0944,ETD
2015-02-17 11:01:14.016000000,Marc bretton,27.072,0.9936,0.9936,ETD
2015-02-17 09:44:15.936000256,"Francesco scaggiante, danilo zardin",-49.968,2.6064,2.6064,ETD
2015-01-31 18:24:49.536000000,Paul benni,14.544,1.872,1.872,ETD
2015-01-18 10:08:48.192000000,"Eugene sokov, sergey rusov",17.568,1.8144,1.8144,ETD
2015-01-08 09:54:42.335999744,Ramon naves nogues,17.856,1.656,1.656,ETD
2014-02-15 10:04:53.183999744,Salisbury m.,15.84,1.008,1.008,ETD
2014-02-05 10:01:21.503999744,Horta f. g.,26.64,2.7648,2.7648,ETD
2014-02-05 09:49:42.528000000,Salisbury m.,14.976,1.152,1.152,ETD
2014-02-05 09:31:58.080000000,Gaitan j.,-2.736,1.6704,1.6704,ETD
2014-01-29 17:37:14.016000256,Benni p.,12.096,0.8928,0.8928,ETD
2014-01-09 17:02:30.911999744,Benni p.,6.048,1.2816,1.2816,ETD
2013-12-30 16:58:47.136000000,Benni p.,16.704,0.936,0.936,ETD
2012-01-26 15:56:52.800000000,"X. bonfils et al., 2012",2.16,4.896,4.896,ETD
