observer,oc,oceu,ocel,date,source
Mercedes Correa,1.2,1.3,1.3,2022-04-25 11:39:25.479920896,ExoClock observation
"Francesco scaggiante, danilo zardin,marco fiaschi",0.144,1.7424,1.7424,2022-04-04 08:00:36.864000000,ETD
Francesco Scaggiante,-1.7,1.0,1.0,2022-04-04 07:58:49.521015296,ExoClock observation
Albert valenzuela gonzalez,-29.088,6.2496,6.2496,2022-03-27 09:09:44.928000000,ETD
Martin Crow,5.6,2.9,2.9,2022-03-19 11:22:51.051800320,ExoClock observation
Adrian Jones,3.3,1.9,1.9,2022-03-19 11:20:33.051824640,ExoClock observation
Jens jacobsen,14.832,7.2432,7.2432,2022-02-26 07:54:25.344000000,ETD
Adrian Jones,0.8,2.0,2.0,2022-02-10 10:57:04.623696384,ExoClock observation
Yenal öğmen,-0.288,1.44,1.44,2021-06-04 06:50:44.735999744,ETD
Veli-pekka hentunen,-4.176,1.5264,1.5264,2021-04-20 08:04:20.639999744,ETD
Ferran grau horta,5.04,2.6496,2.6496,2021-04-12 09:51:51.264000256,ETD
Ferran Grau Horta,3.3,2.4,2.4,2021-04-12 09:50:08.964367104,ExoClock observation
John Savage,1.0,0.9,0.9,2021-04-12 09:47:50.964351232,ExoClock observation
Yves jongen,-3.744,0.8352,0.8352,2021-04-12 09:43:09.408000256,ETD
Michael irzyk,6.336,14.0112,14.0112,2021-04-04 11:31:30.144000256,ETD
Lionel Rousselot,4.9,2.2,2.2,2021-03-06 09:30:46.536272640,ExoClock observation
Manfred Raetz,1.8,0.9,0.9,2021-03-06 09:27:40.536275712,ExoClock observation
John Savage,1.5,1.4,1.4,2021-03-06 09:27:22.536252672,ExoClock observation
"Francesco scaggiante, danilo zardin,marco fiaschi",1.152,1.5408,1.5408,2021-03-06 09:27:04.319999744,ETD
Manfred raetz,1.008,0.8352,0.8352,2021-03-06 09:26:51.359999744,ETD
Massimiliano Mannucci,0.6,2.6,2.6,2021-03-06 09:26:28.536263936,ExoClock observation
"Nico montigiani, massimiliano mannucci",-1.872,2.52,2.52,2021-03-06 09:24:00.287999744,ETD
Yves Jongen,2.2,1.2,1.2,2021-03-03 18:00:51.791430912,ExoClock observation
Yves jongen,1.008,1.0944,1.0944,2021-03-03 17:59:40.991999744,ETD
John Savage,3.5,1.7,1.7,2021-02-26 11:07:44.301659136,ExoClock observation
Veli-pekka hentunen,0.576,1.5984,1.5984,2020-11-20 15:18:00.864000000,ETD
Jean plazas,6.912,,,2020-05-27 12:01:01.344000000,ETD
Vojtěch dienstbier,13.824,1.3392,1.3392,2020-03-30 08:09:20.448000000,ETD
Dienstbier v.,13.824,1.3392,1.3392,2020-03-30 08:09:20.448000000,ETD
Michael theusner,0.72,2.088,2.088,2020-03-30 07:56:09.888000256,ETD
Manfred raetz,3.024,0.9504,0.9504,2020-03-22 09:36:50.112000000,ETD
Manfred Raetz,2.3,1.3,1.3,2020-03-22 09:36:08.214230272,ExoClock observation
F. lomoz,0.432,2.2608,2.2608,2020-03-22 09:34:18.911999744,ETD
Michael theusner,-0.864,2.0304,2.0304,2020-03-22 09:33:00.288000256,ETD
Jens jacobsen,-2.16,1.1664,1.1664,2020-03-22 09:31:39.936000000,ETD
Michael theusner,2.736,1.9296,1.9296,2020-03-14 11:14:53.951999744,ETD
Anaël Wünsche,0.9,0.7,0.7,2020-03-14 11:13:05.979616768,ExoClock observation
Anaël wünsche,-0.288,0.936,0.936,2020-03-14 11:11:50.784000000,ETD
Manfred raetz,-1.008,0.648,0.648,2020-03-14 11:11:11.039999744,ETD
Anaël Wünsche,-1.5,1.0,1.0,2020-02-14 09:11:21.786123008,ExoClock observation
Roland Casali,-2.8,4.3,4.3,2020-02-14 09:10:03.786103552,ExoClock observation
Anaël wünsche,-3.024,1.0944,1.0944,2020-02-14 09:09:48.384000000,ETD
Veli-pekka hentunen,-3.456,2.1456,2.1456,2020-02-14 09:09:23.328000256,ETD
Alberto Tomatis,2.8,2.2,2.2,2020-02-06 10:54:01.551545344,ExoClock observation
Anaël Wünsche,-0.2,1.2,1.2,2020-02-06 10:51:01.551515648,ExoClock observation
Marc bretton,-0.576,1.1088,1.1088,2020-02-06 10:50:38.976000256,ETD
Veli-pekka hentunen,-2.304,1.08,1.08,2020-02-06 10:48:56.160000000,ETD
Anaël wünsche,10.944,1.0512,1.0512,2020-01-29 12:40:29.568000256,ETD
Anaël Wünsche,5.0,1.2,1.2,2020-01-29 12:34:35.316926720,ExoClock observation
Manfred raetz,6.768,1.2816,1.2816,2020-01-21 14:14:39.264000000,ETD
Olivier batteux,2.016,1.8576,1.8576,2020-01-21 14:09:55.007999744,ETD
Anaël Wünsche,3.3,1.9,1.9,2019-05-15 10:06:04.320279552,ExoClock observation
Anael wunsche,1.728,1.224,1.224,2019-05-15 10:04:26.400000000,ETD
Jean plazas,-2.304,2.4768,2.4768,2019-05-15 10:00:29.663999744,ETD
Anaël Wünsche,0.1,1.2,1.2,2019-04-08 09:41:53.892178176,ExoClock observation
Anael wunsche,-0.864,1.0368,1.0368,2019-04-08 09:40:55.488000256,ETD
Jean plazas,1.872,2.5776,2.5776,2019-03-23 13:00:20.159999744,ETD
Yves jongen,0.288,1.152,1.152,2019-03-23 12:58:45.120000256,ETD
"Francesco scaggiante, danilo zardin",-6.192,1.2384,1.2384,2019-03-23 12:52:21.503999744,ETD
Jean plazas,11.808,1.296,1.296,2019-03-02 09:32:36.960000000,ETD
Jean plazas,10.656,,,2019-02-22 11:09:51.552000000,ETD
Pere guerra,-3.6,0.8784,0.8784,2019-02-22 10:55:37.920000000,ETD
"Francesco scaggiante, danilo zardin",2.16,1.08,1.08,2019-02-14 12:39:45.503999744,ETD
Yves jongen,0.72,0.8928,0.8928,2019-02-14 12:38:15.648000256,ETD
Fran campos,-2.304,1.3104,1.3104,2019-02-14 12:35:13.344000000,ETD
Serge bergeron,-0.144,1.7712,1.7712,2018-05-07 15:05:36.960000256,ETD
Nosáľ p.,11.664,1.5408,1.5408,2018-05-02 08:23:04.704000000,ETD
Nosáľ p.,3.744,2.0736,2.0736,2018-05-02 08:15:12.095999744,ETD
Yves jongen,4.752,0.7776,0.7776,2018-04-24 09:54:32.832000256,ETD
"Francesco scaggiante, danilo zardin",-0.144,1.296,1.296,2018-04-24 09:49:37.344000256,ETD
David molina,-0.432,1.08,1.08,2018-02-22 14:23:28.896000000,ETD
Lorenzo Betti,4.9,3.2,3.2,2018-02-09 09:12:42.713947904,ExoClock observation
Marc bretton,4.464,1.4112,1.4112,2017-04-11 08:02:50.784000256,ETD
Anaël Wünsche,4.4,1.3,1.3,2017-04-11 08:02:47.054589184,ExoClock observation
Serge bergeron,-10.656,1.4832,1.4832,2017-04-08 16:20:34.943999744,ETD
"Francesco scaggiante, danilo zardin",-2.448,1.9872,1.9872,2017-03-10 14:29:25.728000256,ETD
Josep gaitan ,-5.472,1.44,1.44,2017-02-25 09:10:17.759999744,ETD
Wonseok kang,-0.576,1.0656,1.0656,2017-02-12 03:59:06.720000000,ETD
Medulka t.,7.056,2.232,2.232,2017-01-19 09:01:50.591999744,ETD
Marc bretton,-6.624,1.6704,1.6704,2016-04-19 09:38:02.688000256,ETD
Robert harmon,-0.432,3.384,3.384,2016-04-16 18:17:05.568000256,ETD
Jc mario,1.44,2.304,2.304,2016-03-05 11:03:31.392000000,ETD
David molina,-1.584,1.152,1.152,2016-02-18 14:17:14.783999744,ETD
Stan shadick,12.096,2.1888,2.1888,2015-05-11 16:59:11.328000000,ETD
Aaav astrofili valdera,4.32,,,2015-05-06 09:56:59.711999744,ETD
Faustino garcia,-0.576,1.08,1.08,2015-05-06 09:52:02.495999744,ETD
Marc bretton,-5.04,3.1824,3.1824,2015-05-06 09:47:39.840000000,ETD
Stan shadick,2.016,1.5264,1.5264,2015-05-03 18:27:28.511999744,ETD
Marc bretton,-1.296,2.2176,2.2176,2015-04-20 13:08:06.719999744,ETD
Josep gaitan,-16.272,1.9152,1.9152,2015-04-07 07:37:05.952000256,ETD
David molina,62.928,5.3568,5.3568,2015-03-30 10:34:39.072000256,ETD
David molina,-0.144,2.1456,2.1456,2015-03-14 12:48:12.671999744,ETD
Veli-pekka hentunen,-0.576,1.1664,1.1664,2015-03-14 12:47:49.344000000,ETD
Martin zíbar,1.008,3.8736,3.8736,2015-02-26 16:06:10.080000000,ETD
Martin vrašťák,1.584,1.368,1.368,2015-02-13 10:50:41.567999744,ETD
Marc bretton,-7.2,1.9008,1.9008,2014-12-22 13:37:37.919999744,ETD
Paul benni,-0.72,1.1376,1.1376,2014-12-19 22:16:52.896000000,ETD
Drumheller d.,1.44,2.8656,2.8656,2014-07-03 17:17:26.880000000,ETD
Arce e.,-0.72,1.7856,1.7856,2014-05-22 09:59:55.104000000,ETD
Aaav astrofili valdera,3.6,,,2014-05-14 11:42:34.560000000,ETD
Salisbury m.,-1.728,0.8352,0.8352,2014-05-14 11:37:14.880000000,ETD
Corfini g.,3.888,1.8576,1.8576,2014-04-15 09:43:35.328000256,ETD
Garlitz j.,5.472,2.9664,2.9664,2014-04-12 18:17:53.088000000,ETD
"Shadic s., aziz u.",4.032,1.4256,1.4256,2014-03-27 21:33:12.384000000,ETD
Sokov e. n.,0.576,1.08,1.08,2014-03-09 09:19:13.440000000,ETD
Blois sologne astronomie,-0.144,3.3264,3.3264,2014-03-09 09:18:32.832000256,ETD
Dittler u.,-1.152,6.7104,6.7104,2014-03-09 09:17:29.760000256,ETD
René r.,-2.16,4.0176,4.0176,2014-03-09 09:16:34.463999744,ETD
Gaitan j.,-17.424,1.3968,1.3968,2014-03-09 09:01:13.439999744,ETD
Benni p.,-1.296,0.9072,0.9072,2014-03-06 17:50:08.160000256,ETD
Hentunen v. p.,-1.728,0.9216,0.9216,2014-01-23 10:34:20.927999744,ETD
Benni p.,-1.008,0.6192,0.6192,2014-01-12 20:46:14.016000000,ETD
Benni p.,0.576,0.6624,0.6624,2014-01-04 22:26:06.720000256,ETD
Garcia f.,2.016,1.0656,1.0656,2013-04-23 11:28:03.648000000,ETD
Knutson et al. 2014,0.0,0.1,0.1,2013-01-02 10:23:03.584837632,ExoClock literature
Knutson et al. 2014,-0.0,0.1,0.1,2012-12-09 15:18:08.881038080,ExoClock literature
Knutson et al. 2014,0.1,0.1,0.1,2012-11-29 01:29:23.901583872,ExoClock literature
Knutson et al. 2014,-0.1,0.2,0.2,2012-10-25 16:35:26.218347264,ExoClock literature
Carreño a.,-3.456,1.1088,1.1088,2012-05-09 11:30:28.800000000,ETD
Sokov e. n.,0.576,1.3104,1.3104,2012-04-18 07:56:45.312000256,ETD
"Izmailov i., sokov e. n.",-6.192,3.9888,3.9888,2012-04-10 09:28:22.944000000,ETD
Shadic s.,-0.144,1.3536,1.3536,2012-04-07 18:07:16.320000000,ETD
Moudrá m.,-9.216,2.6352,2.6352,2012-03-25 12:42:09.792000256,ETD
Alessandro Marchini,4.7,2.6,2.6,2012-03-12 07:39:58.160062720,ExoClock observation
Marchini a.,0.432,2.0016,2.0016,2012-03-12 07:35:45.600000000,ETD
Lomoz f.,6.768,1.8432,1.8432,2012-03-04 09:20:25.151999744,ETD
Filip Walter,0.0,1.0,1.0,2012-03-04 09:13:37.925477120,ExoClock observation
Poddaný s.,-0.864,1.0224,1.0224,2012-03-04 09:12:43.776000256,ETD
Lomoz f.,-7.2,1.1232,1.1232,2012-03-04 09:06:28.800000256,ETD
"Slesarenko v. , sokov e.",-1.584,1.1232,1.1232,2012-02-09 14:07:08.256000000,ETD
Emering f.,-12.816,0.7344,0.7344,2012-02-09 13:55:51.743999744,ETD
Shadic s.,2.016,1.5696,1.5696,2012-01-08 20:44:09.600000000,ETD
Shadic s.,0.144,1.512,1.512,2012-01-08 20:42:22.464000256,ETD
Lopesino j.,-5.76,1.2384,1.2384,2012-01-03 13:42:01.439999744,ETD
Ramon naves,-4.464,1.1664,1.1664,2011-12-26 15:21:35.136000256,ETD
Sergison d.,-2.16,1.1088,1.1088,2011-04-27 09:40:28.704000000,ETD
Shadic s.,-1.44,0.936,0.936,2011-04-24 18:13:58.080000256,ETD
Shadic s.,-2.16,1.2672,1.2672,2011-04-24 18:13:11.424000000,ETD
Sergison d.,-2.016,3.0384,3.0384,2011-04-19 11:18:50.688000256,ETD
Scarmato t.,-7.2,0.9792,0.9792,2011-04-19 11:13:40.512000000,ETD
Brát l.,-0.288,3.5712,3.5712,2011-03-29 07:43:00.192000000,ETD
Hentunen v.,-2.016,1.3968,1.3968,2011-03-29 07:41:10.464000000,ETD
"Gajdoš š, világi j.",-0.864,1.656,1.656,2011-03-13 10:59:02.688000256,ETD
Sergison d.,-3.312,1.1232,1.1232,2011-03-13 10:56:35.808000256,ETD
Nicolas e.,-3.744,1.5552,1.5552,2011-03-05 12:34:33.599999744,ETD
Herrero e.,-5.472,0.9792,0.9792,2011-03-05 12:32:51.647999744,ETD
Lomoz f.,2.16,1.584,1.584,2011-02-25 14:18:47.232000256,ETD
Lomoz f.,-1.44,1.8144,1.8144,2011-02-25 14:15:15.552000256,ETD
Marchini a.,2.592,2.088,2.088,2011-02-04 10:41:32.063999744,ETD
Alessandro Marchini,1.8,5.8,5.8,2011-02-04 10:40:46.940727552,ExoClock observation
Shadic s.,-3.744,1.2528,1.2528,2011-02-01 19:08:00.671999744,ETD
Naves r.,-7.488,1.4688,1.4688,2011-01-11 15:26:38.399999744,ETD
Vieira j.,1.728,1.6272,1.6272,2010-05-05 11:30:40.895999744,ETD
Lomoz f.,7.776,2.9664,2.9664,2010-04-06 09:37:22.080000256,ETD
Corfini g.,-0.72,1.944,1.944,2010-04-06 09:28:46.271999744,ETD
Thomas s.,-2.16,1.368,1.368,2010-04-06 09:27:21.600000000,ETD
Nieuwenhout f.,0.0,1.224,1.224,2010-03-21 12:46:16.896000256,ETD
Zambelli r.,1.872,1.296,1.296,2010-03-13 14:26:32.063999744,ETD
Tieman b.,-3.312,1.08,1.08,2010-02-25 17:38:06.719999744,ETD
Tieman b.,-4.032,2.088,2.088,2010-01-03 20:33:06.048000000,ETD
Gregorio,-1.872,1.728,1.728,2009-04-22 09:35:42.720000000,ETD
Corfini g.,-5.904,2.9088,2.9088,2009-04-22 09:31:36.480000256,ETD
Trnka j.,1.152,1.4256,1.4256,2009-04-14 11:17:02.688000000,ETD
Hynek t.,-0.144,1.3392,1.3392,2009-04-14 11:15:48.384000000,ETD
Marchini a. et al.,-8.208,2.9088,2.9088,2009-04-14 11:07:38.496000256,ETD
Hentunen,-2.016,1.296,1.296,2009-03-24 07:36:11.520000000,ETD
Rogrigez,-5.472,2.304,2.304,2009-03-21 16:05:31.200000000,ETD
Naves,1.008,1.296,1.296,2009-03-08 10:55:55.199999744,ETD
Salvaggio,-1.872,1.872,1.872,2009-03-08 10:53:02.400000256,ETD
Hentunen,-3.312,1.728,1.728,2009-03-08 10:51:36.000000000,ETD
Marchini a.,-8.496,4.1904,4.1904,2009-03-08 10:46:27.552000000,ETD
Littlefield,-4.608,1.872,1.872,2009-02-20 14:07:00.479999744,ETD
Littlefield,2.448,2.304,2.304,2009-02-12 15:52:24.959999744,ETD
Corfini g.,6.624,2.4768,2.4768,2009-01-30 10:40:35.904000256,ETD
Alessandro Marchini,-0.3,1.3,1.3,2009-01-30 10:33:37.868542720,ExoClock observation
Marchini a.,-1.152,1.296,1.296,2009-01-30 10:32:50.207999744,ETD
Zambelli r.,-1.728,1.4832,1.4832,2009-01-30 10:32:13.055999744,ETD
Papini r.,-2.736,1.4544,1.4544,2009-01-30 10:31:12.576000000,ETD
Beaulieu et al. 2011,-0.9,0.1,0.1,2009-01-27 19:05:49.123661312,ExoClock literature
