date,observer,oc,oce,source
2022-01-13,Adrian Jones,2.7,2.6,ExoClock observation
2022-01-13,Paolo Arcangelo Matassa,-1.6,4.3,ExoClock observation
2021-10-17,Adrian Jones,0.9,4.3,ExoClock observation
2020-11-13,Mike Miller,2.6,5.8,ExoClock observation
2020-09-22,Manfred Raetz,-2.6,1.2,ExoClock observation
2020-09-09,Manfred Raetz,2.2,0.9,ExoClock observation
2020-08-26,Dim Stouraitis,0.1,1.7,ExoClock observation
2019-12-03,Ana\xc3\xabl W\xc3\xbcnsche,-2.8,0.9,ExoClock observation
2019-10-25,Nikolaos Paschalis,0.5,3.2,ExoClock observation
2019-10-02,Yves Jongen,1.6,1.6,ExoClock observation
2018-12-26,Yves Jongen,1.3,1.4,ExoClock observation
2018-10-12,Ana\xc3\xabl W\xc3\xbcnsche,0.6,0.6,ExoClock observation
2018-09-29,Marc Deldem,1.0,3.2,ExoClock observation
2017-11-17,Ana\xc3\xabl W\xc3\xbcnsche,-0.6,1.2,ExoClock observation
2010-08-09,Buchhave et al. 2011,-0.1,0.8,ExoClock literature
