,date,observer,oc,oce,source
0,2021-09-30,Michael Irzyk,-4.3,2.2,ExoClock observation
1,2021-07-21,Yves Jongen,3.5,1.9,ExoClock observation
2,2021-07-21,Carmelo Falco,3.1,1.3,ExoClock observation
3,2021-07-21,Carmelo Falco,2.5,1.9,ExoClock observation
4,2021-07-21,Alvaro Fornas Silva,-1.1,1.9,ExoClock observation
5,2021-07-21,Martin Smith,-2.7,4.3,ExoClock observation
6,2021-05-23,Carmelo Falco,3.1,3.3,ExoClock observation
7,2021-05-23,Alessandro Nastasi,0.1,2.7,ExoClock observation
8,2021-05-23,Carmelo Falco,-2.5,2.6,ExoClock observation
9,2019-09-03,Manfred Raetz,1.5,0.9,ExoClock observation
