,index,date,observer,oc,oce,source
0,28,2022-03-22,Paolo Arcangelo Matassa,0.4,2.0,ExoClock observation
1,29,2022-03-18,Kevin Johnson,3.9,1.9,ExoClock observation
2,30,2022-03-18,St\xc3\xa9phane Montchaud,0.3,2.3,ExoClock observation
3,31,2022-03-10,Leon Bewersdorff,-0.6,1.3,ExoClock observation
4,33,2022-02-26,Matthieu Bachschmidt,-0.7,0.9,ExoClock observation
5,32,2022-02-26,Efrem Frigeni,2.7,1.6,ExoClock observation
6,35,2022-02-22,Esteban Garc\xc3\xada N.,-2.4,1.4,ExoClock observation
7,34,2022-02-22,Paolo Arcangelo Matassa,3.2,1.9,ExoClock observation
8,38,2022-02-11,Fabio Mortari,-1.2,1.0,ExoClock observation
9,37,2022-02-11,Simon Dawes,-0.5,1.2,ExoClock observation
10,36,2022-02-11,Paolo Arcangelo Matassa,1.2,1.3,ExoClock observation
11,40,2022-01-30,Simon Dawes,-1.2,1.3,ExoClock observation
12,39,2022-01-30,Paolo Arcangelo Matassa,1.3,2.2,ExoClock observation
13,41,2022-01-26,Paolo Arcangelo Matassa,-3.1,3.2,ExoClock observation
14,43,2022-01-14,Adrian Jones,-1.1,1.2,ExoClock observation
15,42,2022-01-14,Paolo Arcangelo Matassa,0.5,1.3,ExoClock observation
16,44,2021-06-01,Andre Kovacs,2.8,4.3,ExoClock observation
17,45,2021-05-28,Andre Kovacs,-1.3,3.2,ExoClock observation
18,46,2021-05-08,Andre Kovacs,1.6,2.4,ExoClock observation
19,47,2021-05-02,Jean-Louis NAUDIN,1.7,1.7,ExoClock observation
20,48,2021-04-29,Adam Popowicz,-2.1,2.0,ExoClock observation
21,49,2021-04-25,Fabio Mortari,3.7,1.6,ExoClock observation
22,50,2021-04-25,Martin Crow,1.1,0.9,ExoClock observation
23,51,2021-04-18,Andre Kovacs,4.9,4.3,ExoClock observation
24,52,2021-04-17,Giorgio Baj,2.4,1.6,ExoClock observation
25,53,2021-03-30,Carmelo Falco,-2.7,1.0,ExoClock observation
26,56,2021-03-22,Yves Jongen,-2.1,1.4,ExoClock observation
27,54,2021-03-22,Harri Kiiskinen,4.2,2.7,ExoClock observation
28,55,2021-03-22,T\xc3\xb5nis Eenm\xc3\xa4e,-0.5,0.4,ExoClock observation
29,57,2021-03-22,Claudio Lopresti,-3.1,1.7,ExoClock observation
30,58,2021-03-06,Fabio Mortari,0.4,1.7,ExoClock observation
31,59,2021-03-02,Nikolaos Paschalis,-1.0,1.4,ExoClock observation
32,60,2021-02-26,Martin Crow,1.1,1.2,ExoClock observation
33,61,2021-02-24,Andre Kovacs,4.7,5.8,ExoClock observation
34,62,2021-02-20,Roger Dymock,-2.4,2.7,ExoClock observation
35,63,2021-02-11,Philip Michel,3.2,1.3,ExoClock observation
36,64,2021-01-30,Fabio Mortari,2.5,2.6,ExoClock observation
37,65,2021-01-22,Adrian Jones,-1.4,1.6,ExoClock observation
38,66,2021-01-14,Francois Regembal,2.9,4.3,ExoClock observation
39,67,2020-05-18,T\xc3\xb5nis Eenm\xc3\xa4e,1.7,0.9,ExoClock observation
40,68,2020-05-14,T\xc3\xb5nis Eenm\xc3\xa4e,0.5,1.0,ExoClock observation
41,69,2020-05-06,Ana\xc3\xabl W\xc3\xbcnsche,0.2,0.9,ExoClock observation
42,70,2020-04-21,Manfred Raetz,-0.6,0.7,ExoClock observation
43,71,2020-04-15,Taewoo Kim,-1.9,0.4,ExoClock observation
44,72,2020-04-05,Manfred Raetz,0.3,0.9,ExoClock observation
45,73,2020-04-01,John Savage,0.5,0.6,ExoClock observation
46,74,2020-03-18,Raniero Albanesi,-0.2,1.7,ExoClock observation
47,75,2020-03-18,Ana\xc3\xabl W\xc3\xbcnsche,-0.8,0.9,ExoClock observation
48,77,2020-03-10,Mauro Cal\xc3\xb3,-4.7,1.6,ExoClock observation
49,76,2020-03-10,Alberto Tomatis,-2.0,1.0,ExoClock observation
50,79,2020-03-06,Alberto Tomatis,3.8,2.6,ExoClock observation
51,78,2020-03-06,Martin Crow,5.0,1.6,ExoClock observation
52,81,2020-03-02,Martin Crow,0.3,0.9,ExoClock observation
53,80,2020-03-02,Nikolaos Paschalis,0.3,3.0,ExoClock observation
54,82,2020-02-19,Ana\xc3\xabl W\xc3\xbcnsche,3.1,0.9,ExoClock observation
55,83,2020-02-15,Ana\xc3\xabl W\xc3\xbcnsche,1.1,0.7,ExoClock observation
56,84,2020-02-09,Billy Edwards,1.2,0.7,ExoClock observation
57,85,2020-02-05,Martin Fowler,-2.8,3.2,ExoClock observation
58,86,2020-02-04,Adrian Jones,-2.0,0.9,ExoClock observation
59,87,2020-01-19,John Savage,1.9,1.7,ExoClock observation
60,88,2019-03-15,Mario Morales Aimar,2.4,1.3,ExoClock observation
61,90,2019-02-15,Ana\xc3\xabl W\xc3\xbcnsche,0.6,0.7,ExoClock observation
62,89,2019-02-15,Ana\xc3\xabl W\xc3\xbcnsche,3.2,0.7,ExoClock observation
63,91,2018-04-21,Nikolaos Paschalis,-4.4,1.7,ExoClock observation
64,0,2017-04-20,Wang et al. 2019,-1.5,2.3,ExoClock literature
65,1,2016-06-24,Wang et al. 2019,0.0,3.2,ExoClock literature
66,2,2016-05-06,Wang et al. 2019,-0.3,1.5,ExoClock literature
67,3,2016-04-12,Wang et al. 2019,1.9,1.0,ExoClock literature
68,4,2016-03-11,Wang et al. 2019,-1.1,1.4,ExoClock literature
69,5,2016-02-28,Wang et al. 2019,-1.5,0.8,ExoClock literature
70,6,2016-02-20,Wang et al. 2019,-2.1,1.4,ExoClock literature
71,92,2016-02-16,Ana\xc3\xabl W\xc3\xbcnsche,0.7,1.4,ExoClock observation
72,7,2016-02-16,Wang et al. 2019,-0.0,2.2,ExoClock literature
73,8,2016-02-15,Wang et al. 2019,-0.4,1.9,ExoClock literature
74,9,2016-01-18,Wang et al. 2019,-0.0,1.3,ExoClock literature
75,10,2016-01-14,Wang et al. 2019,-0.4,0.6,ExoClock literature
76,11,2016-01-10,Wang et al. 2019,0.8,0.6,ExoClock literature
77,12,2015-04-25,Wang et al. 2019,-1.9,1.1,ExoClock literature
78,13,2015-02-16,Wang et al. 2019,-0.4,1.2,ExoClock literature
79,14,2015-02-12,Wang et al. 2019,1.5,1.1,ExoClock literature
80,15,2015-02-04,Wang et al. 2019,-1.1,2.1,ExoClock literature
81,16,2014-05-07,Wang et al. 2019,1.1,1.8,ExoClock literature
82,17,2014-04-05,Wang et al. 2019,1.5,1.2,ExoClock literature
83,18,2014-04-01,Wang et al. 2019,1.0,1.6,ExoClock literature
84,93,2014-03-18,Angelos Tsiaras,2.4,1.9,ExoClock observation
85,19,2014-03-12,Wang et al. 2019,-0.8,1.4,ExoClock literature
86,20,2014-03-08,Wang et al. 2019,-2.7,1.0,ExoClock literature
87,21,2014-03-04,Wang et al. 2019,0.0,1.2,ExoClock literature
88,22,2014-02-10,Wang et al. 2019,-0.0,0.2,ExoClock literature
89,23,2013-03-20,Wang et al. 2019,-0.2,1.1,ExoClock literature
90,24,2013-03-04,Wang et al. 2019,1.9,1.5,ExoClock literature
91,94,2012-04-26,Filip Walter,-0.1,1.0,ExoClock observation
92,25,2012-03-28,Wang et al. 2019,-1.8,0.5,ExoClock literature
93,95,2012-03-22,Filip Walter,-1.0,0.9,ExoClock observation
94,26,2012-03-20,Wang et al. 2019,1.2,1.0,ExoClock literature
95,27,2011-01-03,Bakos et al. 2012,0.6,0.3,ExoClock literature
