date,observer,oc,oce,source
2022-02-23,Ana\xc3\xabl W\xc3\xbcnsche,5.3,0.9,ExoClock observation
2022-02-15,David Arnot,2.7,1.2,ExoClock observation
2022-01-08,Yves Jongen,3.6,0.7,ExoClock observation
2021-04-29,Yves Jongen,0.7,0.9,ExoClock observation
2021-04-15,Yves Jongen,1.6,0.7,ExoClock observation
2021-04-11,Yves Jongen,3.6,0.7,ExoClock observation
2021-04-06,jean pascal vignes,2.6,1.2,ExoClock observation
2021-03-23,Yves Jongen,0.3,0.9,ExoClock observation
2021-03-04,Andrius Bruzas,0.5,1.2,ExoClock observation
2021-02-22,Billy Edwards,4.0,1.0,ExoClock observation
2021-02-13,Yves Jongen,4.0,0.9,ExoClock observation
2021-01-25,Yves Jongen,0.4,1.2,ExoClock observation
2021-01-10,Yves Jongen,1.5,0.7,ExoClock observation
2021-01-06,Yves Jongen,4.9,0.9,ExoClock observation
