,date,observer,oc,oce,source
0,2022-03-21,jean pascal vignes,3.8,1.6,ExoClock observation
1,2022-02-12,Yves Jongen,5.0,1.0,ExoClock observation
2,2022-01-17,Yves Jongen,-1.9,1.4,ExoClock observation
3,2021-05-23,Yves Jongen,5.5,1.3,ExoClock observation
4,2021-05-08,Yves Jongen,5.5,0.9,ExoClock observation
5,2021-04-27,Yves Jongen,4.7,1.2,ExoClock observation
6,2021-04-27,Ana\xc3\xabl W\xc3\xbcnsche,2.1,1.3,ExoClock observation
7,2021-04-12,Yves Jongen,6.0,0.7,ExoClock observation
8,2021-04-05,Yves Jongen,3.9,1.4,ExoClock observation
9,2021-03-02,Yves Jongen,6.6,0.7,ExoClock observation
10,2021-02-12,Yves Jongen,5.3,0.9,ExoClock observation
11,2021-01-02,Yves Jongen,4.5,1.2,ExoClock observation
