,index,date,observer,oc,oce,source
0,20,2021-08-28,Yves Jongen,-1.0,0.6,ExoClock observation
1,21,2021-07-22,Yves Jongen,0.8,0.7,ExoClock observation
2,22,2021-07-19,Claudio Lopresti,0.3,0.6,ExoClock observation
3,23,2021-04-11,Carmelo Falco,0.0,0.6,ExoClock observation
4,24,2020-07-29,Didier Laloum,0.4,0.6,ExoClock observation
5,25,2020-07-29,Patrick Brandebourg,-2.2,1.4,ExoClock observation
6,26,2020-07-09,Mauro Cal\xc3\xb3,-1.2,0.9,ExoClock observation
7,27,2020-06-28,Constantinos Aggelis,-1.8,2.2,ExoClock observation
8,28,2019-08-29,Alberto Tomatis,2.2,2.3,ExoClock observation
9,29,2019-07-09,Yves Jongen,-1.5,0.4,ExoClock observation
10,30,2018-10-27,Lionel Rousselot,1.7,0.6,ExoClock observation
11,31,2018-08-20,Yves Jongen,1.6,1.2,ExoClock observation
12,32,2018-07-19,Yves Jongen,0.7,1.0,ExoClock observation
13,33,2018-06-29,Yves Jongen,-1.4,1.0,ExoClock observation
14,34,2017-08-18,Alessandro Marchini,-0.7,0.4,ExoClock observation
15,35,2017-07-18,Alessandro Marchini,-0.7,0.3,ExoClock observation
16,36,2015-07-19,Marc Deldem,-1.4,0.6,ExoClock observation
17,37,2014-08-07,Claudio Lopresti,-0.4,0.6,ExoClock observation
18,38,2009-10-06,Alessandro Marchini,-0.1,0.9,ExoClock observation
19,39,2009-07-07,Alessandro Marchini,1.3,0.9,ExoClock observation
20,0,2008-09-15,Hrudkov\xc3\xa1 et al. 2010,0.4,0.8,ExoClock literature
21,1,2008-08-26,Hrudkov\xc3\xa1 et al. 2010,0.2,0.3,ExoClock literature
22,40,2008-08-26,Filip Walter,-0.9,0.6,ExoClock observation
23,2,2008-07-29,Hrudkov\xc3\xa1 et al. 2010,0.2,0.3,ExoClock literature
24,3,2008-07-17,Hrudkov\xc3\xa1 et al. 2010,1.0,0.4,ExoClock literature
25,4,2008-07-09,Hrudkov\xc3\xa1 et al. 2010,-0.0,0.2,ExoClock literature
26,41,2008-06-27,Filip Walter,2.9,0.4,ExoClock observation
27,5,2008-06-19,Hrudkov\xc3\xa1 et al. 2010,0.5,0.3,ExoClock literature
28,6,2008-06-14,Agol et al. 2010,-0.1,0.1,ExoClock literature
29,7,2008-06-12,Agol et al. 2010,0.1,0.0,ExoClock literature
30,8,2008-06-08,Hrudkov\xc3\xa1 et al. 2010,-0.6,0.5,ExoClock literature
31,9,2007-11-14,Agol et al. 2010,0.0,0.1,ExoClock literature
32,10,2007-10-21,Agol et al. 2010,0.1,0.0,ExoClock literature
33,11,2007-09-18,Hrudkov\xc3\xa1 et al. 2010,-0.7,0.6,ExoClock literature
34,12,2007-08-17,Hrudkov\xc3\xa1 et al. 2010,-1.3,0.6,ExoClock literature
35,42,2007-07-28,Alessandro Marchini,0.9,0.7,ExoClock observation
36,13,2007-07-02,Agol et al. 2010,-0.0,0.1,ExoClock literature
37,14,2007-06-30,Agol et al. 2010,-0.0,0.0,ExoClock literature
38,15,2006-10-29,Agol et al. 2010,-0.2,0.0,ExoClock literature
39,16,2006-08-27,Hrudkov\xc3\xa1 et al. 2010,-0.0,0.3,ExoClock literature
40,17,2006-08-08,Baluev et al. 2015,0.0,0.1,ExoClock literature
41,18,2006-08-08,Hrudkov\xc3\xa1 et al. 2010,0.5,0.2,ExoClock literature
42,19,2006-07-19,Hrudkov\xc3\xa1 et al. 2010,0.7,0.4,ExoClock literature
