date,observer,oc,oceu,ocel,source
2021-04-01 12:08:40.128000000,Snaevarr gudmundsson,14.832,2.52,2.52,ETD
2021-04-01 12:07:00.767999744,Anaël wünsche,13.104,2.3904,2.3904,ETD
2021-02-27 12:04:57.216000000,Lionel rousselot,5.04,1.944,1.944,ETD
2021-01-25 12:18:44.064000256,Yves jongen,12.816,2.1024,2.1024,ETD
2020-11-24 15:20:20.832000256,Yves jongen,3.312,3.3984,3.3984,ETD
2020-05-06 12:51:35.712000000,Manfred raetz,-2.16,2.8512,2.8512,ETD
2020-04-03 12:58:52.032000000,Jean plazas,-0.864,5.0256,5.0256,ETD
2020-04-03 11:17:22.559999744,Alberto tomatis,-102.24,2.4336,2.4336,ETD
2017-04-02 10:23:00.096000000,David molina,4.464,3.4848,3.4848,ETD
2016-12-28 13:39:29.375999744,Matthieu bachschmidt,3.888,6.1344,6.1344,ETD
2016-05-07 11:10:33.024000256,Jens-peter jacobsen,-7.776,2.0016,2.0016,ETD
2014-02-10 19:47:13.344000256,Benni p.,1.008,2.3472,2.3472,ETD
2012-03-11 15:51:59.039999744,Carreño a.,-1.296,4.752,4.752,ETD
2012-02-03 13:06:39.455999744,Zibar m.,6.624,5.7024,5.7024,ETD
2012-02-03 12:58:18.336000000,Fernand emering,-1.728,1.1088,1.1088,ETD
2012-01-01 13:07:57.215999744,Tremosa l.,2.016,2.8656,2.8656,ETD
2011-04-08 11:01:06.240000000,Zambelli r.,6.48,1.2672,1.2672,ETD
2011-04-08 10:53:24.863999744,Sauer t.,-1.152,1.8,1.8,ETD
2011-03-06 11:18:22.176000000,Dřevěný r.,17.856,3.0528,3.0528,ETD
2011-03-06 11:16:35.903999744,Zambelli r.,15.984,1.224,1.224,ETD
2011-03-06 11:05:23.711999744,Brát l.,4.896,4.7376,4.7376,ETD
2011-03-06 11:01:52.896000000,Hentunen v.,1.296,3.1536,3.1536,ETD
2011-03-06 10:57:33.695999744,Lopresti c.,-3.024,26.4528,26.4528,ETD
2009-06-13 09:54:53.567999744,"G. a. bakos et al., 2010",0.0,0.9936,0.9936,ETD
