observer,oc,oceu,ocel,date,source
Manfred Raetz,-0.2,1.2,1.2,2022-04-19 11:35:42.761273600,ExoClock observation
Manfred raetz,-0.72,0.9648,0.9648,2022-04-19 11:35:07.872000256,ETD
Leon Bewersdorff,-2.5,4.3,4.3,2022-04-16 10:12:01.148157184,ExoClock observation
David Wright,-2.1,2.4,2.4,2021-04-05 11:21:00.734394112,ExoClock observation
Martin Crow,-2.4,2.3,2.3,2021-04-05 11:20:42.734411264,ExoClock observation
Laurie sibbald,-5.904,2.7072,2.7072,2021-03-05 21:43:16.320000000,ETD
Anaël Wünsche,-3.6,3.2,3.2,2020-07-07 10:35:29.166711808,ExoClock observation
Anaël wünsche,-9.792,1.7424,1.7424,2020-07-07 10:29:15.072000000,ETD
Alberto garcía sánchez,-1.728,1.8432,1.8432,2020-05-19 12:55:07.392000000,ETD
Manfred raetz,2.592,2.1312,2.1312,2020-03-25 12:34:18.048000256,ETD
Manfred Raetz,1.0,1.9,1.9,2020-03-25 12:32:42.320637696,ExoClock observation
John Savage,-3.0,3.0,3.0,2020-03-25 12:28:42.320652032,ExoClock observation
Veli-pekka hentunen,-5.184,11.4048,11.4048,2019-04-30 09:56:00.096000256,ETD
Jean plazas,26.208,,,2019-03-15 14:06:27.648000000,ETD
Anael wunsche,3.888,2.232,2.232,2019-03-15 13:44:10.176000000,ETD
Anaël Wünsche,3.4,3.2,3.2,2019-03-15 13:43:41.906907904,ExoClock observation
Wonseok kang,1.872,24.8832,24.8832,2018-07-17 02:32:03.840000256,ETD
Marc bretton,-1.728,1.368,1.368,2018-04-22 12:29:29.472000000,ETD
Matthieu bachschmidt,50.4,2.7504,2.7504,2018-04-19 12:00:13.824000256,ETD
Yves jongen,3.744,2.0448,2.0448,2018-04-19 11:13:36.192000000,ETD
Yves Jongen,0.2,1.7,1.7,2018-04-19 11:09:59.689940992,ExoClock observation
Alessandro Marchini,-0.2,3.5,3.5,2018-04-19 11:09:35.689910272,ExoClock observation
Mark salisbury,-1.584,1.4112,1.4112,2017-05-30 11:20:28.320000000,ETD
David molina,-5.904,4.6944,4.6944,2017-04-11 13:33:55.872000000,ETD
Marc bretton,1.296,0.8352,0.8352,2017-04-08 12:19:44.544000000,ETD
Marc bretton,-1.584,0.9936,0.9936,2016-05-16 11:07:45.408000000,ETD
Marc bretton,-3.456,1.3824,1.3824,2016-05-16 11:05:47.040000256,ETD
David molina,12.384,2.3472,2.3472,2016-03-25 12:18:01.727999744,ETD
Veli-pekka hentunen,5.616,1.2672,1.2672,2016-03-19 09:28:23.807999744,ETD
David molina,7.056,2.6784,2.6784,2016-02-05 14:30:20.159999744,ETD
"Francesco scaggiante, danilo zardin",-0.288,2.3904,2.3904,2016-02-05 14:23:02.976000000,ETD
Anaël Wünsche,1.6,1.3,1.3,2015-06-27 11:23:09.681592576,ExoClock observation
Marc bretton,0.72,1.3248,1.3248,2015-06-27 11:22:12.864000000,ETD
Stan shadick,-1.872,3.528,3.528,2015-05-21 19:02:56.543999744,ETD
Jaroslav trnka,-7.344,2.5056,2.5056,2015-03-09 10:24:05.760000256,ETD
Claudio Lopresti,5.1,5.8,5.8,2014-04-16 09:27:23.005411328,ExoClock observation
Veli-pekka hentunen,12.672,,,2013-04-02 09:22:07.968000000,ETD
Hentunen v. p.,-4.752,1.5984,1.5984,2013-04-02 09:04:40.800000256,ETD
Shadic s.,16.416,1.9728,1.9728,2012-06-03 19:07:54.624000256,ETD
Trnka j.,-2.592,3.6576,3.6576,2012-05-19 12:02:00.095999744,ETD
Shadic s.,0.432,1.7856,1.7856,2012-04-09 18:26:52.224000256,ETD
Shadic s.,-3.456,2.448,2.448,2012-04-09 18:23:00.671999744,ETD
Fernand emering,-21.024,1.8,1.8,2012-03-28 12:39:49.824000000,ETD
