date,observer,oc,oce,source
2021-12-23,Snaevarr gudmundsson,-0.288,1.6272,ETD
2021-12-20,Andras Dan,-1.6,1.6,ExoClock observation
2021-12-16,David Arnot,2.1,1.0,ExoClock observation
2021-02-28,Fabio mortari,-3.024,1.2528,ETD
2021-02-28,Fabio Mortari,0.2,1.0,ExoClock observation
2021-02-28,Manfred Raetz,2.3,1.3,ExoClock observation
2021-02-28,Manfred raetz,1.008,1.3824,ETD
2021-02-24,F. lomoz,-5.616,3.8016,ETD
2021-02-24,Fabio Mortari,-5.0,4.3,ExoClock observation
2021-02-24,Fabio mortari,-8.064,4.2912,ETD
2021-02-24,Manfred raetz,-0.144,1.8144,ETD
2021-02-24,Manfred Raetz,0.0,1.9,ExoClock observation
2021-02-24,"Francesco scaggiante, danilo zardin,marco fiaschi",-3.168,4.0608,ETD
2021-01-12,Mohammad talafha ,4.032,4.5072,ETD
2021-01-08,"Francesco scaggiante, danilo zardin,marco fiaschi",0.144,2.6208,ETD
2020-11-14,Guy brabant,7.632,4.9536,ETD
2020-02-21,Tianyan wu & yang chen,-1.872,1.4688,ETD
2020-01-05,Yves jongen,-2.304,1.4256,ETD
2019-01-25,"Francesco scaggiante, danilo zardin",24.336,1.08,ETD
2019-01-25,Snaevarr gudmundsson,4.176,,ETD
2019-01-25,Jean plazas,4.176,,ETD
2019-01-13,Sjoerd dufoer,3.024,4.7088,ETD
2018-03-25,Anaël Wünsche,0.5,1.6,ExoClock observation
2018-03-25,Marc bretton,2.304,1.4544,ETD
2017-11-27,"O. cooper, e. helou, j. lowenthal, r. o’connor, e. papineau, a. peck, l. stephens, k. walker",-2.88,1.44,ETD
2017-02-26,Wang et al. 2019,2.0,1.4,ExoClock literature
2017-01-06,Wang et al. 2019,-4.1,1.2,ExoClock literature
2016-12-29,Wang et al. 2019,-0.4,1.7,ExoClock literature
2016-11-08,Wang et al. 2019,3.0,1.3,ExoClock literature
2016-03-10,Wang et al. 2019,-2.2,1.7,ExoClock literature
2016-02-23,Snaevarr gudmundsson,4.032,2.7504,ETD
2016-02-23,David molina,1.008,2.1456,ETD
2016-02-19,Marc bretton,-4.32,2.016,ETD
2016-02-19,Anaël Wünsche,-1.3,2.0,ExoClock observation
2016-01-11,Wang et al. 2019,1.4,2.0,ExoClock literature
2014-03-11,Zibar m.,-5.616,2.3616,ETD
2014-03-11,"Mravik j., grnja j.",5.04,4.6512,ETD
2014-03-11,František lomoz,7.056,9.5328,ETD
2014-01-23,Horta f. g.,19.872,3.0384,ETD
2013-12-03,Bachschmidt m.,-1.44,1.7424,ETD
2013-01-11,Shadic s.,-0.0,1.3248,ETD
2012-11-17,Shadic s.,-1.728,1.7136,ETD
2012-10-13,"Gillier ch., montaigut r., golovanow s.,  revol ch., viciana a.",0.0,1.872,ETD
2011-12-12,Lopesino j.,7.488,3.2256,ETD
2011-10-22,Brát l.,0.0,3.5712,ETD
2011-02-25,"Naumov k. n., sokov e. n.",13.824,3.2544,ETD
2011-02-01,Garlitz j.,-3.888,1.7568,ETD
2011-01-01,Zambelli r.,2.88,1.6416,ETD
2010-12-24,Sergison d.,-1.728,1.8864,ETD
2010-12-16,Patrick wiggins,5.904,4.3056,ETD
2010-12-12,Patrick wiggins,12.096,1.3392,ETD
2010-12-04,Shadic s.,1.872,1.584,ETD
2010-04-06,Dittmann et al. 2012,1.0,0.5,ExoClock literature
2010-04-05,Dittmann et al 2010,-0.144,0.5184,ETD
2010-04-05,Shadick s.,-0.0,5.6592,ETD
2010-02-18,Dittmann et al. 2012,0.1,1.4,ExoClock literature
2010-02-17,Dittmann et al 2010,-1.296,1.44,ETD
2010-02-14,Dittmann et al. 2012,-0.0,0.5,ExoClock literature
2010-02-13,Dittmann et al 2010,-1.152,0.4608,ETD
2009-12-16,Shadick s.,12.24,4.6368,ETD
2009-04-17,Gary,2.016,6.624,ETD
2009-03-01,Littlefield,-7.488,7.488,ETD
2009-02-25,Littlefield,-2.016,3.888,ETD
2009-01-17,Mendez,-0.432,8.352,ETD
2009-01-13,Brát l.,6.624,4.4064,ETD
2009-01-09,Mendez,9.792,6.48,ETD
2007-11-13,Shporer et al. 2009,-0.6,0.4,ExoClock literature
2007-11-12,Shporer et al 2008,-1.728,0.432,ETD
