observer,oc,oceu,ocel,date,source
Yves Jongen,1.2,0.9,0.9,2021-09-18 13:21:07.174083072,ExoClock observation
Yves jongen,0.288,0.792,0.792,2021-09-18 13:20:10.751999744,ETD
Yves Jongen,3.4,0.7,0.7,2021-07-22 13:44:25.720309248,ExoClock observation
Yves jongen,1.728,0.792,0.792,2021-07-22 13:42:47.232000000,ETD
Yves Jongen,1.8,0.6,0.6,2021-04-13 18:47:03.776636928,ExoClock observation
Yves jongen,0.864,0.5904,0.5904,2021-04-13 18:46:03.936000256,ETD
Yves Jongen,-2.4,0.7,0.7,2020-08-31 13:56:28.363181056,ExoClock observation
Yves jongen,-3.888,0.6912,0.6912,2020-08-31 13:54:57.312000256,ETD
Yves jongen,-0.144,1.152,1.152,2020-07-24 19:47:21.984000000,ETD
Yves jongen,0.864,0.9648,0.9648,2020-05-07 14:42:00.000000256,ETD
Yves Jongen,0.8,1.0,1.0,2020-05-07 14:41:53.455662080,ExoClock observation
Phil Evans,0.8,0.9,0.9,2020-04-18 17:36:12.331179776,ExoClock observation
Yves Jongen,3.2,1.0,1.0,2020-02-24 19:05:13.118384896,ExoClock observation
Yves jongen,2.448,0.9216,0.9216,2020-02-24 19:04:25.535999744,ETD
Don radford,2.592,2.1456,2.1456,2019-05-27 01:12:12.096000000,ETD
Phil evans,-0.72,1.3824,1.3824,2016-08-07 21:18:14.687999744,ETD
Bento et al. 2017,-0.2,0.5,0.5,2015-01-15 11:22:37.955472128,ExoClock literature
Bento et al. (2016),-1.296,0.5472,0.5472,2015-01-15 11:21:30.528000256,ETD
