date,observer,oc,oce,source
2022-03-18,Yves Jongen,-0.9,5.8,ExoClock observation
2022-03-02,Yves Jongen,-3.5,3.5,ExoClock observation
2022-03-01,Yves jongen,-4.32,2.0448,ETD
2022-02-07,Yves Jongen,1.9,1.7,ExoClock observation
2022-02-06,Yves jongen,2.304,1.7856,ETD
2022-01-22,Anaël Wünsche,2.6,1.9,ExoClock observation
2022-01-22,Yves Jongen,-1.6,1.6,ExoClock observation
2022-01-21,Anaël wünsche,2.016,1.8288,ETD
2022-01-21,Yves jongen,-1.296,2.0736,ETD
2021-03-20,Yves jongen,213.984,1.944,ETD
2014-04-20,Bento et al. (2018),0.0,0.9936,ETD
