observer,oc,oceu,ocel,date,source
Yves Jongen,57.6,17.3,17.3,2021-01-07 09:41:45.600008448,ExoClock observation
Yves jongen,66.24,7.4304,7.4304,2021-01-07 09:14:07.584000256,ETD
Ramon naves,8.496,3337.9632,3337.9632,2019-03-10 17:23:19.392000000,ETD
Gabriel murawski,1.44,13.9104,13.9104,2017-08-30 12:51:56.448000256,ETD
Marc bretton,168.48,,,2017-01-19 18:41:22.271999744,ETD
David molina,113.04,8.4384,8.4384,2016-02-20 10:19:17.184000000,ETD
Anaël Wünsche,34.8,8.6,8.6,2016-02-20 09:37:23.519997696,ExoClock observation
Marc bretton,33.408,7.6896,7.6896,2016-02-20 08:59:40.128000256,ETD
"Shporer et al., 2010",46.944,1.44,1.44,2010-01-13 15:36:17.279999744,ETD
Hebrard et al. 2010,35.136,1.44,1.44,2010-01-13 15:24:28.800000000,ETD
"Shporer et al., 2010",21.744,37.44,37.44,2009-09-24 04:42:14.400000256,ETD
J. n. winn et al. 2009,57.6,7.056,7.056,2009-06-04 18:49:14.880000256,ETD
Alessandro marchini,87.12,111.0528,111.0528,2009-02-13 08:49:55.200000256,ETD
Alessandro Marchini,7.6,13.0,13.0,2009-02-13 08:06:41.279993344,ExoClock observation
Fossey,43.2,15.84,15.84,2009-02-13 08:06:00.000000000,ETD
E. garcia-melendo et al.,21.6,14.4,14.4,2009-02-13 07:44:24.000000256,ETD
C. moutou et al.,0.0,129.6,129.6,2009-02-13 07:22:48.000000256,ETD
Giorgio c.,-2.88,10.5408,10.5408,2009-02-13 07:19:52.608000000,ETD
