,index,date,observer,oc,oce,source
0,37,2022-01-26,Jacques Michelet,-1.7,3.0,ExoClock observation
1,38,2021-10-17,Taewoo Kim,-1.5,1.3,ExoClock observation
2,39,2021-01-08,Taewoo Kim,-0.1,0.6,ExoClock observation
3,40,2020-12-25,Taewoo Kim,0.8,0.7,ExoClock observation
4,41,2020-12-04,Taewoo Kim,0.2,1.3,ExoClock observation
5,0,2017-05-11,Kain et al. 2020,0.2,0.3,ExoClock literature
6,1,2017-01-02,Kain et al. 2020,0.1,0.2,ExoClock literature
7,2,2016-12-30,Kain et al. 2020,0.2,0.3,ExoClock literature
8,3,2016-12-26,Kain et al. 2020,-0.5,0.3,ExoClock literature
9,4,2016-12-23,Kain et al. 2020,-0.1,0.2,ExoClock literature
10,5,2016-12-19,Kain et al. 2020,0.6,0.3,ExoClock literature
11,6,2016-12-12,Kain et al. 2020,0.4,0.2,ExoClock literature
12,8,2016-12-09,Kain et al. 2020,-1.1,0.2,ExoClock literature
13,7,2016-12-09,Kain et al. 2020,1.0,1.0,ExoClock literature
14,9,2016-12-05,Kain et al. 2020,-0.1,0.2,ExoClock literature
15,10,2016-12-02,Kain et al. 2020,0.2,0.3,ExoClock literature
16,11,2016-11-28,Kain et al. 2020,0.3,0.2,ExoClock literature
17,12,2016-11-25,Kain et al. 2020,0.0,0.2,ExoClock literature
18,13,2016-11-18,Kain et al. 2020,0.3,0.3,ExoClock literature
19,14,2016-11-11,Kain et al. 2020,-0.4,0.3,ExoClock literature
20,15,2016-11-04,Kain et al. 2020,-0.3,0.4,ExoClock literature
21,16,2016-10-28,Kain et al. 2020,0.1,0.3,ExoClock literature
22,17,2016-10-21,Kain et al. 2020,-0.2,0.3,ExoClock literature
23,18,2016-10-14,Kain et al. 2020,-0.1,0.3,ExoClock literature
24,19,2016-10-07,Kain et al. 2020,-0.2,0.5,ExoClock literature
25,20,2015-12-16,Kain et al. 2020,-0.0,0.4,ExoClock literature
26,21,2015-12-09,Kain et al. 2020,0.3,0.2,ExoClock literature
27,22,2015-04-19,Kain et al. 2020,-0.5,0.7,ExoClock literature
28,23,2015-04-12,Kain et al. 2020,-1.4,0.4,ExoClock literature
29,24,2015-04-09,Kain et al. 2020,2.2,0.8,ExoClock literature
30,25,2015-04-05,Kain et al. 2020,0.9,0.5,ExoClock literature
31,26,2015-04-02,Kain et al. 2020,-1.3,0.6,ExoClock literature
32,27,2015-03-29,Kain et al. 2020,1.3,0.6,ExoClock literature
33,28,2015-03-22,Kain et al. 2020,0.3,0.6,ExoClock literature
34,29,2015-03-15,Kain et al. 2020,-0.6,0.5,ExoClock literature
35,30,2015-03-01,Kain et al. 2020,-0.5,0.6,ExoClock literature
36,31,2015-02-26,Kain et al. 2020,0.7,0.5,ExoClock literature
37,32,2015-02-23,Kain et al. 2020,-1.1,0.5,ExoClock literature
38,33,2015-02-19,Kain et al. 2020,1.6,0.6,ExoClock literature
39,34,2015-02-16,Kain et al. 2020,-1.8,0.5,ExoClock literature
40,35,2015-02-12,Kain et al. 2020,1.4,0.5,ExoClock literature
41,36,2015-02-09,Kain et al. 2020,2.2,0.5,ExoClock literature
