date,observer,oc,oceu,ocel,source
2020-11-24 14:52:10.848000256,Yves jongen,-3.888,1.1376,1.1376,ETD
2020-11-20 12:38:39.840000256,Anaël wünsche,4.32,1.9584,1.9584,ETD
2020-11-20 12:35:09.888000256,Yves jongen,0.864,1.2528,1.2528,ETD
2020-11-16 10:14:57.119999744,Yves jongen,2.448,1.2096,1.2096,ETD
2020-09-11 20:24:01.727999744,Yves jongen,0.432,0.9936,0.9936,ETD
2020-09-03 15:33:33.120000000,Francois regembal,-6.336,3.8736,3.8736,ETD
2020-08-30 13:24:05.760000256,Francois regembal,5.904,3.672,3.672,ETD
2020-08-30 13:20:03.840000000,Yves jongen,1.872,1.2096,1.2096,ETD
2019-11-05 08:50:28.032000000,Mishevskiy nikolay,4.464,1.9152,1.9152,ETD
2019-10-03 13:50:39.839999744,Pere guerra,-0.864,0.7488,0.7488,ETD
2019-09-29 11:42:55.296000000,Antonino brosio,13.248,2.5632,2.5632,ETD
2019-09-29 11:29:56.832000000,"Francesco scaggiante, danilo zardin,marco fiaschi",0.288,1.44,1.44,ETD
2018-12-08 09:17:59.999999744,Ferran grau horta,-1.44,1.5264,1.5264,ETD
2018-12-04 07:05:04.415999744,Yves jongen,7.488,1.4256,1.4256,ETD
2018-11-13 18:58:46.848000256,David compton,-9.792,2.52,2.52,ETD
2018-11-09 16:43:17.472000256,David compton,-3.456,1.4256,1.4256,ETD
2018-11-01 12:18:06.048000000,F. lomoz,14.976,2.3616,2.3616,ETD
2018-11-01 12:08:35.807999744,Pere guerra,5.472,1.4832,1.4832,ETD
2018-11-01 11:59:10.752000256,F. lomoz,-3.888,1.9152,1.9152,ETD
2017-12-12 17:18:23.040000256,Kevin b. alton,-1.728,1.0368,1.0368,ETD
2015-02-09 19:22:16.895999744,Marshall et al. (2016),0.0,0.144,0.144,ETD
