observer,oc,oceu,ocel,date,source
Yves Jongen,5.4,2.4,2.4,2022-01-05 18:56:26.448016640,ExoClock observation
Yves jongen,14.832,2.4768,2.4768,2022-01-05 18:38:44.159999744,ETD
Yves Jongen,7.0,3.6,3.6,2021-12-24 19:23:13.065615104,ExoClock observation
Yves jongen,18.864,2.6784,2.6784,2021-12-24 19:08:04.992000000,ETD
Yves Jongen,5.6,2.9,2.9,2021-12-15 19:40:42.028784640,ExoClock observation
Yves jongen,17.712,2.5488,2.5488,2021-12-15 19:25:57.216000256,ETD
"Friedli, thomas karl + kropf, simon",16.56,7.5024,7.5024,2019-02-25 07:28:18.911999744,ETD
"Friedli, thomas karl + kropf, simon",-7.056,35.3808,35.3808,2019-02-22 07:11:00.384000256,ETD
"Friedli, thomas karl + kropf, simon",-1.008,11.4336,11.4336,2019-02-19 07:23:21.695999744,ETD
"Friedli, thomas karl + kropf, simon",0.432,16.7616,16.7616,2019-02-16 07:31:03.936000256,ETD
"Friedli, thomas karl + kropf, simon",4.752,7.2432,7.2432,2019-02-13 07:41:45.023999744,ETD
Yves jongen,-2.16,1.8288,1.8288,2019-02-13 07:34:48.576000256,ETD
"Friedli, thomas karl + kropf, simon",12.816,12.744,12.744,2019-01-26 08:27:43.776000256,ETD
Kevin b. alton,13.392,1.4544,1.4544,2017-12-20 22:35:59.423999744,ETD
Lillo-box et al. (2016),0.0,0.3168,0.3168,2015-04-28 08:25:54.048000256,ETD
