date,observer,oc,oce,source
2022-02-01,Paolo Arcangelo Matassa,2.2,1.9,ExoClock observation
2022-01-10,Dominique DANIEL,2.0,2.7,ExoClock observation
2021-11-09,T\xc3\xb5nis Eenm\xc3\xa4e,0.7,1.6,ExoClock observation
2020-12-15,Martin Crow,6.1,5.8,ExoClock observation
2020-11-24,Ana\xc3\xabl W\xc3\xbcnsche,0.5,0.9,ExoClock observation
2020-11-13,Alessandro Nastasi,2.2,1.7,ExoClock observation
2019-12-31,Claudio Lopresti,0.2,1.4,ExoClock observation
2019-01-15,Giuseppe Conzo,4.0,1.3,ExoClock observation
2017-10-18,Pluriel et al. 2020,3.3,0.9,ExoClock literature
2017-01-04,Garhart et al. 2020,0.3,0.3,ExoClock literature
2016-12-27,Garhart et al. 2020,-0.6,0.2,ExoClock literature
2014-01-23,Bieryla et al. 2015,2.1,1.4,ExoClock literature
2013-10-19,Bieryla et al. 2015,1.8,0.8,ExoClock literature
2013-01-29,Bieryla et al. 2015,2.1,1.0,ExoClock literature
2013-01-27,Bieryla et al. 2015,2.0,1.0,ExoClock literature
2012-12-08,Bieryla et al. 2015,-0.1,0.9,ExoClock literature
2012-11-22,Bieryla et al. 2015,2.9,1.1,ExoClock literature
2012-11-14,Bieryla et al. 2015,1.1,0.8,ExoClock literature
2012-11-03,Bieryla et al. 2015,-1.2,0.7,ExoClock literature
2012-10-23,Bieryla et al. 2015,-1.7,0.5,ExoClock literature
2012-10-04,Bieryla et al. 2015,-0.3,1.1,ExoClock literature
