date,observer,oc,oceu,ocel,source
2021-09-02 10:09:56.448000000,F. lomoz,-7.056,1.3536,1.3536,ETD
2021-09-02 10:07:37.344000000,"Francesco scaggiante, danilo zardin,marco fiaschi",-9.36,1.3392,1.3392,ETD
2021-09-01 10:58:22.079999744,Yves jongen,-3.312,1.2528,1.2528,ETD
2021-09-01 10:37:27.552000000,"Francesco scaggiante, danilo zardin,marco fiaschi",-24.192,1.3392,1.3392,ETD
2021-08-31 11:33:28.512000000,Blois sologne astronomie,-12.816,1.5552,1.5552,ETD
2021-08-01 10:57:28.511999744,Samuel diaz lopez,7.056,1.9584,1.9584,ETD
2021-07-30 12:19:25.535999744,Samuel diaz lopez,-0.288,1.3968,1.3968,ETD
2021-06-30 11:21:16.704000000,Anaël wünsche,-2.592,0.6336,0.6336,ETD
2021-06-29 12:13:12.287999744,Javier de elias,4.608,2.304,2.304,ETD
2020-10-28 07:43:10.559999744,"Francesco scaggiante, danilo zardin,marco fiaschi",2.88,1.8432,1.8432,ETD
2020-10-27 08:30:33.984000000,Josep gaitan,5.616,2.1888,2.1888,ETD
2020-10-19 14:02:20.544000000,Christopher tre presley,-19.728,0.8496,0.8496,ETD
2020-09-27 07:36:22.752000000,Daniel bertesteanu,7.344,1.9728,1.9728,ETD
2020-08-25 08:45:14.400000000,"Petr pokorný, miroslava masaříková",-1.872,0.9936,0.9936,ETD
2020-08-22 10:59:59.712000000,Stephane ferratfiat,-1.152,1.0656,1.0656,ETD
2020-08-20 12:32:02.400000256,F. lomoz,1.584,0.9072,0.9072,ETD
2020-07-23 10:02:47.039999744,Claudio arena,-2.448,2.3904,2.3904,ETD
2020-07-22 10:50:43.295999744,Arena claudio,0.864,1.8864,1.8864,ETD
2020-06-19 12:07:14.592000000,Anaël wünsche,-0.72,0.8496,0.8496,ETD
2020-06-18 12:58:06.240000256,Jean plazas,5.472,1.2816,1.2816,ETD
2019-09-17 08:11:40.415999744,Yves jongen,-1.44,1.296,1.296,ETD
2019-09-16 08:56:12.767999744,Anael wunsche,-1.584,1.1952,1.1952,ETD
2019-09-15 09:49:53.760000000,F. lomoz,7.488,2.7504,2.7504,ETD
