date,observer,oc,oce,source
2022-02-05,Yves Jongen,7.7,2.6,ExoClock observation
2022-02-05,Yves jongen,-2.448,2.1024,ETD
2022-02-05,Matthieu bachschmidt,-5.472,2.8944,ETD
2022-01-09,Adrian Jones,6.7,1.3,ExoClock observation
2022-01-06,Simon Dawes,13.7,2.0,ExoClock observation
2022-01-06,Martin Crow,12.9,0.9,ExoClock observation
2020-04-23,Jean plazas,-0.432,,ETD
2020-03-17,Manfred raetz,-1.152,2.088,ETD
2020-03-17,Marc bretton,-2.16,0.8928,ETD
2019-02-26,Josep gaitan,15.264,2.2176,ETD
2019-02-26,Yves jongen,-8.352,2.9808,ETD
2018-12-17,Pietro aceti,-9.216,2.2032,ETD
2018-03-21,Matthieu bachschmidt,-50.112,2.3904,ETD
2018-03-21,F. lomoz,9.504,4.3776,ETD
2015-07-22,Zhou et al. (2016),0.0,0.0475,ETD
