observer,oc,oceu,ocel,date,source
Manfred Raetz,2.3,0.9,0.9,2021-12-21 07:10:31.868778240,ExoClock observation
Mark Salisbury,1.8,1.2,1.2,2021-12-21 07:10:01.868780032,ExoClock observation
Manfred raetz,1.008,0.7632,0.7632,2021-12-21 07:09:16.704000256,ETD
Mark salisbury,-2.88,1.1088,1.1088,2021-12-21 07:05:25.151999744,ETD
Mark salisbury,2.16,1.2384,1.2384,2021-12-04 06:05:38.688000256,ETD
Paolo Arcangelo Matassa,-4.5,5.8,5.8,2021-10-27 12:10:07.235652096,ExoClock observation
Taewoo Kim,2.2,0.7,0.7,2021-10-25 01:50:26.274177536,ExoClock observation
Wonseok kang,1.008,0.6912,0.6912,2021-10-25 01:49:10.847999744,ETD
Martin Crow,0.6,2.6,2.6,2021-10-21 10:09:15.831934464,ExoClock observation
F. lomoz,31.248,2.2176,2.2176,2021-09-12 11:37:47.711999744,ETD
Yves Jongen,4.9,1.9,1.9,2021-09-12 11:11:26.448392192,ExoClock observation
Yves jongen,4.176,1.9008,1.9008,2021-09-12 11:10:44.256000256,ETD
Mark salisbury,5.472,0.936,0.936,2021-09-06 09:06:05.472000000,ETD
Gianluca rossi,79.056,185.9472,185.9472,2021-07-29 11:17:32.064000000,ETD
Taewoo Kim,0.4,0.7,0.7,2021-07-28 04:45:40.180416512,ExoClock observation
Wonseok kang,-0.144,0.8208,0.8208,2021-07-28 04:45:10.656000256,ETD
Alessandro Nastasi,-2.2,3.0,3.0,2020-11-08 10:26:55.822161664,ExoClock observation
Simon Dawes,-1.0,2.6,2.6,2020-11-02 08:22:10.418506240,ExoClock observation
David Wright,-3.3,2.4,2.4,2020-09-13 10:19:01.708297984,ExoClock observation
F. lomoz,25.344,2.8944,2.8944,2020-08-16 10:44:16.224000000,ETD
Carmelo Falco,-0.2,1.2,1.2,2020-08-11 13:25:57.728451584,ExoClock observation
Yves Jongen,-0.3,1.9,1.9,2020-08-11 13:25:51.728484096,ExoClock observation
Yves jongen,-3.744,2.5056,2.5056,2020-08-11 13:22:23.808000256,ETD
Adam Popowicz,1.6,3.2,3.2,2020-08-05 11:21:48.324761600,ExoClock observation
Fabio Mortari,3.7,1.6,1.6,2020-07-25 12:25:10.998161152,ExoClock observation
Antonio Marino,-3.5,4.3,4.3,2020-07-19 10:12:01.594503424,ExoClock observation
Francois Regembal,0.6,1.6,1.6,2020-07-14 13:23:21.671522816,ExoClock observation
Dimitrios Deligeorgopoulos,4.5,4.3,4.3,2020-01-10 06:48:59.118920192,ExoClock observation
Jean plazas,8.352,2.376,2.376,2019-12-30 07:54:04.608000000,ETD
Martin Crow,-2.5,1.6,1.6,2019-12-30 07:43:15.792303872,ExoClock observation
Manfred raetz,7.488,1.3248,1.3248,2019-10-13 09:49:02.783999744,ETD
