observer,oc,oceu,ocel,date,source
Alexander Putz,-15.5,7.2,7.2,2022-01-06 11:15:20.227208704,ExoClock observation
Martin Crow,-12.7,3.3,3.3,2021-12-01 14:17:58.204786688,ExoClock observation
Jean plazas,0.144,,,2021-04-24 09:00:26.784000256,ETD
Fabio Mortari,-9.6,2.7,2.7,2021-04-24 08:50:02.399982592,ExoClock observation
Yves jongen,-3.744,2.9088,2.9088,2021-04-06 10:26:30.048000000,ETD
Anaël wünsche,-31.248,19.0944,19.0944,2021-04-06 09:58:52.032000000,ETD
Martin Smith,-7.5,2.2,2.2,2021-04-03 10:37:02.553572096,ExoClock observation
John Savage,-9.9,1.0,1.0,2021-04-03 10:34:38.553588736,ExoClock observation
Fabio Salvaggio,-16.6,2.3,2.3,2021-03-31 10:42:55.718423808,ExoClock observation
Fabio salvaggio,-17.856,2.3184,2.3184,2021-03-31 10:42:21.312000256,ETD
Adam Popowicz,-11.3,2.0,2.0,2021-03-10 12:33:07.872017920,ExoClock observation
Fabio Mortari,-6.1,4.3,4.3,2021-03-07 12:53:19.036802304,ExoClock observation
Michael irzyk,-7.056,9.7488,9.7488,2021-03-07 12:53:01.248000000,ETD
Nigel Stanbury,-8.7,2.0,2.0,2021-03-07 12:50:43.036803584,ExoClock observation
John Savage,-7.7,1.2,1.2,2021-03-01 13:21:41.366414080,ExoClock observation
Lionel rousselot,-17.856,1.3536,1.3536,2021-03-01 13:12:07.775999744,ETD
Thomas mollier,2.736,5.4432,5.4432,2021-02-20 14:17:45.024000000,ETD
Thomas MOLLIER,-6.2,4.3,4.3,2021-02-20 14:08:08.860809728,ExoClock observation
Yves Jongen,-11.1,1.7,1.7,2021-02-20 14:03:14.860795136,ExoClock observation
Yves jongen,-13.536,1.5552,1.5552,2021-02-20 14:01:21.792000256,ETD
Martin Smith,-11.0,1.9,1.9,2021-01-21 16:33:12.508792832,ExoClock observation
F. lomoz,21.168,21.9024,21.9024,2018-02-25 09:45:41.472000256,ETD
F. lomoz,2.304,6.5232,6.5232,2018-02-25 09:26:51.359999744,ETD
"Francesco scaggiante, danilo zardin",-0.288,1.152,1.152,2018-02-13 10:24:12.672000000,ETD
Fran campos,-10.656,0.9936,0.9936,2018-01-29 11:28:43.392000256,ETD
Plazas,-42.048,8.3088,8.3088,2017-12-30 13:27:14.111999744,ETD
Marc bretton,6.048,,,2017-05-08 09:59:06.720000000,ETD
Matthieu bachschmidt,23.184,9.3456,9.3456,2017-04-29 11:01:16.607999744,ETD
Eastman et al. (2016),0.0,0.3024,0.3024,2012-09-22 06:59:45.600000000,ETD
