date,observer,oc,oce,source
2010-09-13,"J. j. lissauer et al., 2011",-2.592,9.936,ETD
2010-08-31,"J. j. lissauer et al., 2011",-12.384,12.96,ETD
2010-08-18,"J. j. lissauer et al., 2011",-18.288,8.928,ETD
2010-08-05,"J. j. lissauer et al., 2011",0.864,9.504,ETD
2010-07-22,"J. j. lissauer et al., 2011",-1.44,9.936,ETD
2010-07-09,"J. j. lissauer et al., 2011",-8.064,8.208,ETD
2010-06-26,"J. j. lissauer et al., 2011",-1.584,8.352,ETD
2010-06-13,"J. j. lissauer et al., 2011",-7.344,5.616,ETD
2010-05-31,"J. j. lissauer et al., 2011",2.592,4.896,ETD
2010-05-18,"J. j. lissauer et al., 2011",3.744,4.464,ETD
2010-05-05,"J. j. lissauer et al., 2011",-0.0,5.616,ETD
2010-04-22,"J. j. lissauer et al., 2011",7.92,6.192,ETD
2010-04-09,"J. j. lissauer et al., 2011",9.504,4.752,ETD
2010-03-27,"J. j. lissauer et al., 2011",5.184,4.896,ETD
2010-03-01,"J. j. lissauer et al., 2011",-7.2,5.472,ETD
2010-01-08,"J. j. lissauer et al., 2011",-14.976,10.512,ETD
2009-12-26,"J. j. lissauer et al., 2011",-0.432,6.048,ETD
2009-12-13,"J. j. lissauer et al., 2011",-13.248,6.048,ETD
2009-11-30,"J. j. lissauer et al., 2011",1.152,5.76,ETD
2009-11-17,"J. j. lissauer et al., 2011",5.184,5.904,ETD
2009-10-22,"J. j. lissauer et al., 2011",-2.736,6.336,ETD
2009-09-26,"J. j. lissauer et al., 2011",15.696,6.048,ETD
2009-08-31,"J. j. lissauer et al., 2011",4.464,5.184,ETD
2009-08-18,"J. j. lissauer et al., 2011",6.048,5.184,ETD
2009-07-23,"J. j. lissauer et al., 2011",-1.152,7.2,ETD
2009-07-10,"J. j. lissauer et al., 2011",-5.184,5.472,ETD
2009-06-27,"J. j. lissauer et al., 2011",-14.832,5.76,ETD
2009-06-14,"J. j. lissauer et al., 2011",-2.304,6.768,ETD
2009-06-01,"J. j. lissauer et al., 2011",3.6,5.184,ETD
2009-05-19,"J. j. lissauer et al., 2011",-4.032,7.488,ETD
