date,observer,oc,oce,source
2010-09-17,"J. j. lissauer et al., 2011",6.192,7.344,ETD
2010-08-03,"J. j. lissauer et al., 2011",2.592,7.776,ETD
2010-07-11,"J. j. lissauer et al., 2011",3.6,7.2,ETD
2010-06-19,"J. j. lissauer et al., 2011",7.632,5.184,ETD
2010-05-27,"J. j. lissauer et al., 2011",-13.68,4.608,ETD
2010-05-04,"J. j. lissauer et al., 2011",-6.768,6.768,ETD
2010-04-12,"J. j. lissauer et al., 2011",-9.504,5.472,ETD
2010-02-25,"J. j. lissauer et al., 2011",16.848,4.176,ETD
2009-12-19,"J. j. lissauer et al., 2011",-6.336,5.04,ETD
2009-11-26,"J. j. lissauer et al., 2011",-7.344,5.616,ETD
2009-10-12,"J. j. lissauer et al., 2011",-7.2,5.472,ETD
2009-08-28,"J. j. lissauer et al., 2011",4.176,5.328,ETD
2009-07-13,"J. j. lissauer et al., 2011",-0.432,4.896,ETD
2009-06-21,"J. j. lissauer et al., 2011",-0.72,4.32,ETD
2009-05-29,"J. j. lissauer et al., 2011",3.888,4.896,ETD
