date,observer,oc,oceu,ocel,source
2010-07-25 02:16:04.800000000,"J. j. lissauer et al., 2011",-16.128,5.76,5.76,ETD
2010-05-22 02:52:48.000000256,"J. j. lissauer et al., 2011",8.784,3.456,3.456,ETD
2010-04-20 02:48:02.880000000,"J. j. lissauer et al., 2011",-1.872,3.456,3.456,ETD
2010-02-15 02:52:48.000000256,"J. j. lissauer et al., 2011",-8.928,3.456,3.456,ETD
2010-01-14 03:03:36.000000256,"J. j. lissauer et al., 2011",-4.032,3.6,3.6,ETD
2009-12-13 03:15:41.760000000,"J. j. lissauer et al., 2011",2.16,4.176,4.176,ETD
2009-11-11 03:24:37.439999744,"J. j. lissauer et al., 2011",5.184,3.312,3.312,ETD
2009-10-10 03:30:57.600000256,"J. j. lissauer et al., 2011",5.616,2.736,2.736,ETD
2009-09-08 03:33:41.759999744,"J. j. lissauer et al., 2011",2.448,3.168,3.168,ETD
2009-08-07 03:42:11.520000256,"J. j. lissauer et al., 2011",5.04,2.88,2.88,ETD
2009-07-06 03:38:52.800000256,"J. j. lissauer et al., 2011",-4.176,2.88,2.88,ETD
2009-06-04 03:41:45.600000256,"J. j. lissauer et al., 2011",-7.2,3.024,3.024,ETD
