date,observer,oc,oceu,ocel,source
2010-12-02 21:10:35.040000000,"W. d. cochran et al., 2011",-3.312,1.6128,1.6128,ETD
2010-11-25 05:46:33.888000000,"W. d. cochran et al., 2011",-3.456,1.6416,1.6416,ETD
2010-11-17 14:26:04.416000000,"W. d. cochran et al., 2011",0.0,1.2672,1.2672,ETD
2010-11-09 23:00:33.408000256,"W. d. cochran et al., 2011",-1.584,1.3104,1.3104,ETD
2010-11-02 07:39:00.864000256,"W. d. cochran et al., 2011",0.72,1.3248,1.3248,ETD
2010-10-25 16:14:36.383999744,"W. d. cochran et al., 2011",0.144,1.44,1.44,ETD
2010-10-18 00:50:57.695999744,"W. d. cochran et al., 2011",0.432,1.4544,1.4544,ETD
2010-10-10 09:29:07.007999744,"W. d. cochran et al., 2011",2.448,1.6848,1.6848,ETD
2010-10-02 18:06:45.216000256,"W. d. cochran et al., 2011",4.032,1.4832,1.4832,ETD
2010-09-25 02:42:32.832000000,"W. d. cochran et al., 2011",3.744,1.3248,1.3248,ETD
2010-09-17 11:15:51.840000000,"W. d. cochran et al., 2011",0.864,1.3968,1.3968,ETD
2010-09-09 19:53:51.648000000,"W. d. cochran et al., 2011",2.736,1.5264,1.5264,ETD
2010-09-02 04:32:47.616000256,"W. d. cochran et al., 2011",5.616,1.3104,1.3104,ETD
2010-08-25 13:10:10.272000256,"W. d. cochran et al., 2011",6.912,1.6128,1.6128,ETD
2010-08-17 21:43:13.727999744,"W. d. cochran et al., 2011",3.888,1.44,1.44,ETD
2010-08-10 06:19:47.136000256,"W. d. cochran et al., 2011",4.32,1.296,1.296,ETD
2010-08-02 14:56:14.495999744,"W. d. cochran et al., 2011",4.608,1.4976,1.4976,ETD
2010-07-25 23:29:43.007999744,"W. d. cochran et al., 2011",2.016,1.3824,1.3824,ETD
2010-07-18 08:07:14.304000256,"W. d. cochran et al., 2011",3.456,1.296,1.296,ETD
2010-07-10 16:41:27.744000256,"W. d. cochran et al., 2011",1.584,1.2816,1.2816,ETD
2010-07-03 01:16:07.968000000,"W. d. cochran et al., 2011",0.0,1.4544,1.4544,ETD
2010-06-25 09:51:31.391999744,"W. d. cochran et al., 2011",-0.576,1.368,1.368,ETD
2010-06-17 18:23:05.856000256,"W. d. cochran et al., 2011",-5.184,1.2384,1.2384,ETD
2010-06-10 03:01:13.439999744,"W. d. cochran et al., 2011",-3.168,1.3968,1.3968,ETD
2010-06-02 11:37:28.704000256,"W. d. cochran et al., 2011",-3.024,1.4832,1.4832,ETD
2010-05-25 20:11:35.231999744,"W. d. cochran et al., 2011",-5.04,1.2096,1.2096,ETD
2010-05-18 04:46:37.920000256,"W. d. cochran et al., 2011",-6.048,1.3392,1.3392,ETD
2010-05-10 13:26:30.912000256,"W. d. cochran et al., 2011",-2.304,1.2816,1.2816,ETD
2010-05-02 21:57:37.728000000,"W. d. cochran et al., 2011",-7.344,1.296,1.296,ETD
2010-04-25 06:36:04.319999744,"W. d. cochran et al., 2011",-5.04,1.3392,1.3392,ETD
2010-04-17 15:11:34.656000000,"W. d. cochran et al., 2011",-5.616,1.1952,1.1952,ETD
2010-04-09 23:49:11.135999744,"W. d. cochran et al., 2011",-4.032,1.2672,1.2672,ETD
2010-04-02 08:25:26.400000256,"W. d. cochran et al., 2011",-3.888,1.1376,1.1376,ETD
2010-03-25 17:00:42.048000000,"W. d. cochran et al., 2011",-4.752,1.584,1.584,ETD
2010-03-18 01:37:54.336000256,"W. d. cochran et al., 2011",-3.744,1.6992,1.6992,ETD
2010-03-10 10:16:04.512000000,"W. d. cochran et al., 2011",-1.584,1.656,1.656,ETD
2010-03-02 18:50:36.960000256,"W. d. cochran et al., 2011",-3.168,1.3248,1.3248,ETD
2010-02-23 03:30:11.807999744,"W. d. cochran et al., 2011",0.288,1.3968,1.3968,ETD
2010-02-15 12:07:43.968000000,"W. d. cochran et al., 2011",1.728,1.5408,1.5408,ETD
2010-02-07 20:43:39.360000000,"W. d. cochran et al., 2011",1.44,1.5264,1.5264,ETD
2010-01-31 05:20:50.784000000,"W. d. cochran et al., 2011",2.592,1.4544,1.4544,ETD
2010-01-23 13:54:27.935999744,"W. d. cochran et al., 2011",0.144,1.5984,1.5984,ETD
2010-01-15 22:34:31.296000000,"W. d. cochran et al., 2011",4.032,1.4544,1.4544,ETD
2010-01-08 07:12:21.600000000,"W. d. cochran et al., 2011",5.76,1.6848,1.6848,ETD
2009-12-31 15:46:41.088000256,"W. d. cochran et al., 2011",4.032,1.5696,1.5696,ETD
2009-12-24 00:24:03.744000256,"W. d. cochran et al., 2011",5.184,1.5264,1.5264,ETD
2009-12-16 09:03:05.760000000,"W. d. cochran et al., 2011",8.208,1.8864,1.8864,ETD
2009-12-08 17:37:46.848000000,"W. d. cochran et al., 2011",6.768,1.3968,1.3968,ETD
2009-12-01 02:13:43.103999744,"W. d. cochran et al., 2011",6.624,1.3824,1.3824,ETD
2009-11-23 10:47:47.904000000,"W. d. cochran et al., 2011",4.608,1.6272,1.6272,ETD
2009-11-15 19:23:15.648000256,"W. d. cochran et al., 2011",3.888,1.9728,1.9728,ETD
2009-11-08 04:00:02.880000256,"W. d. cochran et al., 2011",4.608,1.2672,1.2672,ETD
2009-10-31 12:32:25.728000000,"W. d. cochran et al., 2011",0.864,1.4688,1.4688,ETD
2009-10-23 21:09:54.432000000,"W. d. cochran et al., 2011",2.16,1.5552,1.5552,ETD
2009-10-16 05:45:26.495999744,"W. d. cochran et al., 2011",1.584,1.4112,1.4112,ETD
2009-10-08 14:20:17.087999744,"W. d. cochran et al., 2011",0.432,2.1312,2.1312,ETD
2009-09-30 22:55:19.776000256,"W. d. cochran et al., 2011",-0.72,1.512,1.512,ETD
