date,observer,oc,oceu,ocel,source
2016-06-21 11:16:49.728000000,Marc bretton,8.064,11.5056,11.5056,ETD
2010-11-09 22:21:47.519999744,"W. d. cochran et al., 2011",-3.888,0.8784,0.8784,ETD
2010-10-26 01:44:08.448000000,"W. d. cochran et al., 2011",-4.752,0.9648,0.9648,ETD
2010-10-11 05:06:37.152000256,"W. d. cochran et al., 2011",-5.328,0.9504,0.9504,ETD
2010-09-26 08:29:03.264000000,"W. d. cochran et al., 2011",-6.192,0.9072,0.9072,ETD
2010-09-11 11:52:02.207999744,"W. d. cochran et al., 2011",-6.336,0.9648,0.9648,ETD
2010-08-27 15:14:14.496000000,"W. d. cochran et al., 2011",-7.2,0.9072,0.9072,ETD
2010-08-12 18:39:40.320000000,"W. d. cochran et al., 2011",-5.04,0.8784,0.8784,ETD
2010-07-28 22:03:13.824000000,"W. d. cochran et al., 2011",-4.608,0.8784,0.8784,ETD
2010-07-14 01:27:46.944000256,"W. d. cochran et al., 2011",-3.168,0.9072,0.9072,ETD
2010-06-29 04:52:07.103999744,"W. d. cochran et al., 2011",-2.016,1.008,1.008,ETD
2010-06-14 08:15:41.472000256,"W. d. cochran et al., 2011",-1.584,1.0368,1.0368,ETD
2010-05-30 11:40:22.368000000,"W. d. cochran et al., 2011",-0.144,0.9936,0.9936,ETD
2010-05-15 15:05:02.400000000,"W. d. cochran et al., 2011",1.44,0.8784,0.8784,ETD
2010-04-30 18:28:56.640000256,"W. d. cochran et al., 2011",2.16,0.936,0.936,ETD
2010-04-15 21:51:06.336000256,"W. d. cochran et al., 2011",1.152,0.8784,0.8784,ETD
2010-04-01 01:14:00.096000000,"W. d. cochran et al., 2011",0.864,0.9936,0.9936,ETD
2010-03-17 04:34:39.935999744,"W. d. cochran et al., 2011",-1.728,1.0224,1.0224,ETD
2010-03-02 07:56:32.351999744,"W. d. cochran et al., 2011",-3.024,0.9792,0.9792,ETD
2010-02-15 11:17:21.696000256,"W. d. cochran et al., 2011",-5.328,1.1664,1.1664,ETD
2010-01-31 14:42:14.688000256,"W. d. cochran et al., 2011",-3.6,1.1376,1.1376,ETD
2010-01-16 18:01:08.255999744,"W. d. cochran et al., 2011",-7.92,1.224,1.224,ETD
2010-01-01 21:26:47.904000000,"W. d. cochran et al., 2011",-5.328,1.1664,1.1664,ETD
2009-12-03 04:11:55.680000000,"W. d. cochran et al., 2011",-6.624,1.008,1.008,ETD
2009-11-18 07:34:29.568000000,"W. d. cochran et al., 2011",-7.2,0.9648,0.9648,ETD
2009-11-03 10:58:41.952000256,"W. d. cochran et al., 2011",-6.192,0.936,0.936,ETD
2009-10-19 14:23:47.904000256,"W. d. cochran et al., 2011",-4.176,1.152,1.152,ETD
2009-10-04 17:48:29.664000256,"W. d. cochran et al., 2011",-2.592,0.936,0.936,ETD
2009-09-19 21:13:36.479999744,"W. d. cochran et al., 2011",-0.72,0.9792,0.9792,ETD
2009-09-05 00:36:49.247999744,"W. d. cochran et al., 2011",-0.72,1.7424,1.7424,ETD
2009-08-21 03:59:40.416000000,"W. d. cochran et al., 2011",-1.008,1.1232,1.1232,ETD
2009-08-06 07:23:08.735999744,"W. d. cochran et al., 2011",-0.72,1.3104,1.3104,ETD
2009-07-22 10:46:28.416000256,"W. d. cochran et al., 2011",-0.576,1.0656,1.0656,ETD
2009-07-07 14:13:05.088000000,"W. d. cochran et al., 2011",2.88,1.656,1.656,ETD
2009-06-22 17:31:46.560000000,"W. d. cochran et al., 2011",-1.584,1.2384,1.2384,ETD
2009-06-07 20:54:31.680000000,"W. d. cochran et al., 2011",-2.016,1.1664,1.1664,ETD
2009-05-24 00:15:27.072000256,"W. d. cochran et al., 2011",-4.176,1.296,1.296,ETD
2009-05-09 03:36:09.504000256,"W. d. cochran et al., 2011",-6.624,1.4544,1.4544,ETD
