observer,oc,oceu,ocel,date,source
Manfred Raetz,0.4,2.3,2.3,2020-09-07 09:37:37.198096896,ExoClock observation
Manfred raetz,-5.04,2.4912,2.4912,2020-09-07 09:30:12.672000000,ETD
"Mravik j., grnja j.",9.648,4.9536,4.9536,2012-08-14 10:57:29.376000256,ETD
Mihelčič m.,-2.448,8.6688,8.6688,2010-07-09 10:14:04.416000256,ETD
Scarmato t.,-7.344,12.8736,12.8736,2010-07-09 10:09:08.064000000,ETD
Kipping&bakos 2010,-0.288,0.4752,0.4752,2009-06-13 14:07:58.368000000,ETD
Kipping&bakos 2010,0.864,0.5472,0.5472,2009-06-08 16:53:57.696000256,ETD
Kipping&bakos 2010,-0.576,0.504,0.504,2009-06-03 19:37:27.552000000,ETD
Kipping&bakos 2010,-0.144,0.504,0.504,2009-05-29 22:22:48.000000256,ETD
Kipping&bakos 2010,-1.008,0.4608,0.4608,2009-05-25 01:06:53.280000256,ETD
Kipping&bakos 2010,0.144,0.4896,0.4896,2009-05-20 03:52:52.607999744,ETD
Kepler,-0.576,0.2016,0.2016,2009-05-15 06:37:01.344000256,ETD
Kipping&bakos 2010,-0.72,0.4896,0.4896,2009-05-15 06:36:50.112000000,ETD
Kipping&bakos 2010,-0.864,0.504,0.504,2009-05-10 09:21:36.000000000,ETD
Kipping&bakos 2010,-0.144,0.4896,0.4896,2009-05-05 12:07:18.912000256,ETD
