date,observer,oc,oceu,ocel,source
2021-05-30 11:16:58.367999744,Manfred raetz,-5.76,3.8592,3.8592,ETD
2020-09-12 09:39:20.448000000,Jean plazas,0.576,,,ETD
2019-09-03 10:18:47.808000000,Josep gaitan,22.32,4.0176,4.0176,ETD
2016-08-07 11:18:30.815999744,"Josep lluis  salto , ramon naves",-5.328,3.8592,3.8592,ETD
2015-11-09 07:27:17.567999744,Marc bretton,6.048,3.0672,3.0672,ETD
2015-04-08 14:06:39.743999744,Daniel verilhac,-11.088,2.5056,2.5056,ETD
2013-10-26 08:56:36.959999744,Blois sologne astronomie,-9.216,18.3024,18.3024,ETD
2013-03-07 12:34:33.599999744,Veli-pekka hentunen,0.432,,,ETD
2013-03-07 12:33:59.903999744,Veli-pekka hentunen,-0.144,,,ETD
2012-10-04 07:10:38.783999744,"Janko mravik, jaroslav grnja",6.048,7.7184,7.7184,ETD
2012-07-29 18:44:37.536000000,Joe garlitz,23.328,5.0256,5.0256,ETD
2012-06-29 12:23:35.232000000,Fabio martinelli,-10.656,5.7456,5.7456,ETD
2012-06-26 12:13:38.207999744,Jordi lopesino,14.112,6.3072,6.3072,ETD
2012-03-12 15:36:35.424000256,Ferran grau horta,-8.64,5.7168,5.7168,ETD
2012-03-09 14:54:12.672000000,Ferran grau horta,-16.272,3.7872,3.7872,ETD
2009-05-13 09:58:53.760000000,"A. s. bonomo et al., 2011",0.0,0.864,0.864,ETD
