observer,oc,oceu,ocel,date,source
Adam Popowicz,11.7,2.6,2.6,2022-04-10 12:42:26.354886912,ExoClock observation
Paolo Arcangelo Matassa,2.8,2.6,2.6,2022-04-10 12:33:32.354886656,ExoClock observation
Manfred Raetz,-1.2,1.2,1.2,2022-04-10 12:29:32.354860544,ExoClock observation
Manfred raetz,-2.592,1.1376,1.1376,2022-04-10 12:28:11.712000000,ETD
Francesco Scaggiante,2.6,1.7,1.7,2022-04-05 09:42:01.148143616,ExoClock observation
Anaël Wünsche,0.8,0.9,0.9,2022-04-05 09:40:13.148125952,ExoClock observation
Simon Dawes,1.3,4.3,4.3,2022-03-24 11:00:58.332467200,ExoClock observation
Mark Salisbury,0.7,1.3,1.3,2022-03-24 11:00:22.332461056,ExoClock observation
Rene roy,0.576,1.1664,1.1664,2022-03-24 11:00:14.400000000,ETD
Daniel verilhac,-0.576,1.8864,1.8864,2022-03-24 10:59:07.872000256,ETD
Mark salisbury,-2.304,1.1088,1.1088,2022-03-24 10:57:25.056000000,ETD
Kevin Johnson,-1.2,5.8,5.8,2022-03-17 15:10:02.723506176,ExoClock observation
Andy McGregor,6.0,4.3,4.3,2022-03-07 09:34:36.310081792,ExoClock observation
Marc SERRAU,0.3,1.4,1.4,2022-03-07 09:28:54.310045952,ExoClock observation
Richard Abraham,-5.6,4.3,4.3,2022-03-07 09:23:00.310074880,ExoClock observation
Simon Dawes,-5.6,4.3,4.3,2022-03-07 09:23:00.310074880,ExoClock observation
Veli-pekka hentunen,-0.432,1.7136,1.7136,2022-02-28 13:39:40.607999744,ETD
Anaël Wünsche,1.3,1.0,1.0,2022-02-23 10:50:09.494385152,ExoClock observation
Alessandro Marchini,1.0,1.4,1.4,2022-02-23 10:49:51.494362112,ExoClock observation
Alessandro marchini,-0.144,1.2816,1.2816,2022-02-23 10:48:39.744000000,ETD
F. lomoz,-0.576,2.304,2.304,2022-02-23 10:48:18.144000256,ETD
Sebastien Brouillard,1.1,2.0,2.0,2022-02-18 07:58:38.287682560,ExoClock observation
Sebastien Brouillard,1.5,1.4,1.4,2022-02-11 12:10:36.678703104,ExoClock observation
Trevor Gainey,-1.1,2.6,2.6,2022-02-06 09:16:41.471976960,ExoClock observation
Andras Dan,4.2,1.4,1.4,2022-01-25 10:42:14.656324864,ExoClock observation
Jean-Bernard PIOPPA,0.2,2.6,2.6,2022-01-25 10:38:14.656339200,ExoClock observation
Veli-pekka hentunen,-2.016,2.0592,2.0592,2022-01-25 10:35:59.423999744,ETD
Samuel diaz lopez,0.144,3.5712,3.5712,2022-01-18 14:49:43.103999744,ETD
Adrian Jones,-0.5,1.6,1.6,2022-01-13 11:57:47.840628224,ExoClock observation
Giuseppe Conzo,-6.9,4.3,4.3,2022-01-13 11:51:23.840619008,ExoClock observation
"Giuseppe conzo, zlatko orbanić",-22.608,4.9104,4.9104,2022-01-13 11:35:37.248000256,ETD
Trevor Gainey,2.4,3.5,3.5,2021-12-10 08:58:33.795800576,ExoClock observation
John Savage,2.0,1.3,1.3,2021-06-12 12:04:51.158388480,ExoClock observation
Medulka t.,5.04,2.4336,2.4336,2021-05-26 10:36:46.079999744,ETD
Andrius Bruzas,-3.6,4.3,4.3,2021-05-14 11:48:26.320318464,ExoClock observation
Mike miller,-61.2,67.7808,67.7808,2021-05-07 15:02:22.559999744,ETD
Bogdan stanciu,-0.288,2.9376,2.9376,2021-04-10 08:49:32.736000256,ETD
Yves Jongen,-0.3,1.4,1.4,2021-03-29 10:09:51.459824128,ExoClock observation
Fabio salvaggio,-1.872,1.7136,1.7136,2021-03-29 10:08:17.952000000,ETD
Yves jongen,-2.304,1.1808,1.1808,2021-03-29 10:07:51.168000256,ETD
Enrique arce mansego,0.864,2.1312,2.1312,2021-03-22 14:22:35.328000000,ETD
Paul Benni,-1.3,1.2,1.2,2021-03-22 14:20:25.850857728,ExoClock observation
Paul benni,-1.728,1.1952,1.1952,2021-03-22 14:19:58.944000000,ETD
Gonzalo fornas,-19.872,9.288,9.288,2021-03-22 14:01:53.759999744,ETD
Paul Benni,-1.2,1.2,1.2,2021-03-15 18:32:06.241895680,ExoClock observation
Paul benni,-2.16,1.3968,1.3968,2021-03-15 18:31:04.512000000,ETD
Yves jongen,2.448,1.4112,1.4112,2021-03-12 08:41:34.080000256,ETD
Yves Jongen,2.2,0.9,0.9,2021-03-05 12:52:51.828460800,ExoClock observation
Yves jongen,1.44,0.936,0.936,2021-03-05 12:52:04.224000256,ETD
Veli-pekka hentunen,-0.432,1.3392,1.3392,2021-03-05 12:50:13.632000000,ETD
Matteo Cataneo,0.6,1.7,1.7,2021-02-28 09:59:56.621730816,ExoClock observation
"Nico montigiani, massimiliano mannucci",-0.432,1.2672,1.2672,2021-02-28 09:58:52.032000000,ETD
Massimiliano Mannucci,-0.6,1.0,1.0,2021-02-28 09:58:44.621719040,ExoClock observation
Jens jacobsen,-2.16,1.7856,1.7856,2021-02-28 09:57:11.808000000,ETD
Jean plazas,-50.544,,,2021-02-28 09:08:45.312000000,ETD
Manfred Raetz,5.9,1.7,1.7,2021-02-21 14:16:49.012806400,ExoClock observation
Manfred raetz,5.76,1.4688,1.4688,2021-02-21 14:16:41.952000000,ETD
Veli-pekka hentunen,23.616,17.0208,17.0208,2021-02-16 11:43:12.576000256,ETD
Yves Jongen,0.1,1.0,1.0,2021-01-18 11:08:52.967993600,ExoClock observation
Yves jongen,-0.576,0.8928,0.8928,2021-01-18 11:08:12.192000256,ETD
Alberto Tomatis,-3.4,1.0,1.0,2020-12-13 15:06:08.520913920,ExoClock observation
Veli-pekka hentunen,1.872,2.16,2.16,2020-12-08 12:20:01.824000256,ETD
John Savage,4.1,4.3,4.3,2020-11-04 09:20:11.269430784,ExoClock observation
Yves Jongen,2.7,1.6,1.6,2020-10-16 14:50:36.844776448,ExoClock observation
Yves jongen,0.576,1.512,1.512,2020-10-16 14:48:31.392000000,ETD
Francois regembal,-3.024,3.0384,3.0384,2020-10-16 14:44:57.119999744,ETD
Francois Regembal,-5.8,2.9,2.9,2020-10-16 14:42:06.844766720,ExoClock observation
F. lomoz,-23.328,5.3136,5.3136,2020-09-12 11:22:24.096000000,ETD
Veli-pekka hentunen,7.632,4.0176,4.0176,2020-08-31 13:13:41.088000000,ETD
Francois Regembal,5.3,3.6,3.6,2020-06-05 12:38:53.470062848,ExoClock observation
Francois regembal,0.0,2.1312,2.1312,2020-06-05 12:33:37.440000256,ETD
Andreas beck,-0.144,1.4688,1.4688,2020-05-31 09:42:04.607999744,ETD
Anaël Wünsche,1.5,1.7,1.7,2020-05-19 11:04:01.447667712,ExoClock observation
Anaël wünsche,1.008,1.728,1.728,2020-05-19 11:03:35.712000256,ETD
Nosáľ p.,2.448,5.4144,5.4144,2020-04-20 10:54:06.336000000,ETD
Nosáľ p.,3.888,6.8544,6.8544,2020-04-08 12:15:52.992000256,ETD
Yves Jongen,3.0,1.4,1.4,2020-04-08 12:14:57.793883136,ExoClock observation
Anaël Wünsche,1.9,2.3,2.3,2020-04-08 12:13:51.793879040,ExoClock observation
Anaël wünsche,1.296,2.5056,2.5056,2020-04-08 12:13:18.336000000,ETD
Yves jongen,0.576,1.4256,1.4256,2020-04-08 12:12:33.407999744,ETD
