observer,oc,oceu,ocel,date,source
Anaël Wünsche,2.4,1.3,1.3,2022-02-22 14:16:06.067153152,ExoClock observation
Anaël Wünsche,2.8,1.6,1.6,2022-01-23 14:30:53.548801024,ExoClock observation
Yves Jongen,0.2,1.4,1.4,2021-12-24 14:42:41.030419200,ExoClock observation
Anaël Wünsche,1.8,1.4,1.4,2021-12-09 14:51:28.771189760,ExoClock observation
Yves Jongen,-1.1,1.3,1.3,2021-12-09 14:48:34.771168000,ExoClock observation
Yves Jongen,-3.7,1.0,1.0,2021-12-08 17:35:48.873572096,ExoClock observation
jean pascal vignes,6.2,2.6,2.6,2021-12-01 16:24:23.692791808,ExoClock observation
Yves Jongen,3.0,1.2,1.2,2021-12-01 16:21:11.692787200,ExoClock observation
jean pascal vignes,2.8,1.7,1.7,2021-11-30 19:10:49.795214848,ExoClock observation
jean pascal vignes,-2.1,3.3,3.3,2021-11-30 19:05:55.795200256,ExoClock observation
