date,observer,oc,oceu,ocel,source
2018-02-15 23:57:27.936000000,Carl r knight,0.288,1.1088,1.1088,ETD
2011-02-16 00:43:33.600000256,Curtis i.,-1.872,7.776,7.776,ETD
2010-05-16 23:57:55.584000000,Curtis i.,3.024,7.2288,7.2288,ETD
2010-05-14 03:10:52.320000256,Curtis i.,1.584,6.48,6.48,ETD
2010-03-24 23:55:45.119999744,Evans p.,3.168,3.5856,3.5856,ETD
2009-05-25 07:31:24.671999744,Sauer t.,4.464,1.7856,1.7856,ETD
2009-05-09 13:16:11.424000000,Adams et al 2010,-0.288,0.216,0.216,ETD
2009-03-14 16:28:52.607999744,Adams et al 2010,0.144,0.4608,0.4608,ETD
2008-05-13 13:40:33.312000000,Adams et al 2010,0.288,0.1584,0.1584,ETD
2008-04-23 12:21:55.871999744,Adams et al 2010,0.288,0.4032,0.4032,ETD
2008-02-24 18:48:37.728000256,Adams et al 2010,0.288,0.3456,0.3456,ETD
2007-01-29 17:14:33.215999744,Adams et al 2010,0.576,0.3456,0.3456,ETD
2006-03-17 17:00:32.543999872,Adams et al 2010,-0.144,0.6624,0.6624,ETD
2005-04-13 15:27:19.872000000,Adams et al 2010,-1.296,1.2816,1.2816,ETD
2005-04-10 18:40:36.480000000,P. pietrukowicz  et al 2009,-2.448,0.72,0.72,ETD
2005-04-03 14:49:16.320000256,Adams et al 2010,0.0,0.3168,0.3168,ETD
2002-02-18 08:44:04.416000256,Udalski et al 2002,-5.904,,,ETD
