observer,oc,oceu,ocel,date,source
Claudio Lopresti,3.2,1.7,1.7,2022-04-27 10:29:58.550400256,ExoClock observation
Veli-pekka hentunen,4.176,1.3104,1.3104,2022-03-17 07:19:23.232,ETD
Paolo Arcangelo Matassa,6.7,5.8,5.8,2022-03-02 11:58:33.580794624,ExoClock observation
Paolo Arcangelo Matassa,7.5,2.3,2.3,2022-01-15 10:20:01.017612288,ExoClock observation
Yves Jongen,3.2,0.9,0.9,2022-01-15 10:15:43.017603584,ExoClock observation
Yves Jongen,8.7,1.2,1.2,2021-12-13 12:35:58.329592576,ExoClock observation
Fabio Mortari,8.5,2.3,2.3,2021-11-30 08:41:40.454404864,ExoClock observation
Fran Campos,7.8,2.3,2.3,2021-11-30 08:40:58.454391296,ExoClock observation
Paolo Arcangelo Matassa,4.9,2.6,2.6,2021-11-30 08:38:04.454409728,ExoClock observation
Paolo Arcangelo Matassa,5.1,7.2,7.2,2021-11-20 11:42:42.047995648,ExoClock observation
Manfred Raetz,3.4,0.7,0.7,2019-09-19 10:36:36.067214080,ExoClock observation
