,index,date,observer,oc,oce,source
0,74,2022-02-25,Trevor Gainey,-1.8,1.7,ExoClock observation
1,75,2022-01-20,Kevin Johnson,-0.7,2.2,ExoClock observation
2,76,2022-01-15,Paolo Arcangelo Matassa,0.4,1.4,ExoClock observation
3,77,2021-12-12,Paolo Arcangelo Matassa,2.5,2.4,ExoClock observation
4,78,2021-10-31,Andre Kovacs,-3.3,5.8,ExoClock observation
5,80,2021-10-26,Giovanni Battista Casalnuovo,-3.7,1.2,ExoClock observation
6,79,2021-10-26,Enrique Arce,-1.8,1.3,ExoClock observation
7,81,2021-10-16,Ana\xc3\xabl W\xc3\xbcnsche,0.1,0.6,ExoClock observation
8,82,2021-09-29,Thomas MOLLIER,-2.7,0.6,ExoClock observation
9,83,2021-09-29,Nick Quinn,-2.7,1.2,ExoClock observation
10,84,2021-08-31,Rafael Gonz\xc3\xa1lez Farf\xc3\xa1n,-4.4,2.2,ExoClock observation
11,85,2021-08-23,Paolo Arcangelo Matassa,-0.0,2.9,ExoClock observation
12,86,2021-08-16,Paolo Arcangelo Matassa,0.3,3.2,ExoClock observation
13,87,2021-08-16,Nello Ruocco,-1.0,1.2,ExoClock observation
14,88,2021-08-14,Giorgio Baj,-2.1,0.7,ExoClock observation
15,89,2021-08-06,Mario Morales Aimar,-1.2,0.4,ExoClock observation
16,90,2021-07-20,Ivo Peretto,0.5,0.7,ExoClock observation
17,91,2021-07-18,Martin Smith,0.7,1.0,ExoClock observation
18,92,2021-07-18,Georgios Lekkas,-5.0,4.3,ExoClock observation
19,93,2021-07-10,Jean-Bernard PIOPPA,-3.4,1.3,ExoClock observation
20,94,2021-06-30,Giorgio Baj,-2.0,0.6,ExoClock observation
21,95,2021-06-30,Jean-Marc MARI,-3.3,0.7,ExoClock observation
22,97,2021-06-13,Emanuele Pace,-0.6,0.4,ExoClock observation
23,100,2021-06-13,Francois Regembal,-4.0,1.3,ExoClock observation
24,96,2021-06-13,Ana\xc3\xabl W\xc3\xbcnsche,0.9,0.6,ExoClock observation
25,98,2021-06-13,Didier Laloum,-1.6,0.7,ExoClock observation
26,99,2021-06-13,Val\xc3\xa8re Perroud,-2.2,0.9,ExoClock observation
27,102,2021-06-04,Carmelo Falco,-1.3,1.0,ExoClock observation
28,101,2021-06-04,Carmelo Falco,-0.9,0.9,ExoClock observation
29,103,2021-05-27,Lorenzo Betti,1.9,1.2,ExoClock observation
30,104,2021-05-27,Claudio Lopresti,-3.9,1.4,ExoClock observation
31,105,2021-05-25,Francois Regembal,-3.4,1.6,ExoClock observation
32,106,2021-05-17,Fabio Mortari,-2.6,1.7,ExoClock observation
33,107,2021-05-08,Adam Popowicz,-1.5,1.0,ExoClock observation
34,108,2021-04-30,T\xc3\xb5nis Eenm\xc3\xa4e,-0.8,0.4,ExoClock observation
35,109,2021-04-30,\xc3\x9cllar Kivila,-2.9,1.6,ExoClock observation
36,110,2021-04-22,Andre Kovacs,-2.4,2.4,ExoClock observation
37,111,2021-04-20,Lorenzo Betti,-1.4,0.4,ExoClock observation
38,112,2021-04-01,Lorenzo Betti,-0.9,1.2,ExoClock observation
39,113,2021-03-25,Manfred Raetz,0.3,0.7,ExoClock observation
40,114,2021-03-25,Lorenzo Betti,-3.6,1.2,ExoClock observation
41,115,2020-10-26,John Savage,1.6,0.9,ExoClock observation
42,116,2020-09-29,Stephane Ferratfiat,-2.1,0.4,ExoClock observation
43,117,2020-09-28,Taewoo Kim,-0.7,0.4,ExoClock observation
44,118,2020-09-22,Manfred Raetz,-0.7,0.4,ExoClock observation
45,119,2020-08-19,Taewoo Kim,-1.1,0.4,ExoClock observation
46,120,2020-08-06,Ana\xc3\xabl W\xc3\xbcnsche,1.3,0.3,ExoClock observation
47,121,2020-07-20,Yves Jongen,1.1,0.6,ExoClock observation
48,122,2020-07-20,Jacques Michelet,-0.3,0.6,ExoClock observation
49,123,2020-07-18,Yves Jongen,0.1,0.6,ExoClock observation
50,124,2020-05-29,Roger Dymock,1.0,2.0,ExoClock observation
51,125,2020-05-27,Francois Regembal,-1.1,1.4,ExoClock observation
52,126,2020-05-18,Manfred Raetz,-0.7,0.6,ExoClock observation
53,127,2020-05-08,Mauro Cal\xc3\xb3,1.7,0.7,ExoClock observation
54,128,2020-05-08,Alberto Tomatis,-0.3,0.9,ExoClock observation
55,129,2019-10-20,Nick Sioulas,-2.0,1.2,ExoClock observation
56,130,2019-09-30,Pavol Gajdo\xc5\xa1,-0.5,2.0,ExoClock observation
57,131,2019-09-13,Ana\xc3\xabl W\xc3\xbcnsche,-1.4,0.3,ExoClock observation
58,132,2019-08-17,Ana\xc3\xabl W\xc3\xbcnsche,0.4,0.2,ExoClock observation
59,134,2019-07-31,Ana\xc3\xabl W\xc3\xbcnsche,-1.3,0.3,ExoClock observation
60,133,2019-07-31,Pavel Pintr,4.4,0.7,ExoClock observation
61,136,2019-07-04,Stephane Neveu,-0.1,0.7,ExoClock observation
62,135,2019-07-04,Mario Morales Aimar,2.2,2.0,ExoClock observation
63,137,2019-06-25,Ana\xc3\xabl W\xc3\xbcnsche,2.0,0.9,ExoClock observation
64,138,2019-05-31,Fabio Salvaggio,0.7,1.3,ExoClock observation
65,139,2019-05-31,Alessandro Marchini,-1.4,1.0,ExoClock observation
66,140,2019-04-05,Ana\xc3\xabl W\xc3\xbcnsche,-0.7,0.7,ExoClock observation
67,141,2019-02-17,Ana\xc3\xabl W\xc3\xbcnsche,0.6,0.6,ExoClock observation
68,142,2018-10-03,Ana\xc3\xabl W\xc3\xbcnsche,-2.9,0.9,ExoClock observation
69,143,2018-04-24,Ana\xc3\xabl W\xc3\xbcnsche,0.2,0.4,ExoClock observation
70,144,2017-11-09,Ana\xc3\xabl W\xc3\xbcnsche,0.2,0.4,ExoClock observation
71,145,2017-10-23,Ana\xc3\xabl W\xc3\xbcnsche,0.3,0.4,ExoClock observation
72,146,2017-09-16,Ana\xc3\xabl W\xc3\xbcnsche,0.1,0.7,ExoClock observation
73,147,2017-07-24,Mario Morales Aimar,0.9,0.9,ExoClock observation
74,148,2016-11-29,C\xc3\xa9dric Pereira,-3.7,1.9,ExoClock observation
75,149,2016-08-03,Ana\xc3\xabl W\xc3\xbcnsche,-0.5,0.2,ExoClock observation
76,150,2016-08-03,Angelos Tsiaras,-2.4,1.7,ExoClock observation
77,151,2016-05-07,Angelos Tsiaras,-0.7,2.7,ExoClock observation
78,152,2016-05-05,Ana\xc3\xabl W\xc3\xbcnsche,2.2,0.9,ExoClock observation
79,153,2016-01-23,Ana\xc3\xabl W\xc3\xbcnsche,-1.7,0.4,ExoClock observation
80,154,2015-12-27,Ana\xc3\xabl W\xc3\xbcnsche,1.0,0.4,ExoClock observation
81,155,2015-11-30,Ana\xc3\xabl W\xc3\xbcnsche,1.1,0.6,ExoClock observation
82,156,2015-11-23,Ana\xc3\xabl W\xc3\xbcnsche,-0.5,1.0,ExoClock observation
83,0,2015-11-20,P\xc3\xbcsk\xc3\xbcll\xc3\xbc et al. 2017,-0.8,1.2,ExoClock literature
84,1,2015-11-13,P\xc3\xbcsk\xc3\xbcll\xc3\xbc et al. 2017,2.0,0.9,ExoClock literature
85,2,2015-11-03,P\xc3\xbcsk\xc3\xbcll\xc3\xbc et al. 2017,0.8,0.9,ExoClock literature
86,157,2015-10-14,Ana\xc3\xabl W\xc3\xbcnsche,0.4,0.9,ExoClock observation
87,158,2015-10-07,Ana\xc3\xabl W\xc3\xbcnsche,0.7,0.6,ExoClock observation
88,159,2015-09-20,Ana\xc3\xabl W\xc3\xbcnsche,1.8,0.6,ExoClock observation
89,160,2015-09-17,Ana\xc3\xabl W\xc3\xbcnsche,-1.3,0.6,ExoClock observation
90,161,2015-09-10,Ana\xc3\xabl W\xc3\xbcnsche,3.1,0.7,ExoClock observation
91,162,2015-09-08,Ana\xc3\xabl W\xc3\xbcnsche,0.7,0.7,ExoClock observation
92,163,2015-08-24,Ana\xc3\xabl W\xc3\xbcnsche,0.9,0.4,ExoClock observation
93,165,2015-08-22,Ana\xc3\xabl W\xc3\xbcnsche,0.0,0.3,ExoClock observation
94,164,2015-08-22,Ana\xc3\xabl W\xc3\xbcnsche,1.6,0.7,ExoClock observation
95,166,2015-07-18,Ana\xc3\xabl W\xc3\xbcnsche,1.1,0.4,ExoClock observation
96,167,2015-06-29,Ana\xc3\xabl W\xc3\xbcnsche,2.5,0.6,ExoClock observation
97,168,2015-06-21,Ana\xc3\xabl W\xc3\xbcnsche,-0.2,0.6,ExoClock observation
98,3,2015-05-25,P\xc3\xbcsk\xc3\xbcll\xc3\xbc et al. 2017,1.9,0.8,ExoClock literature
99,4,2015-04-11,P\xc3\xbcsk\xc3\xbcll\xc3\xbc et al. 2017,1.9,0.8,ExoClock literature
100,169,2015-01-06,Ana\xc3\xabl W\xc3\xbcnsche,-1.1,0.7,ExoClock observation
101,170,2015-01-06,Antonio Marino,-3.8,2.7,ExoClock observation
102,5,2014-10-27,Maciejewski et al. 2015,-2.4,1.7,ExoClock literature
103,6,2014-09-30,P\xc3\xbcsk\xc3\xbcll\xc3\xbc et al. 2017,0.8,0.8,ExoClock literature
104,7,2014-09-27,Maciejewski et al. 2015,-0.5,0.5,ExoClock literature
105,8,2014-09-25,Collins et al. 2017,0.9,0.4,ExoClock literature
106,9,2014-09-20,P\xc3\xbcsk\xc3\xbcll\xc3\xbc et al. 2017,2.4,0.7,ExoClock literature
107,10,2014-09-18,Maciejewski et al. 2015,-0.8,0.8,ExoClock literature
108,11,2014-09-10,Maciejewski et al. 2015,-0.4,0.4,ExoClock literature
109,12,2014-08-24,P\xc3\xbcsk\xc3\xbcll\xc3\xbc et al. 2017,2.1,0.7,ExoClock literature
110,13,2014-08-19,Collins et al. 2017,-0.7,0.4,ExoClock literature
