date,observer,oc,oceu,ocel,source
2022-04-28 11:07:00.479999744,F. lomoz,0.144,2.5488,2.5488,ETD
2022-04-28 11:02:52.512000256,F. lomoz,-4.032,1.7712,1.7712,ETD
2022-02-28 15:01:30.720000000,Miguel angel alava,-5.616,1.7712,1.7712,ETD
2021-06-11 13:15:55.872000256,Yves jongen,-3.312,0.36,0.36,ETD
2021-06-07 12:59:54.239999744,Yves jongen,-2.88,0.36,0.36,ETD
2021-05-18 11:39:44.352000256,Massaro salvatore,-1.44,3.1824,3.1824,ETD
2021-05-14 11:28:34.751999744,Jean plazas,3.888,,,ETD
2021-05-10 11:06:32.832000000,Školník v.,-1.872,1.1232,1.1232,ETD
2021-04-29 18:22:11.424000000,Yves jongen,-2.592,0.432,0.432,ETD
2021-04-28 10:16:46.848000000," lobodenko m., nagurna a., solomakha m., baransky a.",-2.592,0.936,0.936,ETD
2021-04-24 09:59:22.272000256,"Baransky a., lobodenko m., nagurna a., solomakha m.",-3.6,0.8208,0.8208,ETD
2021-04-17 17:33:01.727999744,Yves jongen,-2.736,0.3168,0.3168,ETD
2021-02-28 14:23:52.223999744,Aaav ass.ne astrofili alta valdera,4.176,,,ETD
2021-02-28 14:23:52.223999744,Aaav astrofili valdera,4.176,,,ETD
2020-07-13 14:36:45.504000000,Yves jongen,-5.76,0.6624,0.6624,ETD
2020-06-07 12:11:53.664000256,Yves jongen,-3.456,0.3456,0.3456,ETD
2020-05-26 11:26:04.416000000,Gianni casalnuovo,-0.288,1.8144,1.8144,ETD
2020-05-22 11:14:13.344000000,Alberto garcía sánchez,4.32,1.7424,1.7424,ETD
2020-05-22 11:04:51.744000256,Jordi lopesino,-5.04,1.8864,1.8864,ETD
2020-05-22 11:02:55.103999744,Francois regembal,-7.056,1.2384,1.2384,ETD
2020-05-18 11:03:36.576000000,Guy brabant,9.936,1.7712,1.7712,ETD
2020-05-18 10:52:27.840000000,Michael irzyk,-1.152,1.8288,1.8288,ETD
2020-05-18 10:51:52.415999744,Jordi lopesino,-1.728,2.3328,2.3328,ETD
2020-05-11 18:24:17.568000000,Yves jongen,-2.016,0.5328,0.5328,ETD
2020-04-20 08:57:36.575999744,F. lomoz,-1.584,1.5696,1.5696,ETD
2020-04-20 08:56:28.320000000,F. lomoz,-2.736,1.728,1.728,ETD
2020-04-13 16:29:40.128000256,Yves jongen,-2.304,0.504,0.504,ETD
2020-03-04 13:45:21.888000256,Nosáľ p.,-3.168,1.0368,1.0368,ETD
2020-02-10 20:14:22.848000000,Yves jongen,-1.44,0.4032,0.4032,ETD
2020-02-02 19:40:40.223999744,Yves jongen,-2.448,0.6912,0.6912,ETD
2019-05-15 09:47:12.192000000,Marc bretton,-2.592,0.6912,0.6912,ETD
2019-04-29 08:39:52.127999744,Yves jongen,-4.464,1.3248,1.3248,ETD
2019-03-29 14:35:25.151999744,Pere guerra,-3.6,0.5904,0.5904,ETD
2019-03-25 14:21:28.800000256,Yves jongen,-1.296,0.8208,0.8208,ETD
2019-03-09 13:22:38.496000256,Arena c.,5.328,1.152,1.152,ETD
