date,observer,oc,oce,source
2022-02-23,Aaav astrofili valdera,0.0,,ETD
2022-02-09,Alessandro marchini,11.952,1.3824,ETD
2022-01-20,Yves jongen,12.096,0.7776,ETD
2022-01-14,Yves jongen,12.24,0.6192,ETD
2022-01-14,Stéphane montchaud,10.08,2.3184,ETD
2022-01-14,Alessandro marchini,9.216,1.2816,ETD
2021-12-31,Matthieu bachschmidt,9.792,1.1808,ETD
2021-12-25,Jens jacobsen,8.352,0.8496,ETD
2021-12-25,Michal powalko,7.2,1.1232,ETD
2021-12-11,Yves jongen,10.944,0.8928,ETD
2021-05-11,Yves jongen,2.016,0.8784,ETD
2021-05-11,Cosmin olinici ,-60.048,51.696,ETD
2021-04-27,Manfred raetz,-3.6,0.7488,ETD
2021-04-19,Joe garlitz,1.152,1.1808,ETD
2021-04-16,Joe garlitz,1.296,1.0368,ETD
2021-04-07,"Francesco scaggiante, danilo zardin,marco fiaschi",-0.0,1.152,ETD
2021-04-07,Jean plazas,-0.144,,ETD
2021-04-07,Anaël wünsche,-0.288,0.6624,ETD
2021-04-04,Manfred raetz,1.152,0.504,ETD
2021-04-04,Vrašťák m,0.144,0.9648,ETD
2021-04-04,Marc bretton,-0.144,0.3168,ETD
2021-03-16,Laurie sibbald,1.44,3.2544,ETD
2021-03-15,"Matteo cataneo, emanuele russo, filippo leveraro",0.0,0.7056,ETD
