,date,observer,oc,oce,source
0,2022-03-07,Manfred Raetz,-30.5,2.6,ExoClock observation
1,2022-03-07,Lorenzo Betti,-32.8,1.3,ExoClock observation
2,2022-02-28,Yves Jongen,-21.2,1.2,ExoClock observation
3,2022-02-28,Marc Bretton,-30.5,1.0,ExoClock observation
4,2022-02-07,Jacques Michelet,-33.4,1.9,ExoClock observation
5,2022-02-07,Claudio Lopresti,-35.3,4.3,ExoClock observation
6,2022-02-07,Robert Roth,-35.8,2.7,ExoClock observation
7,2022-02-07,Ana\xc3\xabl W\xc3\xbcnsche,-36.0,1.3,ExoClock observation
8,2022-02-07,Yves Jongen,-38.6,2.3,ExoClock observation
9,2022-01-24,Ana\xc3\xabl W\xc3\xbcnsche,-31.2,0.7,ExoClock observation
10,2022-01-24,Cyrille AUMASSON,-32.6,1.0,ExoClock observation
11,2022-01-17,Martin Crow,-27.5,3.0,ExoClock observation
12,2021-12-21,Manfred Raetz,-28.3,1.0,ExoClock observation
13,2021-12-21,Yves Jongen,-36.5,2.6,ExoClock observation
14,2021-12-14,Giorgio Baj,-30.1,1.9,ExoClock observation
15,2021-12-14,Alvaro Fornas Silva,-30.6,1.6,ExoClock observation
16,2021-12-14,Robert Roth,-31.7,1.6,ExoClock observation
17,2021-12-07,Fran Campos,-23.9,2.0,ExoClock observation
