observer,oc,oceu,ocel,date,source
Ivo Peretto,-2.4,1.6,1.6,2022-04-18 08:34:33.254428928,ExoClock observation
Paolo Arcangelo Matassa,0.5,1.0,1.0,2022-04-11 09:40:52.656018688,ExoClock observation
Claudio Lopresti,-0.8,1.2,1.2,2022-04-11 09:39:34.656039424,ExoClock observation
Claudio Lopresti,-1.1,1.9,1.9,2022-04-11 09:39:16.656016384,ExoClock observation
Milan Uhlar,-2.6,1.0,1.0,2022-04-11 09:37:46.656021760,ExoClock observation
Yves Jongen,-2.3,0.9,0.9,2022-04-04 10:41:30.057572608,ExoClock observation
Stéphane Montchaud,1.3,1.4,1.4,2022-03-21 12:51:56.860824832,ExoClock observation
Yves Jongen,-1.3,0.7,0.7,2022-03-21 12:49:20.860785920,ExoClock observation
Paolo Arcangelo Matassa,-0.2,1.3,1.3,2022-03-14 13:53:52.262398208,ExoClock observation
Robert Roth,-2.5,1.3,1.3,2022-02-28 15:58:25.065598976,ExoClock observation
