observer,oc,oceu,ocel,date,source
Manfred Raetz,-30.5,2.6,2.6,2022-03-07 07:12:33.648001024,ExoClock observation
Lorenzo Betti,-32.8,1.3,1.3,2022-03-07 07:10:15.648025344,ExoClock observation
Yves Jongen,-21.2,1.2,1.2,2022-02-28 07:46:18.720018176,ExoClock observation
Marc Bretton,-30.5,1.0,1.0,2022-02-28 07:37:00.719987200,ExoClock observation
Jacques Michelet,-33.4,1.9,1.9,2022-02-07 08:47:27.936004352,ExoClock observation
Claudio Lopresti,-35.3,4.3,4.3,2022-02-07 08:45:33.935979008,ExoClock observation
Robert Roth,-35.8,2.7,2.7,2022-02-07 08:45:03.935980800,ExoClock observation
Anaël Wünsche,-36.0,1.3,1.3,2022-02-07 08:44:51.936005632,ExoClock observation
Yves Jongen,-38.6,2.3,2.3,2022-02-07 08:42:15.936006912,ExoClock observation
Anaël Wünsche,-31.2,0.7,0.7,2022-01-24 09:38:34.080025344,ExoClock observation
Cyrille AUMASSON,-32.6,1.0,1.0,2022-01-24 09:37:10.079997952,ExoClock observation
Martin Crow,-27.5,3.0,3.0,2022-01-17 10:06:43.152014336,ExoClock observation
Manfred Raetz,-28.3,1.0,1.0,2021-12-20 11:43:43.439977984,ExoClock observation
Yves Jongen,-36.5,2.6,2.6,2021-12-20 11:35:31.439991296,ExoClock observation
Giorgio Baj,-30.1,1.9,1.9,2021-12-13 12:06:22.512027136,ExoClock observation
Alvaro Fornas Silva,-30.6,1.6,1.6,2021-12-13 12:05:52.511988480,ExoClock observation
Robert Roth,-31.7,1.6,1.6,2021-12-13 12:04:46.512024576,ExoClock observation
Fran Campos,-23.9,2.0,2.0,2021-12-06 12:37:01.584007168,ExoClock observation
