date,observer,oc,oce,source
2021-12-26,Jens jacobsen,-16.128,1.584,ETD
2021-10-05,Wonseok kang,-11.088,0.432,ETD
2021-09-08,Veli-pekka hentunen,-1.008,1.0368,ETD
2021-07-27,Wonseok kang,16.704,9.5616,ETD
2021-05-24,Yves jongen,-2.88,1.152,ETD
2021-04-15,Veli-pekka hentunen,-8.64,0.72,ETD
2021-03-09,Veli-pekka hentunen,-13.68,0.5184,ETD
2021-03-07,Jens jacobsen,-10.656,1.7712,ETD
2021-03-05,Veli-pekka hentunen,-12.96,0.5904,ETD
2021-03-05,Michal powalko,-11.376,1.224,ETD
2020-10-10,Manfred raetz,-2.88,0.5472,ETD
2020-09-23,Anaël wünsche,-2.448,1.224,ETD
2020-09-07,Anaël wünsche,3.312,1.0224,ETD
2020-09-07,Veli-pekka hentunen,1.872,0.72,ETD
2020-09-03,Jean plazas,0.432,,ETD
2020-08-05,"Gährken, bernd",-0.576,,ETD
2020-08-05,Jean plazas,-42.912,9.936,ETD
