observer,oc,oceu,ocel,date,source
Napaporn A-thano,5.4,0.7,0.7,2021-10-28 15:03:29.323024640,ExoClock observation
Mike Miller,1.4,2.7,2.7,2021-10-25 14:16:11.268090624,ExoClock observation
"Giuseppe conzo, zlatko orbanić",42.048,39.2832,39.2832,2021-10-13 12:02:58.848000256,ETD
Giuseppe Conzo,-1.9,4.3,4.3,2021-10-13 11:19:41.048445440,ExoClock observation
David Bennett,-0.5,1.2,1.2,2021-10-10 10:37:46.993524224,ExoClock observation
Jean-Baptiste Marquette,-2.4,1.4,1.4,2021-10-10 10:35:52.993539072,ExoClock observation
Robert Roth,-1.4,0.6,0.6,2021-10-07 09:53:34.938627072,ExoClock observation
Didier Laloum,-1.7,0.7,0.7,2021-10-07 09:53:16.938604032,ExoClock observation
Lionel Rousselot,-1.7,0.7,0.7,2021-10-07 09:53:16.938604032,ExoClock observation
Georgios Lekkas,-0.4,1.0,1.0,2021-10-04 09:11:16.883715328,ExoClock observation
Didier Laloum,-0.7,0.6,0.6,2021-10-04 09:10:58.883692288,ExoClock observation
Robert Roth,-1.6,0.3,0.3,2021-10-04 09:10:04.883703552,ExoClock observation
Robert Roth,-2.6,0.4,0.4,2021-10-04 09:09:04.883707136,ExoClock observation
Ivo Peretto,-1.5,0.4,0.4,2021-10-01 08:26:52.828803072,ExoClock observation
Mark Salisbury,-1.5,0.4,0.4,2021-10-01 08:26:52.828803072,ExoClock observation
David Wright,-1.9,1.3,1.3,2021-10-01 08:26:28.828812544,ExoClock observation
Ivo peretto,-1.296,0.5472,0.5472,2021-10-01 08:26:25.152000000,ETD
"Francesco scaggiante, danilo zardin,marco fiaschi",-1.296,0.6768,0.6768,2021-10-01 08:26:22.559999744,ETD
Giuseppe Conzo,-2.2,1.6,1.6,2021-10-01 08:26:10.828789504,ExoClock observation
Mark salisbury,-2.16,0.4176,0.4176,2021-10-01 08:25:35.904000256,ETD
"Giuseppe conzo, zlatko orbanić",-4.032,1.5552,1.5552,2021-10-01 08:23:38.400000000,ETD
Adam Popowicz,0.5,1.0,1.0,2021-09-28 07:45:34.773887744,ExoClock observation
Claudio Lopresti,0.2,1.4,1.4,2021-09-28 07:45:16.773904896,ExoClock observation
Alessandro Marchini,-1.1,0.7,0.7,2021-09-28 07:43:58.773885440,ExoClock observation
Alessandro marchini,-1.44,0.7632,0.7632,2021-09-28 07:42:58.464000256,ETD
Dim Stouraitis,-0.6,1.3,1.3,2021-09-25 07:01:10.718975488,ExoClock observation
Paolo Arcangelo Matassa,-2.0,1.9,1.9,2021-09-25 06:59:46.718988544,ExoClock observation
Andre Kovacs,-0.9,2.0,2.0,2021-08-04 18:44:45.785472512,ExoClock observation
Andre Kovacs,-1.4,3.3,3.3,2021-08-01 18:00:57.730565888,ExoClock observation
Javier de elias,-1.584,1.0512,1.0512,2021-07-08 12:13:43.392000256,ETD
Dominique DANIEL,-2.3,1.3,1.3,2021-07-08 12:13:39.291230976,ExoClock observation
Samuel diaz lopez,-2.16,0.648,0.648,2021-07-08 12:13:05.376000000,ETD
Dominique daniel,-3.6,1.224,1.224,2021-07-08 12:11:40.704000256,ETD
Marc deldem,2.736,0.5616,0.5616,2021-07-05 11:34:39.360000000,ETD
Marc Deldem,-1.9,0.6,0.6,2021-07-05 11:30:45.236353536,ExoClock observation
Fran campos,1.584,1.1376,1.1376,2021-07-02 10:50:16.512000000,ETD
Anaël Wünsche,-1.8,0.4,0.4,2021-07-02 10:47:33.181412864,ExoClock observation
Samuel diaz lopez,-1.44,0.7056,0.7056,2021-07-02 10:47:16.800000256,ETD
Anaël wünsche,-2.16,0.4608,0.4608,2021-07-02 10:46:28.416000256,ETD
Andre Kovacs,3.3,1.9,1.9,2021-05-08 21:53:14.193014528,ExoClock observation
Andre Kovacs,-5.6,1.7,1.7,2021-05-05 21:01:02.138105856,ExoClock observation
Andre Kovacs,-0.2,2.3,2.3,2021-05-02 20:23:08.083170304,ExoClock observation
Leon Bewersdorff,-4.3,2.6,2.6,2020-11-29 07:30:41.282656768,ExoClock observation
Jean-Baptiste Marquette,-0.6,2.9,2.9,2020-09-02 10:38:39.690241024,ExoClock observation
Luis tremosa espasa,-1.872,1.0224,1.0224,2020-09-02 10:36:46.944000000,ETD
Yves Jongen,-0.3,0.6,0.6,2020-08-27 09:12:21.580447488,ExoClock observation
Yves jongen,-0.72,0.6336,0.6336,2020-08-27 09:11:12.192000000,ETD
Veli-pekka hentunen,-1.152,0.6624,0.6624,2020-08-27 09:10:48.864000256,ETD
David cejudo fernandez,-0.0,,,2020-06-09 14:26:07.871999744,ETD
David Bennett,2.7,2.7,2.7,2020-05-31 12:19:37.987977984,ExoClock observation
Manfred Raetz,-0.4,0.6,0.6,2020-05-31 12:16:31.987980800,ExoClock observation
Marc bretton,-0.432,0.2592,0.2592,2020-05-31 12:15:50.400000000,ETD
Manfred raetz,-0.72,0.5184,0.5184,2020-05-31 12:15:33.984000000,ETD
Anaël wünsche,-1.296,0.6336,0.6336,2020-05-31 12:14:56.832000000,ETD
Francois Regembal,-2.1,0.7,0.7,2020-05-31 12:14:49.987970816,ExoClock observation
Francois regembal,-2.448,0.8928,0.8928,2020-05-31 12:13:45.984000000,ETD
Simon Dawes,3.2,1.7,1.7,2020-05-28 11:36:49.933067776,ExoClock observation
Anaël Wünsche,0.0,0.7,0.7,2020-05-28 11:33:37.933063168,ExoClock observation
Martin Crow,0.0,0.6,0.6,2020-05-28 11:33:37.933063168,ExoClock observation
Georg nawrath,0.144,1.08,1.08,2020-05-28 11:33:11.231999744,ETD
Pere Guerra,-0.6,0.6,0.6,2020-05-28 11:33:01.933057280,ExoClock observation
Mauro Caló,-0.6,0.6,0.6,2020-05-28 11:33:01.933057280,ExoClock observation
Adrian Jones,-0.7,0.7,0.7,2020-05-28 11:32:55.933049600,ExoClock observation
EMMANUEL BESSON,-0.7,0.6,0.6,2020-05-28 11:32:55.933049600,ExoClock observation
Patrick Brandebourg,-1.1,0.7,0.7,2020-05-28 11:32:31.933059072,ExoClock observation
Anaël wünsche,-0.432,0.6624,0.6624,2020-05-28 11:32:29.760000256,ETD
Stephane Ferratfiat,-0.2,0.4,0.4,2020-05-25 10:50:07.878139648,ExoClock observation
Stephane ferratfiat,0.144,0.5184,0.5184,2020-05-25 10:49:46.272000000,ETD
Stephane ferratfiat,-0.144,0.432,0.432,2020-05-25 10:49:29.856000000,ETD
Jacques Michelet,-1.6,0.9,0.9,2020-05-25 10:48:43.878152704,ExoClock observation
Jordi lopesino,-5.184,1.3968,1.3968,2020-05-25 10:44:30.912000000,ETD
Tõnis Eenmäe,-2.2,0.7,0.7,2020-05-22 10:04:49.823238656,ExoClock observation
Nikolaos Paschalis,-2.5,1.0,1.0,2020-05-22 10:04:31.823255808,ExoClock observation
Vikrant Kumar Agnihotri,-1.9,1.2,1.2,2020-05-13 07:55:13.658496768,ExoClock observation
Veli-pekka hentunen,-3.6,0.8352,0.8352,2020-02-27 13:50:19.968000000,ETD
Yves jongen,0.144,0.5472,0.5472,2019-08-08 13:32:56.256000000,ETD
Pere Guerra,-1.0,0.6,0.6,2019-08-08 13:32:26.606607616,ExoClock observation
Vicenç ferrando,0.576,0.7344,0.7344,2019-08-05 12:50:04.992000256,ETD
Yves jongen,-0.576,0.8064,0.8064,2019-08-05 12:48:52.416000000,ETD
Mario Morales Aimar,0.8,0.7,0.7,2019-08-02 12:07:38.496728576,ExoClock observation
Yves jongen,-0.432,0.576,0.576,2019-08-02 12:05:43.872000000,ETD
Aleksandra selezneva,-1.152,0.72,0.72,2019-08-02 12:04:58.079999744,ETD
Mario morales,-1.584,0.8064,0.8064,2019-08-02 12:04:39.072000256,ETD
Alberto Tomatis,4.6,1.0,1.0,2019-07-30 11:28:08.441830912,ExoClock observation
Massaro salvatore,-1.728,0.72,0.72,2019-07-30 11:21:11.520000000,ETD
Alberto tomatis,-1.872,0.6048,0.6048,2019-07-30 11:20:58.560000000,ETD
Mauro calo,-2.16,1.6128,1.6128,2019-07-30 11:20:43.872000000,ETD
Anaël Wünsche,2.0,0.9,0.9,2019-07-24 09:58:56.332015616,ExoClock observation
Anaël wünsche,0.144,0.8784,0.8784,2019-07-24 09:56:24.287999744,ETD
Yves jongen,-0.576,0.5616,0.5616,2019-07-24 09:55:40.223999744,ETD
Dimitrios Deligeorgopoulos,2.6,1.2,1.2,2019-07-21 09:16:14.277113344,ExoClock observation
Janos,1.872,5.5872,5.5872,2019-07-21 09:14:53.376000000,ETD
Brett chamberland,3.168,1.512,1.512,2018-10-21 16:19:00.768000000,ETD
Benjamen smith,-0.864,0.6768,0.6768,2018-10-21 16:14:58.847999744,ETD
Rene roy,-2.88,1.5984,1.5984,2018-09-27 10:26:38.687999744,ETD
Yves jongen,-3.456,5.328,5.328,2018-06-25 12:03:45.504000256,ETD
Yves jongen,3.888,0.5472,0.5472,2018-06-22 11:27:44.639999744,ETD
Anaël Wünsche,0.3,0.4,0.4,2018-06-22 11:24:49.138546688,ExoClock observation
Marc bretton,0.144,0.5328,0.5328,2018-06-22 11:23:58.272000000,ETD
Mario Morales Aimar,0.2,1.2,1.2,2018-06-19 10:41:25.083671040,ExoClock observation
Mario morales,-1.872,1.152,1.152,2018-06-19 10:38:45.312000000,ETD
Pascal langlais,-4.176,2.0736,2.0736,2018-06-19 10:36:25.343999744,ETD
Mohammd talafha,1.872,0.8208,0.8208,2018-06-16 09:59:12.768000256,ETD
Aaav astrofili valdera,-0.144,,,2018-06-16 09:57:06.624000256,ETD
Mario Morales Aimar,0.5,0.6,0.6,2017-08-23 11:14:55.647337984,ExoClock observation
Mario morales,0.0,0.6624,0.6624,2017-08-23 11:13:52.607999744,ETD
Fco. jiménez alvarado,0.0,1.1088,1.1088,2017-05-27 14:18:08.352000256,ETD
Angel luis marrero corujo,-5.328,1.2384,1.2384,2017-05-27 14:12:41.759999744,ETD
Ipsavega,-0.144,0.5904,0.5904,2017-05-24 13:34:38.208000000,ETD
"Dalouzy jean-christophe, dherbecourt marwane tamburini pascal",-1.872,0.3888,0.3888,2016-07-28 14:06:09.504000256,ETD
"Dominika ďurovčíková, karol petrík",2.016,1.1376,1.1376,2016-07-19 12:00:06.048000256,ETD
"Dominika ďurovčíková, karol petrík",-0.0,1.2528,1.2528,2016-07-19 11:58:05.088000000,ETD
"Dominika ďurovčíková, karol petrík",-4.608,3.1392,3.1392,2016-07-19 11:53:33.792000000,ETD
"Dominika ďurovčíková, karol petrík",-5.472,1.5408,1.5408,2016-07-19 11:52:35.904000000,ETD
Ramon naves,-0.72,0.7632,0.7632,2016-07-16 11:14:08.160000000,ETD
Anaël Wünsche,-1.3,0.6,0.6,2016-07-16 11:14:06.344044800,ExoClock observation
Marc bretton,-2.016,0.5472,0.5472,2016-07-16 11:12:50.400000256,ETD
Aaav astrofili valdera,-0.72,,,2016-07-13 10:30:47.519999744,ETD
Anaël Wünsche,-0.7,0.9,0.9,2016-04-19 14:18:58.751591680,ExoClock observation
Marc bretton,-0.864,0.6768,0.6768,2016-04-19 14:18:13.536000256,ETD
"Dominika ďurovčíková, karol petrík",7.776,1.0224,1.0224,2015-09-20 11:55:44.256000256,ETD
David molina,0.864,0.5616,0.5616,2015-06-18 13:26:31.776000000,ETD
Sean balkwill,1.44,1.1376,1.1376,2015-04-09 20:51:12.960000000,ETD
Alexander ,0.432,1.3392,1.3392,2015-04-09 20:50:09.023999744,ETD
Jennifer eastman,0.288,1.1232,1.1232,2015-04-09 20:50:02.976000256,ETD
Steffen shaigec,-0.576,1.5408,1.5408,2015-04-09 20:49:12.863999744,ETD
Yisong liu,-0.576,1.5408,1.5408,2015-04-09 20:49:08.544000000,ETD
Mickie wiebe,-0.576,1.5408,1.5408,2015-04-09 20:49:08.544000000,ETD
Terry youngman,-0.72,1.4688,1.4688,2015-04-09 20:49:07.679999744,ETD
Jared fairbanks,-0.72,1.4688,1.4688,2015-04-09 20:49:07.679999744,ETD
Alton k. b.,-0.864,0.7056,0.7056,2014-08-28 15:24:38.304000000,ETD
Horta f. g.,4.608,1.9584,1.9584,2014-08-16 12:36:56.160000256,ETD
Antonio zanardo,-1.44,0.8064,0.8064,2014-08-16 12:30:50.687999744,ETD
Horta f. g.,-1.296,0.9216,0.9216,2014-08-13 11:47:46.464000000,ETD
Salisbury m.,-0.288,0.504,0.504,2014-08-10 11:05:24.576000000,ETD
"Zeynep avci, ozge varol, ozgur basturk, artem burdanov",-1.728,1.4976,1.4976,2014-08-10 11:03:59.040000000,ETD
Aaav astrofili valdera,-0.432,,,2014-08-04 09:38:45.024000000,ETD
Benni p.,-0.144,0.8208,0.8208,2014-06-01 18:29:43.296000256,ETD
Dittler u.,1.152,1.1376,1.1376,2014-05-05 12:01:16.032000000,ETD
Alessandro Marchini,-0.4,0.7,0.7,2014-05-05 12:00:15.792390656,ExoClock observation
Marchini a.,-0.432,0.792,0.792,2014-05-05 11:59:37.536000000,ETD
Zibar m.,-0.72,0.6192,0.6192,2014-05-05 11:59:19.392000000,ETD
Sergey i.,-18.576,4.248,4.248,2014-04-23 08:48:18.432000000,ETD
"Bahar e., sevim k., bastuk o.",-3.888,1.1664,1.1664,2013-09-26 07:15:16.992000256,ETD
Shadic s.,-1.296,0.432,0.432,2013-07-30 17:35:06.143999744,ETD
Majewski r.,-1.584,1.4976,1.4976,2013-07-30 17:34:47.999999744,ETD
Schteinman g. m.,2.592,0.5616,0.5616,2013-07-12 13:19:11.135999744,ETD
Salisbury m.,-0.576,0.504,0.504,2013-07-06 11:49:25.824000256,ETD
Nicolas e.,-1.008,0.4032,0.4032,2013-07-06 11:49:03.360000256,ETD
Gonzalez j.,3.456,0.6048,0.6048,2013-07-03 11:10:11.423999744,ETD
"Mravik j., grnja j.",4.896,1.3248,1.3248,2013-06-30 10:28:21.504000000,ETD
Hose k.,-0.432,0.7344,0.7344,2013-05-06 21:23:30.912000000,ETD
Shadic s.,3.888,1.0656,1.0656,2013-05-03 20:44:32.927999744,ETD
Sokov e. n.,3.024,1.512,1.512,2012-11-21 05:45:23.904000256,ETD
Roomian p.,-0.144,1.7136,1.7136,2012-09-27 16:42:50.688000000,ETD
Shadic s.,-0.72,0.8064,0.8064,2012-09-27 16:42:14.400000256,ETD
Emering f.,-9.648,1.4256,1.4256,2012-09-06 11:30:17.568000000,ETD
"Mravik j., grnja j.",-0.144,0.6048,0.6048,2012-08-28 09:29:54.528000256,ETD
Corfini g.,-3.744,1.5408,1.5408,2012-08-22 07:59:39.840000256,ETD
"Iadanza k., balonek t.",-4.464,1.4256,1.4256,2012-07-01 19:42:47.232000000,ETD
Shadic s.,-1.008,0.4608,0.4608,2012-06-28 19:03:00.864000000,ETD
"Iadanza k., balonek t.",1.44,1.2528,1.2528,2012-06-16 16:12:13.824000000,ETD
"Iadanza k., balonek t.",-0.432,1.1088,1.1088,2012-06-13 15:27:00.864000000,ETD
"Iadanza k., balonek t.",0.72,1.9872,1.9872,2012-06-10 14:44:57.119999744,ETD
Martyn eaves,1.44,9.3168,9.3168,2012-05-26 11:09:05.760000256,ETD
Bachschmidt m.,-0.432,1.6848,1.6848,2012-05-26 11:07:12.576000256,ETD
Emering f.,-1.584,1.6128,1.6128,2012-05-26 11:06:02.591999744,ETD
Uranoscope,-6.912,3.3984,3.3984,2012-05-26 11:00:48.096000256,ETD
Carreño a.,0.288,0.792,0.792,2012-05-23 10:24:37.728000256,ETD
Gaitan j.,-2.88,1.0368,1.0368,2012-05-23 10:21:34.560000000,ETD
Horta f. g.,-3.744,1.008,1.008,2012-05-23 10:20:37.536000000,ETD
Shadic s.,0.288,0.6912,0.6912,2011-11-20 14:23:19.392000000,ETD
Shadic s.,-3.312,0.576,0.576,2011-08-27 18:07:17.184000256,ETD
Shadic s.,4.752,0.7056,0.7056,2011-08-24 17:32:00.384000256,ETD
"Walter b., strickland w., soriano r.",3.888,0.7632,0.7632,2011-08-21 16:47:52.224000256,ETD
"Walter b., strickland w., soriano r.",2.592,0.9216,0.9216,2011-08-21 16:46:36.192000256,ETD
"Walter b., strickland w., soriano r.",1.008,0.792,0.792,2011-08-21 16:45:04.608000000,ETD
Centenera f.,1.872,0.8064,0.8064,2011-08-03 12:26:01.247999744,ETD
"V. krushevska, yu. kuznietsova, m. andreev",-0.576,0.6048,0.6048,2011-07-25 10:13:41.088000000,ETD
"V. krushevska, yu. kuznietsova, m. andreev",-1.008,0.576,0.576,2011-07-22 09:30:01.440000000,ETD
"V. krushevska, yu. kuznietsova, m. andreev",-3.456,0.5328,0.5328,2011-07-19 08:44:15.648000256,ETD
"V. krushevska, yu. kuznietsova, m. andreev",-1.584,0.7056,0.7056,2011-07-16 08:02:49.920000000,ETD
"Marlowe h., makely n., hutcheson m., depree c.",-16.992,1.3392,1.3392,2011-05-25 19:31:16.032000000,ETD
Sergison d.,-0.72,0.9216,0.9216,2011-04-28 13:17:48.192000000,ETD
Zibar m.,0.432,3.0384,3.0384,2011-04-22 11:52:22.080000256,ETD
Kučáková h.,3.744,1.6416,1.6416,2011-04-19 11:12:29.664000000,ETD
Vrašťák m.,-0.72,1.2672,1.2672,2011-04-19 11:07:56.640000000,ETD
Brát l.,-0.72,1.296,1.296,2011-04-19 11:07:54.912000000,ETD
Zibar m.,-2.16,2.6496,2.6496,2011-04-19 11:06:36.287999744,ETD
Zibar m.,-4.464,5.0976,5.0976,2011-04-19 11:04:18.048000256,ETD
Chen cao,2.304,,,2010-11-18 23:05:53.952000000,ETD
Trautman n.,-0.288,3.4704,3.4704,2010-10-25 17:16:59.232000256,ETD
Wiggins p.,-2.016,0.8352,0.8352,2010-10-13 14:21:59.039999744,ETD
Wiggins p.,-0.576,1.296,1.296,2010-10-10 13:40:13.440000256,ETD
Wiggins p.,2.88,1.08,1.08,2010-07-23 18:57:46.367999744,ETD
Mihelčič m.,0.288,1.0656,1.0656,2010-06-23 11:42:14.688000256,ETD
Manfred Raetz,0.2,0.9,0.9,2010-06-20 10:59:20.148489472,ExoClock observation
Manfred raetz,-0.576,0.9792,0.9792,2010-06-20 10:57:58.752000000,ETD
Shadick s.,-0.288,1.2096,1.2096,2010-04-17 19:49:03.071999744,ETD
Šárka dyčková,-1.152,0.8496,0.8496,2010-03-24 14:01:47.712000256,ETD
Luboš brát,-3.312,2.304,2.304,2010-03-24 13:59:35.520000000,ETD
Wiggins,1.008,3.456,3.456,2009-09-23 18:45:47.519999744,ETD
Wiggins,-0.144,3.312,3.312,2009-09-20 18:01:26.399999744,ETD
Rozema g.,-1.008,1.08,1.08,2009-09-20 18:00:30.240000256,ETD
Vander haagen g.,-0.72,1.5696,1.5696,2009-09-14 16:34:14.015999744,ETD
Trnka j.,-0.576,0.8928,0.8928,2009-08-24 11:31:18.047999744,ETD
Dyčková š.,-3.024,1.0656,1.0656,2009-08-24 11:28:51.167999744,ETD
Sauer t.,0.864,0.7632,0.7632,2009-08-18 10:06:04.896000000,ETD
"Trnka j., klos m.",0.72,0.6624,0.6624,2009-08-18 10:05:56.255999744,ETD
