date,observer,oc,oce,source
2021-09-24,Taewoo Kim,1.9,1.2,ExoClock observation
2021-09-24,Wonseok Kang,1.5,1.3,ExoClock observation
2021-08-02,Yves Jongen,3.5,0.7,ExoClock observation
2021-07-16,Yves Jongen,1.3,0.7,ExoClock observation
2021-07-16,Ana\xc3\xabl W\xc3\xbcnsche,2.1,0.7,ExoClock observation
2020-11-28,Yves Jongen,2.4,1.0,ExoClock observation
2020-08-01,Phil Evans,-1.0,1.0,ExoClock observation
2020-08-01,Yves Jongen,3.1,1.4,ExoClock observation
2020-07-25,Carmelo Falco,-0.7,2.2,ExoClock observation
2020-07-15,Yves Jongen,0.4,1.2,ExoClock observation
2018-08-07,Addison et al. 2019,-0.1,0.5,ExoClock literature
2013-10-20,Turner et al. 2016,-0.5,0.9,ExoClock literature
2013-10-20,Turner et al. 2016,0.1,1.1,ExoClock literature
2013-08-01,Moyano et al. 2017,-1.5,0.4,ExoClock literature
2012-08-17,Moyano et al. 2017,-4.3,2.0,ExoClock literature
2012-08-12,Moyano et al. 2017,1.2,0.7,ExoClock literature
2012-08-12,Moyano et al. 2017,1.2,0.9,ExoClock literature
2012-08-12,Moyano et al. 2017,-1.1,1.4,ExoClock literature
2011-10-14,Turner et al. 2016,-0.0,1.9,ExoClock literature
2011-10-07,Mancini et al. 2013,0.8,0.7,ExoClock literature
2011-10-07,Mancini et al. 2013,1.0,0.4,ExoClock literature
2011-10-07,Mancini et al. 2013,0.3,0.5,ExoClock literature
2011-10-02,Mancini et al. 2013,-0.5,0.3,ExoClock literature
2011-10-02,Mancini et al. 2013,-0.1,0.2,ExoClock literature
2011-10-02,Mancini et al. 2013,0.6,0.4,ExoClock literature
2011-09-03,Mancini et al. 2013,0.1,0.2,ExoClock literature
2010-08-25,Anderson et al. 2012,-0.0,0.6,ExoClock literature
2010-08-25,Turner et al. 2016,0.7,0.3,ExoClock literature
