date,observer,oc,oceu,ocel,source
2022-02-15 20:11:48.191999744,Yves jongen,-2.88,1.1088,1.1088,ETD
2021-06-08 13:23:38.976000000,Yves jongen,-0.576,1.152,1.152,ETD
2021-05-30 10:31:48.000000000,Stéphane montchaud,-1.584,2.8368,2.8368,ETD
2021-04-11 19:20:48.768000000,Yves jongen,-0.576,1.1664,1.1664,ETD
2021-04-08 18:27:22.464000256,Yves jongen,2.88,1.0656,1.0656,ETD
2021-03-27 14:40:12.863999744,Marc deldem,3.744,1.08,1.08,ETD
2021-03-24 13:45:41.760000000,Anaël wünsche,6.192,0.8928,0.8928,ETD
2021-03-24 13:43:24.384000000,F. lomoz,3.888,2.7648,2.7648,ETD
2021-03-24 13:42:23.040000000,Yves jongen,2.88,0.9792,0.9792,ETD
2021-03-24 13:41:00.960000000,F. lomoz,1.584,1.1952,1.1952,ETD
2021-03-24 13:35:40.416000256,Alvaro fornas silva,-3.888,1.3248,1.3248,ETD
2021-03-24 13:31:17.760000000,Marsec marana space explorer center,-8.208,3.888,3.888,ETD
2021-03-15 10:35:32.640000000,Claudio lopresti,-12.96,2.3184,2.3184,ETD
2020-05-18 12:45:57.023999744,Francois regembal,-0.288,1.5552,1.5552,ETD
2020-03-06 13:52:04.512000256,Ramon naves,-6.48,0.9504,0.9504,ETD
2019-07-01 08:00:16.992000256,Yenal ogmen,-4.896,1.584,1.584,ETD
2019-05-01 13:08:58.559999744,Gährken bernd,3.6,1.1376,1.1376,ETD
2019-04-28 12:08:34.080000000,Pere guerra,0.288,1.872,1.872,ETD
2019-04-25 11:11:31.776000000,Pere guerra,0.144,1.1952,1.1952,ETD
2019-02-14 13:21:06.048000256,M.hoecherl,0.576,0.9648,0.9648,ETD
2018-06-10 07:25:39.072000256,Yenal ogmen,-1.584,0.7344,0.7344,ETD
2018-05-04 20:01:11.424000000,Michelle dadighat,-2.016,2.1888,2.1888,ETD
2018-04-07 11:30:53.855999744,"Francesco scaggiante, danilo zardin",0.576,1.5264,1.5264,ETD
2017-03-23 12:55:39.360000256,Denis gorshanov,9.36,2.7216,2.7216,ETD
2016-05-17 11:52:01.344000256,"Francesco scaggiante, danilo zardin",-1.152,2.1312,2.1312,ETD
2016-05-11 10:02:37.535999744,Trnka j.,3.456,2.2032,2.2032,ETD
2016-03-20 17:50:21.983999744,"Martin mašek, kateřina hoňková, jakub juryšek",0.144,1.1088,1.1088,ETD
2015-07-09 09:57:20.447999744,Antoni vives,-5.616,1.7136,1.7136,ETD
2015-05-21 18:53:54.816000000,Stan shadick,2.88,1.4976,1.4976,ETD
2015-05-21 18:49:15.743999744,Stan shadick,-1.872,1.8144,1.8144,ETD
2015-05-18 17:57:19.296000256,Stan shadick,3.168,2.0304,2.0304,ETD
2015-04-30 12:17:46.176000000,David molina,5.616,2.1168,2.1168,ETD
2015-04-24 10:24:05.760000256,Aaav astrofili valdera,5.904,,,ETD
2015-04-24 10:21:25.920000000,František lomoz,3.312,1.4112,1.4112,ETD
2015-04-24 10:20:30.624000256,Jaroslav trnka,2.304,1.656,1.656,ETD
2015-04-24 10:16:19.200000000,Martin zíbar,-1.872,1.1088,1.1088,ETD
2015-04-24 10:15:52.415999744,František lomoz,-2.304,1.512,1.512,ETD
2015-04-24 09:57:36.000000000,"Francesco scaggiante, danilo zardin",-20.592,3.6144,3.6144,ETD
