observer,oc,oceu,ocel,date,source
Roger Dymock,2.7,3.0,3.0,2022-01-25 15:45:45.118081536,ExoClock observation
Andre Kovacs,1.6,2.9,2.9,2022-01-25 15:44:39.118077440,ExoClock observation
Paolo Arcangelo Matassa,0.1,2.6,2.6,2021-12-29 06:48:28.867223552,ExoClock observation
Yves Jongen,0.1,0.6,0.6,2021-12-15 14:21:08.741753600,ExoClock observation
Yves jongen,-1.008,0.6624,0.6624,2021-12-15 14:20:03.264000256,ETD
christian PANTACCHINI,-0.3,4.3,4.3,2021-11-08 10:49:24.401288448,ExoClock observation
Christian pantacchini,-1.728,3.5568,3.5568,2021-11-08 10:47:57.408000256,ETD
F. lomoz,5.328,1.8288,1.8288,2021-11-06 11:59:38.400000256,ETD
Taewoo Kim,0.7,0.6,0.6,2021-10-04 06:14:24.078716928,ExoClock observation
Wonseok kang,0.288,0.5184,0.5184,2021-10-04 06:13:56.352000256,ETD
Dominique daniel,2.736,4.3632,4.3632,2021-09-20 13:49:09.120000000,ETD
Dominique DANIEL,0.9,3.0,3.0,2021-09-20 13:47:15.953262336,ExoClock observation
Yves Jongen,1.5,0.6,0.6,2021-07-25 21:03:11.433602560,ExoClock observation
Yves jongen,0.72,0.576,0.576,2021-07-25 21:02:27.743999744,ETD
Marc bretton,10.512,9.7488,9.7488,2021-02-13 14:39:30.528000000,ETD
"Francesco scaggiante, danilo zardin,marco fiaschi",4.608,1.296,1.296,2021-01-13 07:48:12.096000000,ETD
Jordi lopesino,-5.616,2.5056,2.5056,2021-01-11 08:42:41.471999744,ETD
Carmelo Falco,2.7,1.0,1.0,2020-12-01 07:29:01.265295360,ExoClock observation
Esseiva nicolas,4.896,0.8352,0.8352,2020-11-25 10:45:08.928000256,ETD
Roberto pidal,1.44,1.7856,1.7856,2020-11-21 12:51:08.064000256,ETD
Juanjo salamero,-4.752,1.512,1.512,2020-11-21 12:44:54.816000256,ETD
Yves Jongen,-1.1,0.7,0.7,2020-11-19 13:53:13.157762304,ExoClock observation
Yves jongen,-2.16,0.6336,0.6336,2020-11-19 13:52:07.968000000,ETD
Martin Fowler,5.6,2.0,2.0,2020-11-11 18:18:35.086086144,ExoClock observation
Yves Jongen,0.6,0.6,0.6,2020-09-29 17:56:14.691827712,ExoClock observation
Yves jongen,-0.432,0.5184,0.5184,2020-09-29 17:55:12.288000000,ETD
Yves Jongen,0.2,0.7,0.7,2020-09-27 19:00:30.673929984,ExoClock observation
Yves jongen,0.144,0.6336,0.6336,2020-09-27 19:00:23.616000256,ETD
Yves Jongen,2.3,1.0,1.0,2020-09-25 20:07:16.656023552,ExoClock observation
Yves jongen,1.728,0.6912,0.6912,2020-09-25 20:06:41.471999744,ETD
Yves Jongen,-0.4,0.9,0.9,2020-01-19 14:01:52.362268672,ExoClock observation
Yves jongen,-1.584,0.864,0.864,2020-01-19 14:00:44.640000256,ETD
Yves jongen,-0.288,0.6624,0.6624,2019-12-07 13:44:36.095999744,ETD
Yves Jongen,-1.1,0.4,0.4,2019-12-07 13:43:49.967978496,ExoClock observation
Anael wunsche,9.216,1.296,1.296,2019-10-29 11:27:30.816000256,ETD
Anaël Wünsche,2.7,2.6,2.6,2019-10-29 11:20:57.609607168,ExoClock observation
Yves Jongen,-1.5,0.9,0.9,2019-10-29 11:16:45.609606144,ExoClock observation
Yves jongen,-2.736,0.792,0.792,2019-10-29 11:15:27.648000000,ETD
Roberto r koropecki,6.768,2.9088,2.9088,2019-10-21 15:43:44.831999744,ETD
Josep gaitan,2.88,1.656,1.656,2019-01-03 08:15:08.639999744,ETD
