date,observer,oc,oceu,ocel,source
2021-03-06 09:08:57.408000256,J.g.,24.768,3.2832,3.2832,ETD
2021-02-14 11:41:10.752000000,J.g.,-0.432,,,ETD
2020-03-23 12:47:02.688000000,F. lomoz,18.288,0.4752,0.4752,ETD
2020-03-23 12:36:08.640000000,"F, lomoz",7.344,1.6416,1.6416,ETD
2019-03-28 14:03:20.160000000,Anael wunsche,51.696,,,ETD
2018-02-16 13:02:10.752000000,F. lomoz,43.344,2.1888,2.1888,ETD
2018-02-16 12:51:09.792000000,F. lomoz,32.4,1.4544,1.4544,ETD
2017-03-27 10:05:45.024000256,František lomoz,-0.432,1222.7472,1222.7472,ETD
2017-03-27 10:05:45.024000256,František lomoz,-0.432,30861.648,30861.648,ETD
2017-03-26 11:36:29.951999744,František lomoz,0.432,34422.912,34422.912,ETD
2017-02-26 13:02:33.216000000,František lomoz,0.144,46736.784,46736.784,ETD
2016-04-06 10:50:00.959999744,Gährken bernd,0.144,,,ETD
2015-10-20 16:27:50.400000256,Rappaport et al. (2016),0.0,7.2,7.2,ETD
