,index,date,observer,oc,oce,source
0,30,2021-05-31,Carmelo Falco,0.2,0.6,ExoClock observation
1,31,2021-05-31,Fabio Mortari,-4.2,2.2,ExoClock observation
2,32,2021-05-31,Andras Dan,-5.4,1.4,ExoClock observation
3,29,2021-05-31,Carmelo Falco,1.5,1.0,ExoClock observation
4,33,2021-05-27,Yves Jongen,0.7,1.2,ExoClock observation
5,34,2021-05-27,Martin Crow,-0.9,1.3,ExoClock observation
6,35,2021-05-24,Adam Popowicz,-1.9,1.0,ExoClock observation
7,36,2020-06-26,Mauro Cal\xc3\xb3,-0.7,1.0,ExoClock observation
8,37,2020-05-02,Vikrant Kumar Agnihotri,1.7,1.3,ExoClock observation
9,38,2020-04-20,Mark Phillips,3.0,1.6,ExoClock observation
10,39,2020-04-20,Adrian Jones,-0.5,2.2,ExoClock observation
11,40,2020-04-20,Martin Crow,-2.3,1.0,ExoClock observation
12,41,2020-04-17,Manfred Raetz,-0.9,0.6,ExoClock observation
13,42,2019-03-08,Iakovos Strikis,4.5,1.3,ExoClock observation
14,43,2017-07-12,Ana\xc3\xabl W\xc3\xbcnsche,-2.9,0.7,ExoClock observation
15,44,2016-03-30,Alessandro Marchini,2.1,1.2,ExoClock observation
16,0,2014-05-26,Southworth et al. 2018,0.2,0.2,ExoClock literature
17,45,2012-05-19,Filip Walter,1.2,0.6,ExoClock observation
18,2,2012-05-12,Southworth et al. 2018,-0.6,0.4,ExoClock literature
19,3,2012-05-12,Southworth et al. 2018,-0.8,0.2,ExoClock literature
20,1,2012-05-12,Southworth et al. 2018,0.6,0.2,ExoClock literature
21,4,2012-05-08,Southworth et al. 2018,0.7,0.2,ExoClock literature
22,5,2012-05-08,Southworth et al. 2018,-0.5,0.2,ExoClock literature
23,6,2012-05-08,Southworth et al. 2018,-0.5,0.3,ExoClock literature
24,7,2011-09-30,Deming et al. 2013,0.7,0.2,ExoClock literature
25,8,2010-04-28,Southworth et al. 2018,0.3,0.2,ExoClock literature
26,9,2007-05-06,C\xc3\xa1ceres et al. 2009,1.6,0.5,ExoClock literature
27,10,2007-05-02,C\xc3\xa1ceres et al. 2009,1.3,0.6,ExoClock literature
28,11,2007-05-02,C\xc3\xa1ceres et al. 2009,0.5,0.5,ExoClock literature
29,12,2007-04-28,C\xc3\xa1ceres et al. 2009,-0.4,1.6,ExoClock literature
30,13,2007-03-12,Raetz et al. 2009,-4.2,2.4,ExoClock literature
31,15,2006-06-01,Holman et al. 2006,-0.5,0.2,ExoClock literature
32,14,2006-06-01,Burke et al. 2010,-0.2,0.2,ExoClock literature
33,16,2006-05-28,Holman et al. 2006,0.0,0.3,ExoClock literature
34,17,2006-05-24,Holman et al. 2006,-0.2,1.6,ExoClock literature
35,18,2006-05-20,Holman et al. 2006,0.6,0.5,ExoClock literature
36,19,2006-03-14,McCullough et al. 2006,0.0,1.6,ExoClock literature
37,20,2004-08-23,Wilson et al. 2006,0.9,9.6,ExoClock literature
38,21,2004-08-19,Wilson et al. 2006,7.8,4.6,ExoClock literature
39,22,2004-08-12,Wilson et al. 2006,-2.2,6.5,ExoClock literature
40,23,2004-06-13,Wilson et al. 2006,-2.3,5.3,ExoClock literature
41,24,2004-06-09,Wilson et al. 2006,-1.8,3.6,ExoClock literature
42,25,2004-06-06,Wilson et al. 2006,5.0,3.6,ExoClock literature
43,26,2004-06-02,Wilson et al. 2006,-3.5,4.9,ExoClock literature
44,27,2004-05-29,Wilson et al. 2006,-3.2,3.7,ExoClock literature
45,28,2004-05-01,Wilson et al. 2006,2.6,8.4,ExoClock literature
