date,observer,oc,oce,source
2022-03-20,Harri Kiiskinen,5.1,4.3,ExoClock observation
2022-03-13,Stefano Lora,3.8,2.7,ExoClock observation
2022-02-07,Fran Campos,-0.8,0.9,ExoClock observation
2022-01-17,Paolo Arcangelo Matassa,3.4,1.7,ExoClock observation
2022-01-11,christian PANTACCHINI,1.3,2.6,ExoClock observation
2022-01-11,Paolo Arcangelo Matassa,-0.4,1.6,ExoClock observation
2022-01-11,Ana\xc3\xabl W\xc3\xbcnsche,-1.3,1.3,ExoClock observation
2021-12-14,Enrique Arce,-3.5,3.2,ExoClock observation
2021-11-10,Jean-Baptiste Marquette,-2.8,2.0,ExoClock observation
2021-03-24,Jean-Bernard PIOPPA,-0.1,1.3,ExoClock observation
2021-03-24,Francesco Scaggiante,-1.6,0.9,ExoClock observation
2021-03-24,Matteo Cataneo,-0.3,1.4,ExoClock observation
2021-03-24,Manfred Raetz,1.3,0.6,ExoClock observation
2021-03-24,Ana\xc3\xabl W\xc3\xbcnsche,1.0,1.2,ExoClock observation
2021-02-18,Geoffrey Thurston,-0.0,2.2,ExoClock observation
2021-02-18,Pete Mills,-1.9,0.9,ExoClock observation
2021-02-18,Martin Crow,-3.2,1.3,ExoClock observation
2020-11-08,T\xc3\xb5nis Eenm\xc3\xa4e,-1.0,1.3,ExoClock observation
2020-11-01,Dim Stouraitis,-2.5,1.4,ExoClock observation
2020-04-10,Manfred Raetz,-0.9,0.7,ExoClock observation
2020-04-10,Martin Crow,-1.6,1.0,ExoClock observation
2020-04-10,Pere Guerra,0.5,1.2,ExoClock observation
2020-04-10,John Savage,-0.3,0.9,ExoClock observation
2020-03-28,Manfred Raetz,1.1,0.6,ExoClock observation
2020-03-28,Ana\xc3\xabl W\xc3\xbcnsche,1.1,0.7,ExoClock observation
2020-02-16,Mauro Cal\xc3\xb3,0.9,1.6,ExoClock observation
2020-01-23,Billy Edwards,-0.2,1.0,ExoClock observation
2020-01-20,Martin Crow,-0.3,1.2,ExoClock observation
2020-01-13,Mauro Cal\xc3\xb3,1.4,1.3,ExoClock observation
2019-02-20,Ana\xc3\xabl W\xc3\xbcnsche,1.8,1.3,ExoClock observation
2019-01-11,Ana\xc3\xabl W\xc3\xbcnsche,-1.2,4.3,ExoClock observation
2018-04-06,Ana\xc3\xabl W\xc3\xbcnsche,-0.5,0.6,ExoClock observation
2017-03-07,Ana\xc3\xabl W\xc3\xbcnsche,-1.6,1.0,ExoClock observation
2017-02-22,Nikolaos Paschalis,4.3,1.3,ExoClock observation
2016-04-14,Ana\xc3\xabl W\xc3\xbcnsche,-0.5,0.9,ExoClock observation
2016-03-11,Ana\xc3\xabl W\xc3\xbcnsche,-1.2,0.7,ExoClock observation
2011-02-07,Filip Walter,1.8,0.7,ExoClock observation
2010-01-15,Alessandro Marchini,2.3,1.0,ExoClock observation
2008-01-24,Alessandro Marchini,-0.6,1.6,ExoClock observation
2007-02-16,Burke et al. 2007,-0.1,0.3,ExoClock literature
