observer,oc,oceu,ocel,date,source
Yungshun Chen,-4.6,1.2,1.2,2022-04-05 01:24:06.115578624,ExoClock observation
Harri Kiiskinen,5.1,4.3,4.3,2022-03-20 08:52:46.405610752,ExoClock observation
Stefano Lora,3.8,2.7,2.7,2022-03-12 12:30:57.550656768,ExoClock observation
Fran Campos,-0.8,0.9,0.9,2022-02-06 12:17:27.845774848,ExoClock observation
Paolo Arcangelo Matassa,3.4,1.7,1.7,2022-01-16 14:06:57.565843456,ExoClock observation
christian PANTACCHINI,1.3,2.6,2.6,2022-01-11 08:31:10.995859712,ExoClock observation
Paolo Arcangelo Matassa,-0.4,1.6,1.6,2022-01-11 08:29:28.995849728,ExoClock observation
Anaël Wünsche,-1.3,1.3,1.3,2022-01-11 08:28:34.995820800,ExoClock observation
Enrique Arce,-3.5,3.2,3.2,2021-12-13 13:51:09.860945664,ExoClock observation
Jean-Baptiste Marquette,-2.8,2.0,2.0,2021-11-09 13:42:58.156028672,ExoClock observation
Manfred Raetz,1.3,0.6,0.6,2021-03-24 09:05:19.076764672,ExoClock observation
Anaël Wünsche,1.0,1.2,1.2,2021-03-24 09:05:01.076741632,ExoClock observation
Jean-Bernard PIOPPA,-0.1,1.3,1.3,2021-03-24 09:03:55.076737280,ExoClock observation
Matteo Cataneo,-0.3,1.4,1.4,2021-03-24 09:03:43.076762368,ExoClock observation
Francesco Scaggiante,-1.6,0.9,0.9,2021-03-24 09:02:25.076742656,ExoClock observation
Geoffrey Thurston,-0.0,2.2,2.2,2021-02-18 08:55:07.371854848,ExoClock observation
Pete Mills,-1.9,0.9,0.9,2021-02-18 08:53:13.371869696,ExoClock observation
Martin Crow,-3.2,1.3,1.3,2021-02-18 08:51:55.371850240,ExoClock observation
Tõnis Eenmäe,-1.0,1.3,1.3,2020-11-08 08:27:26.257147136,ExoClock observation
Dim Stouraitis,-2.5,1.4,1.4,2020-10-31 12:05:25.402177792,ExoClock observation
Pere Guerra,0.5,1.2,1.2,2020-04-10 11:15:03.172785152,ExoClock observation
John Savage,-0.3,0.9,0.9,2020-04-10 11:14:15.172804096,ExoClock observation
Manfred Raetz,-0.9,0.7,0.7,2020-04-10 11:13:39.172798208,ExoClock observation
Martin Crow,-1.6,1.0,1.0,2020-04-10 11:12:57.172784384,ExoClock observation
Anaël Wünsche,1.1,0.7,0.7,2020-03-28 09:21:27.747833088,ExoClock observation
Manfred Raetz,1.1,0.6,0.6,2020-03-28 09:21:27.747833088,ExoClock observation
Mauro Caló,0.9,1.6,1.6,2020-02-15 12:51:51.187952640,ExoClock observation
Billy Edwards,-0.2,1.0,1.0,2020-01-22 23:49:12.623024640,ExoClock observation
Martin Crow,-0.3,1.2,1.2,2020-01-20 09:02:16.338065664,ExoClock observation
Mauro Caló,1.4,1.3,1.3,2020-01-12 12:43:27.483060736,ExoClock observation
Anaël Wünsche,1.8,1.3,1.3,2019-02-19 13:09:05.859105792,ExoClock observation
Anaël Wünsche,-1.2,4.3,4.3,2019-01-11 07:23:31.584203008,ExoClock observation
Anaël Wünsche,-0.5,0.6,0.6,2018-04-06 09:52:33.090038784,ExoClock observation
Anaël Wünsche,-1.6,1.0,1.0,2017-03-07 09:58:54.056268544,ExoClock observation
Nikolaos Paschalis,4.3,1.3,1.3,2017-02-22 08:10:36.631321856,ExoClock observation
Anaël Wünsche,-0.5,0.9,0.9,2016-04-14 10:25:14.432247040,ExoClock observation
Anaël Wünsche,-1.2,0.7,0.7,2016-03-11 10:15:38.727343104,ExoClock observation
Filip Walter,1.8,0.7,0.7,2011-02-06 13:16:46.098049792,ExoClock observation
Alessandro Marchini,2.3,1.0,1.0,2010-01-15 09:45:13.919256576,ExoClock observation
Alessandro Marchini,-0.6,1.6,1.6,2008-01-24 10:15:01.261442816,ExoClock observation
Burke et al. 2007,-0.1,0.3,0.3,2007-02-15 17:59:43.927465984,ExoClock literature
