date,observer,oc,oceu,ocel,source
2022-01-27 08:47:10.176000256,Mark salisbury,-10.512,0.8928,0.8928,ETD
2021-11-21 08:25:10.848000000,Jens jacobsen,-0.72,2.8224,2.8224,ETD
2021-01-15 18:40:54.624000000,Philip langill,7.2,,,ETD
2021-01-09 09:04:14.015999744,Snaevarr gudmundsson,-17.856,2.9952,2.9952,ETD
2020-11-22 12:26:25.439999744,Yves jongen,1.296,2.2464,2.2464,ETD
2020-11-06 13:21:57.888000256,Yves jongen,-4.176,1.7136,1.7136,ETD
2020-11-03 08:54:08.351999744,Jean plazas,3.744,42.6096,42.6096,ETD
2020-09-16 11:59:47.904000256,Jean plazas,6.336,,,ETD
2020-03-15 09:11:26.016000256,Manfred raetz,-5.904,1.8432,1.8432,ETD
2020-02-28 10:34:52.895999744,Alberto tomatis,16.56,1062.5904,1062.5904,ETD
2020-01-08 08:45:36.864000000,Josep gaitan,0.0,1.296,1.296,ETD
2020-01-08 08:41:40.127999744,Anaël wünsche,-3.888,1.4256,1.4256,ETD
2019-01-25 11:47:55.968000000,Anael wunsche,4.176,3.1392,3.1392,ETD
2019-01-06 08:07:28.127999744,"Francesco scaggiante, danilo zardin",-1.584,1.6992,1.6992,ETD
2019-01-06 07:57:55.296000000,Fontaine bruno,-11.088,3.528,3.528,ETD
2017-12-19 08:27:55.872000000,Josep gaitan ,-5.616,1.7712,1.7712,ETD
2017-11-17 10:23:32.064000000,Ramon naves,-12.096,1.6416,1.6416,ETD
2017-10-22 22:06:04.031999744,Thomas schaefer,16.848,1.3392,1.3392,ETD
2017-01-21 10:27:16.704000000,Matthieu bachschmidt,-3.456,2.1888,2.1888,ETD
2016-12-01 09:06:57.311999744,Marc bretton,8.928,2.448,2.448,ETD
2016-11-02 15:30:26.495999744,Marcos michel,-5.328,1.8432,1.8432,ETD
2016-09-09 09:22:46.848000000,Medulka t.,-4.464,3.168,3.168,ETD
2015-10-29 10:29:02.976000256,Marc bretton,5.616,1.7568,1.7568,ETD
2015-04-11 08:41:02.975999744,Marc bretton,-7.344,5.0976,5.0976,ETD
2014-10-27 09:46:15.168000256,Nikolay mishevskiy,-0.72,51.7968,51.7968,ETD
2014-03-08 11:44:21.695999744,Bernd g.,90.576,0.5616,0.5616,ETD
2014-03-08 10:17:32.639999744,Garcia f.,3.744,2.6352,2.6352,ETD
2014-03-08 10:14:51.936000000,Zibar m.,1.008,3.3408,3.3408,ETD
2014-03-08 10:14:07.872000256,"Dittler, ullrich",0.288,5.1552,5.1552,ETD
2014-03-08 10:06:57.599999744,Bachschmidt m.,-6.912,3.6,3.6,ETD
2013-12-15 10:36:02.016000000,Naves r.,-7.056,1.7424,1.7424,ETD
2013-09-29 20:25:18.624000000,Shadic s.,1.296,1.3104,1.3104,ETD
2013-01-20 17:21:40.896000000,Shadic s.,5.472,1.3824,1.3824,ETD
2012-10-10 13:51:36.864000256,Sherman j.,-19.008,3.2256,3.2256,ETD
2012-02-07 20:07:01.344000256,Shadic s.,-7.344,1.944,1.944,ETD
2012-02-04 15:28:50.592000000,Shadic s.,-9.792,2.0448,2.0448,ETD
2012-01-16 11:49:47.424000000,Emering f.,-14.112,0.4464,0.4464,ETD
2011-12-18 18:41:18.816000000,Shadic s.,-0.288,1.584,1.584,ETD
