observer,oc,oceu,ocel,date,source
Mark Salisbury,-2.4,1.2,1.2,2022-03-07 09:25:09.860166912,ExoClock observation
Mark salisbury,-4.176,1.1232,1.1232,2022-03-07 09:23:26.592000256,ETD
Kevin Johnson,-1.2,2.3,2.3,2022-02-10 15:25:46.660771840,ExoClock observation
Paolo Arcangelo Matassa,0.0,2.2,2.2,2022-02-02 09:26:46.927675136,ExoClock observation
Fran Campos,3.7,1.3,1.3,2021-12-31 09:29:41.995202560,ExoClock observation
Fran campos,-12.816,3.672,3.672,2021-12-02 12:12:34.272000000,ETD
Yves jongen,-1.872,1.5696,1.5696,2021-01-10 15:15:40.895999744,ETD
Yves Jongen,-3.0,1.6,1.6,2021-01-10 15:14:35.471051008,ExoClock observation
Bernhard wenzel,12.672,89.496,89.496,2020-11-30 09:29:15.648000256,ETD
Adrian Jones,-4.5,4.3,4.3,2020-11-05 15:11:31.606105856,ExoClock observation
Alberto Tomatis,1.5,3.2,3.2,2020-11-01 12:17:25.739529984,ExoClock observation
Martin Crow,-1.4,4.3,4.3,2020-10-28 09:14:25.872953856,ExoClock observation
Anaël wünsche,11.52,1.4688,1.4688,2020-03-15 12:21:55.871999744,ETD
Alessandro Nastasi,0.0,2.2,2.2,2020-03-11 09:10:21.345613824,ExoClock observation
Danilo Sedita,-1.3,1.4,1.4,2020-03-11 09:09:03.345594368,ExoClock observation
Mauro Caló,-3.8,4.3,4.3,2020-02-07 09:05:46.413128192,ExoClock observation
Mauro calo,-6.336,2.7216,2.7216,2020-02-07 09:03:11.808000256,ETD
Tõnis Eenmäe,0.3,0.9,0.9,2020-02-03 06:09:46.546526976,ExoClock observation
Pere Guerra,-1.2,1.9,1.9,2020-01-05 09:07:35.480611328,ExoClock observation
Pere guerra,-2.88,1.8144,1.8144,2020-01-05 09:05:58.560000000,ETD
Yves Jongen,-3.0,1.7,1.7,2020-01-05 09:05:47.480633856,ExoClock observation
Yves jongen,-5.184,1.7424,1.7424,2020-01-05 09:03:34.272000256,ETD
Veli-pekka hentunen,-17.712,1.4832,1.4832,2019-04-16 08:44:46.752000000,ETD
Jean plazas,19.008,4.2768,4.2768,2019-01-07 09:19:07.392000000,ETD
Gabriel murawski,-17.28,6.2496,6.2496,2017-09-28 05:31:54.336000256,ETD
Carson reed powers,-7.632,1.7424,1.7424,2016-11-18 17:34:05.664000000,ETD
Marc bretton,4.176,2.808,2.808,2015-03-27 11:31:37.056000000,ETD
Dittler u.,2.016,3.2256,3.2256,2014-03-29 11:20:47.328000000,ETD
Salisbury m.,6.336,1.1664,1.1664,2014-03-25 08:25:00.480000256,ETD
Zibar m.,-7.92,2.8512,2.8512,2014-02-28 14:10:10.560000000,ETD
"Mravik j., grnja j.",4.032,3.456,3.456,2013-12-24 14:20:34.368000000,ETD
Benni p.,1.008,1.0656,1.0656,2013-11-29 20:17:00.960000000,ETD
Shadic s.,0.144,1.1952,1.1952,2013-04-08 17:10:34.752000000,ETD
Haarup n.,-0.0,4.7232,4.7232,2013-03-31 11:10:10.560000000,ETD
Horta f. g.,7.2,1.7424,1.7424,2013-01-03 20:15:21.599999744,ETD
Shadic s.,-4.32,3.1968,3.1968,2012-11-27 17:03:02.016000256,ETD
Garcia r.,0.72,2.7792,2.7792,2012-02-29 11:01:32.160000000,ETD
Shadic s.,-4.176,2.2032,2.2032,2012-02-04 16:56:01.247999744,ETD
Villanueva et al. 2016,2.5,1.3,1.3,2012-01-06 20:02:03.956170752,ExoClock literature
Lopesino j.,-7.2,2.088,2.088,2011-12-25 10:52:03.648000000,ETD
Shadic s.,3.6,1.2528,1.2528,2011-12-08 23:02:26.592000256,ETD
Fernand emering,4.32,0.6192,0.6192,2011-11-22 11:02:48.192000000,ETD
Emering f.,0.576,0.4608,0.4608,2011-11-22 10:59:07.872000256,ETD
Shadic s.,13.248,2.0592,2.0592,2011-04-17 20:06:31.968000256,ETD
Horace a.,-1.728,1.3392,1.3392,2011-02-06 16:49:57.504000000,ETD
Husar d.,-12.672,5.1552,5.1552,2010-12-02 16:37:23.231999744,ETD
Shadick s.,2.304,2.016,2.016,2010-11-03 19:51:44.639999744,ETD
Shadic s.,-3.6,2.6208,2.6208,2010-10-30 16:45:38.304000256,ETD
Stanislav poddaný,0.432,1.9152,1.9152,2010-04-07 10:44:49.920000256,ETD
Poddaný s.,0.144,1.9296,1.9296,2010-04-07 10:44:34.368000000,ETD
Villanueva et al. 2016,4.7,1.7,1.7,2010-03-17 19:48:37.306552832,ExoClock literature
Trnka j.,-15.264,3.4848,3.4848,2010-03-09 13:28:31.008000000,ETD
Narita et al. 2010,1.4,0.9,0.9,2010-02-08 16:44:26.507510784,ExoClock literature
Villanueva et al. 2016,-1.5,1.1,1.1,2010-02-08 16:41:32.507529216,ExoClock literature
Villanueva et al. 2016,-4.3,2.2,2.2,2009-12-04 16:37:10.642564608,ExoClock literature
Villanueva et al. 2016,1.3,1.4,1.4,2009-11-09 22:42:11.443226368,ExoClock literature
Narita et al. 2010,3.9,1.6,1.6,2009-09-04 22:43:13.578274560,ExoClock literature
Mendez,5.472,7.776,7.776,2009-03-11 13:40:39.360000256,ETD
Villanueva et al. 2016,-2.7,2.7,2.7,2009-02-10 16:31:44.250249216,ExoClock literature
Villanueva et al. 2016,-2.7,4.0,4.0,2009-01-16 22:31:09.050882816,ExoClock literature
Todorov et al. 2012,1.9,0.9,0.9,2009-01-12 19:35:39.184320000,ExoClock literature
Todorov et al. 2012,-0.3,1.2,1.2,2009-01-08 16:33:21.317797632,ExoClock literature
Foote,3.6,1.872,1.872,2008-12-10 19:36:37.440000000,ETD
Todorov et al. 2012,-3.1,1.0,1.0,2008-12-10 19:29:52.251862528,ExoClock literature
Naves,14.976,8.496,8.496,2008-11-28 10:47:42.720000256,ETD
Villanueva et al. 2016,4.2,1.7,1.7,2008-11-11 22:36:29.185939712,ExoClock literature
Srdoc,-12.816,3.6,3.6,2008-10-26 10:19:03.360000256,ETD
Narita et al. 2010,1.6,1.6,1.6,2008-10-09 22:33:06.253425408,ExoClock literature
Narita et al. 2010,2.1,1.5,1.5,2008-10-05 19:33:30.386869248,ExoClock literature
Brát l.,0.576,4.1328,4.1328,2008-09-27 13:31:49.728000000,ETD
Foote,9.36,6.912,6.912,2008-01-19 22:34:36.480000000,ETD
McCullough et al. 2008,-1.7,0.6,0.6,2008-01-19 22:23:32.793570816,ExoClock literature
Foote,-2.304,4.608,4.608,2008-01-19 22:22:56.640000000,ETD
Mccullough et al 2008,-2.88,0.576,0.576,2008-01-19 22:22:22.080000256,ETD
Foote,-3.744,4.32,4.32,2008-01-19 22:21:30.240000256,ETD
Foote,7.776,2.736,2.736,2007-11-14 22:31:26.399999744,ETD
Gregorio j.,-22.32,2.736,2.736,2007-11-02 13:01:03.359999744,ETD
