date,observer,oc,oce,source
2022-01-26,Giuseppe marino & students 4^ i,21.312,1.2096,ETD
2022-01-26,Mario morales,8.928,0.6912,ETD
2021-12-31,Matthieu bachschmidt,18.864,0.576,ETD
2021-12-05,Mohammad fadel talafha,20.304,1.5984,ETD
2021-08-30,Veli-pekka hentunen,18.0,0.9504,ETD
2021-02-25,Fabio mortari,19.296,2.5488,ETD
2021-01-15,"Francesco scaggiante, danilo zardin,marco fiaschi",18.144,0.7488,ETD
2020-11-05,Manfred raetz,16.704,0.6912,ETD
2020-01-05,Jean plazas,-17.856,5.544,ETD
2019-12-10,Anaël wünsche,13.248,1.512,ETD
2019-11-25,Ferran grau horta,16.128,2.4336,ETD
2019-09-30,Yves jongen,17.856,0.648,ETD
2019-09-19,Veli-pekka hentunen,17.712,0.6336,ETD
2019-09-04,Yves jongen,17.424,0.5904,ETD
2018-12-25,Bruno fontaine,14.832,0.576,ETD
2018-12-14,Yves jongen,23.472,0.6192,ETD
2018-12-14,Marc bretton,15.84,0.576,ETD
2018-12-11,Pietro aceti,1215.36,1.5264,ETD
2018-10-19,Remi mere,18.72,2.592,ETD
2018-10-19,Fertil jonathan,12.96,1.6128,ETD
2018-10-04,Ramon naves,16.992,1.2816,ETD
2018-09-08,Gerald rousseau,12.672,1.3392,ETD
2018-09-08,Anael wunsche,14.688,3.8304,ETD
2017-11-18,Cédric pereira,62.352,1.8288,ETD
2017-11-18,Aaav astrofili valdera,-0.576,,ETD
2017-10-08,"Francesco scaggiante, danilo zardin",16.272,1.08,ETD
2017-09-23,Gabriel murawski,19.152,1.3248,ETD
2017-01-06,Wonseok kang,13.536,0.4608,ETD
2016-11-11,Wonseok kang,13.536,0.4896,ETD
2016-10-19,Martin fowler,8.208,1.5552,ETD
2016-10-08,David molina,12.24,0.7344,ETD
2016-09-27,Marc deldem,13.824,0.8784,ETD
2016-09-27,Trnka j.,12.96,0.9072,ETD
2016-09-27,František lomoz,9.648,1.2672,ETD
2016-09-27,František lomoz,8.208,0.9504,ETD
2016-09-27,Pavel pintr,0.576,,ETD
2015-11-23,Marc bretton,12.528,0.8352,ETD
2015-11-08,"Juan fabregat, antoni vives ",1.008,1.9152,ETD
2015-11-08,Antoni vives sureda,-4.752,2.808,ETD
2015-08-22,"Erika pakstiene, rimvydas janulis",9.936,0.3888,ETD
2015-02-17,Jens jacobsen,2.304,1.2672,ETD
2015-01-07,Marc bretton,10.656,0.6192,ETD
2014-12-23,Marc bretton,11.376,0.5184,ETD
